id,title,industry,category,salary_min,salary_max,salary_median,growth_outlook,growth_percent,education,experience_years_min,certifications_recommended,top_states,union_common,work_environment,description
18,HVAC Supervisor,Construction,HVAC,85000,110000,95000,High,8,Trade school certificate,7,EPA 608|NATE|OSHA 30,TX|FL|CA|AZ|NY,Sometimes,Both,HVAC supervisors manage teams of technicians; oversee project installations; handle scheduling; and ensure quality and safety compliance.
19,Refrigeration Technician,Construction,HVAC,55000,80000,67000,High,8,Trade school certificate,3,EPA 608 Universal|OSHA 10|RETA,CA|TX|FL|WA|NY,Sometimes,Indoor,Refrigeration technicians install; maintain; and repair commercial and industrial refrigeration systems for food storage and processing.
20,Data Center HVAC Technician,Construction,HVAC,75000,120000,95000,Very High,8,Trade school certificate,4,EPA 608|NATE|OSHA 30|BAS Certification,VA|TX|AZ|OH|GA,Sometimes,Indoor,Data center HVAC technicians maintain precision cooling systems critical to data center operations; monitoring temperature and humidity controls.
21,Controls/BAS Technician,Construction,HVAC,65000,100000,82000,Very High,10,Trade school certificate,3,BACnet|Niagara N4|OSHA 10,VA|TX|CA|AZ|OH,Sometimes,Indoor,Building automation systems technicians install; program; and maintain computerized controls for HVAC; lighting; and energy management systems.
22,Entry-Level Welder,Manufacturing,Welding,40000,55000,47000,Below Average,2,Trade school certificate,0,AWS D1.1|OSHA 10,TX|CA|OH|PA|LA,Sometimes,Both,Entry-level welders perform basic MIG and stick welding operations on structural steel and fabrication projects under supervision.
23,Journeyman Welder,Manufacturing,Welding,51000,70000,60000,Below Average,2,Apprenticeship,3,AWS Certifications|OSHA 10,TX|CA|OH|PA|LA,Sometimes,Both,Journeyman welders independently perform MIG; TIG; stick; and flux-core welding on structural; pipe; and fabrication projects.
24,Certified Pipe Welder,Energy,Welding,80000,120000,100000,Average,4,Trade school certificate,5,AWS|ASME Section IX|API 1104|OSHA 30,TX|LA|CA|OH|PA,Yes,Both,Certified pipe welders perform specialized welding on high-pressure piping systems in refineries; power plants; and industrial facilities.
25,Underwater Welder,Energy,Welding,54000,150000,93000,Average,3,Trade school certificate,3,AWS|NAUI/PADI Dive Cert|OSHA 10,TX|LA|CA|WA|FL,Sometimes,Underwater,Underwater welders perform wet and dry hyperbaric welding on marine structures; offshore platforms; and underwater pipelines.
26,Welding Inspector (CWI),Construction,Welding,60000,90000,75000,Average,4,Trade school certificate,5,CWI|AWS|OSHA 30,TX|CA|OH|PA|LA,Sometimes,Both,Certified welding inspectors examine welds for quality and code compliance using visual inspection and non-destructive testing methods.
27,Welding Foreman,Construction,Welding,70000,100000,85000,Below Average,2,Trade school certificate,7,AWS|OSHA 30|CWI,TX|CA|OH|PA|LA,Sometimes,Both,Welding foremen supervise welding crews on construction and fabrication projects; ensuring quality standards and production schedules are met.
28,Apprentice Carpenter,Construction,Carpentry,35000,45000,40000,Average,4,Apprenticeship,0,OSHA 10,TX|CA|FL|NY|WA,Sometimes,Both,Apprentice carpenters learn framing; finishing; and formwork skills under journeyman supervision through a 3-4 year training program.
29,Journeyman Carpenter,Construction,Carpentry,50000,66000,57000,Average,4,Apprenticeship,3,OSHA 10|State License,TX|CA|FL|NY|WA,Sometimes,Both,Journeyman carpenters independently construct and install wooden structures including framing; trim; cabinetry; and concrete formwork.
30,Finish Carpenter,Construction,Carpentry,50000,75000,62000,Average,4,Trade school certificate,3,OSHA 10,CA|NY|WA|MA|CO,Sometimes,Indoor,Finish carpenters specialize in trim; molding; doors; windows; and cabinetry installation requiring precision craftsmanship and attention to detail.
31,Formwork Carpenter,Construction,Carpentry,45000,65000,52000,Average,4,Apprenticeship,2,OSHA 10|Scaffold Certification,TX|CA|FL|NY|OH,Yes,Outdoor,Formwork carpenters build and set concrete forms for foundations; walls; columns; and other structural elements on construction projects.
32,Carpentry Foreman,Construction,Carpentry,65000,90000,76000,Average,4,Apprenticeship,7,OSHA 30|First Aid/CPR,TX|CA|FL|NY|WA,Sometimes,Both,Carpentry foremen supervise carpentry crews; coordinate with project management; manage materials; and ensure work meets quality standards.
33,Construction Superintendent,Construction,Carpentry,98000,150000,110000,High,9,High school diploma,12,OSHA 30|CPR/First Aid|CHST,TX|CA|FL|NY|AZ,Sometimes,Both,Construction superintendents oversee entire job sites; managing schedules; safety programs; subcontractor coordination; and client relations.
34,Concrete Finisher,Construction,Concrete/Masonry,33000,57000,46000,Average,3,No formal requirement,0,OSHA 10|ACI Certification,TX|FL|CA|AZ|OH,Sometimes,Outdoor,Concrete finishers spread; level; and smooth concrete surfaces using trowels; screeds; and finishing tools on construction projects.
35,Concrete Foreman,Construction,Concrete/Masonry,65000,85000,74000,Average,3,High school diploma,5,OSHA 30|ACI Certification,TX|FL|CA|AZ|OH,Sometimes,Outdoor,Concrete foremen supervise concrete crews; manage pours; coordinate with other trades; and ensure quality of finished concrete work.
36,Decorative Concrete Specialist,Construction,Concrete/Masonry,50000,80000,63000,Average,3,Trade school certificate,3,ACI Certification|OSHA 10,FL|CA|TX|AZ|NV,No,Outdoor,Decorative concrete specialists apply stamped; stained; and polished finishes to concrete surfaces for architectural and aesthetic applications.
37,Mason/Bricklayer,Construction,Concrete/Masonry,40000,70000,53000,Below Average,2,Apprenticeship,2,OSHA 10|MCAA Certification,TX|CA|FL|NY|OH,Sometimes,Outdoor,Masons build and repair walls; floors; and structures using brick; stone; and concrete block; interpreting blueprints for proper layout.
38,Structural Ironworker,Construction,Ironwork,48000,80000,62700,Average,4,Apprenticeship,3,OSHA 30|Welding Cert|Rigging Cert,NY|CA|TX|IL|OH,Yes,Heights,Structural ironworkers erect steel frameworks for buildings and bridges; connecting beams and columns at extreme heights using bolts and welding.
39,Reinforcing Ironworker,Construction,Ironwork,42000,72000,59000,Average,4,Apprenticeship,2,OSHA 10|Rigging Cert,TX|CA|FL|NY|OH,Yes,Outdoor,Reinforcing ironworkers position and secure rebar in concrete forms for structural reinforcement on foundations; walls; and infrastructure.
40,Ironworker Foreman,Construction,Ironwork,75000,100000,87000,Average,4,Apprenticeship,7,OSHA 30|Welding Cert|Rigging Cert,NY|CA|TX|IL|OH,Yes,Heights,Ironworker foremen supervise structural and reinforcing iron crews on high-rise and bridge projects; managing safety and production.
41,Ornamental Ironworker,Construction,Ironwork,55000,70000,62000,Average,3,Apprenticeship,3,OSHA 10|Welding Cert,NY|CA|TX|FL|IL,Yes,Both,Ornamental ironworkers install decorative metalwork including stairs; railings; curtain walls; and architectural metal features on buildings.
42,Sheet Metal Worker,Construction,HVAC,38000,56000,47000,Average,4,Apprenticeship,2,OSHA 10|SMACNA Standards,CA|NY|TX|IL|WA,Yes,Both,Sheet metal workers fabricate and install ductwork; roofing; siding; and other sheet metal components using hand and power tools.
43,Sheet Metal Foreman,Construction,HVAC,65000,90000,77000,Average,4,Apprenticeship,7,OSHA 30|SMACNA Standards,CA|NY|TX|IL|WA,Yes,Both,Sheet metal foremen supervise crews installing HVAC ductwork and architectural sheet metal; managing layouts; materials; and quality.
44,Roofer,Construction,Roofing,32000,55000,50000,Below Average,2,No formal requirement,0,OSHA 10,MN|NJ|MA|CA|FL,Sometimes,Heights,Roofers install; repair; and replace roofs using shingles; metal; membranes; and other materials; working at heights in all weather conditions.
45,Roofing Foreman,Construction,Roofing,60000,85000,72000,Below Average,2,High school diploma,5,OSHA 30|Fall Protection Cert,MN|NJ|MA|CA|FL,Sometimes,Heights,Roofing foremen supervise roofing crews; manage material logistics; ensure proper installation techniques; and enforce fall protection safety.
46,Roofing Project Manager,Construction,Roofing,59500,100500,78000,Below Average,2,High school diploma,8,OSHA 30|PMP,CA|TX|FL|NY|MN,No,Both,Roofing project managers oversee multiple roofing projects; handling estimating; scheduling; client relations; and crew coordination.
47,Glazier,Construction,Glazing,35000,61000,48000,Average,3,Apprenticeship,2,OSHA 10|Scaffold Certification,NY|CA|IL|MA|WA,Yes,Heights,Glaziers cut; fit; and install glass in windows; skylights; storefronts; and curtain wall systems on commercial and residential buildings.
48,Journeyman Glazier,Construction,Glazing,55000,75000,66000,Average,3,Apprenticeship,4,OSHA 10|GANA Certification,NY|CA|IL|MA|WA,Yes,Heights,Journeyman glaziers independently install complex glass systems including curtain walls; skylights; and structural glass facades.
49,Insulation Worker,Construction,Insulation,33000,54000,44000,Average,4,No formal requirement,0,OSHA 10|Asbestos Awareness,TX|CA|FL|NY|OH,Sometimes,Both,Insulation workers install and replace materials to insulate buildings; pipes; and mechanical systems for energy conservation and temperature control.
50,Mechanical Insulator,Construction,Insulation,45000,71500,58000,Average,4,Apprenticeship,2,OSHA 10|NIA Certification,TX|CA|LA|OH|PA,Yes,Both,Mechanical insulators wrap pipes; boilers; and ducts with insulation materials in industrial and commercial settings to control heat and energy loss.
51,Drywall Installer,Construction,Drywall,32000,51000,42000,Below Average,2,No formal requirement,0,OSHA 10|Scaffold Certification,TX|CA|FL|NY|AZ,Sometimes,Indoor,Drywall installers measure; cut; and fasten wallboard panels to metal or wooden studs on interior walls and ceilings.
52,Drywall Taper/Finisher,Construction,Drywall,35000,55000,51000,Below Average,2,No formal requirement,1,OSHA 10,TX|CA|FL|NY|AZ,Sometimes,Indoor,Drywall tapers apply joint compound and tape to seams between panels; then sand surfaces smooth to prepare walls for painting.
53,Commercial Painter,Construction,Painting,42000,70000,55000,Below Average,2,No formal requirement,1,OSHA 10|EPA Lead-Safe Cert,CA|NY|TX|FL|MA,Sometimes,Both,Commercial painters prepare surfaces and apply paint; stain; and coatings to walls and structures in commercial buildings and facilities.
54,Industrial Painter,Construction,Painting,45000,80000,60000,Below Average,2,Trade school certificate,2,OSHA 30|SSPC Certification|NACE,TX|CA|LA|OH|PA,Sometimes,Both,Industrial painters apply specialty coatings including epoxy; fire-retardant; and anti-corrosion materials to bridges; tanks; and industrial structures.
55,Painting Foreman,Construction,Painting,60000,92000,75000,Below Average,2,High school diploma,5,OSHA 30|EPA Lead-Safe Cert,CA|NY|TX|FL|IL,Sometimes,Both,Painting foremen supervise painting crews on commercial and industrial projects; managing surface preparation; material usage; and scheduling.
56,Tile Setter,Construction,Flooring,38000,68000,57600,Average,3,No formal requirement,1,OSHA 10|CTEF Certification,CA|TX|FL|NY|AZ,No,Indoor,Tile setters install ceramic; porcelain; marble; and stone tile on floors; walls; and countertops using mortar; adhesive; and grout.
57,Floor Layer,Construction,Flooring,35000,60000,47000,Average,3,No formal requirement,1,OSHA 10|CFI Certification,CA|TX|FL|NY|OH,Sometimes,Indoor,Floor layers install carpet; vinyl; laminate; and hardwood flooring in residential and commercial buildings; preparing substrates and cutting materials.
58,Excavator Operator,Construction,Heavy Equipment,54000,70000,62000,Average,4,High school diploma,1,OSHA 10|CDL,TX|CA|FL|AZ|OH,Yes,Outdoor,Excavator operators drive and control hydraulic excavators to dig trenches; foundations; and grade earth on construction and civil projects.
59,Crane Operator,Construction,Heavy Equipment,58000,95000,75000,Average,4,High school diploma,2,NCCCO|OSHA 10|CDL,TX|CA|NY|WA|IL,Yes,Heights,Crane operators control mobile and tower cranes to lift and position heavy materials on construction sites; requiring precise coordination and safety focus.
60,Bulldozer Operator,Construction,Heavy Equipment,52000,74000,63000,Average,4,High school diploma,1,OSHA 10|CDL,TX|CA|FL|AZ|OH,Yes,Outdoor,Bulldozer operators drive track-type tractors to move earth; clear land; and grade surfaces for construction; road; and mining projects.
61,Heavy Equipment Operator (Senior),Construction,Heavy Equipment,62000,99000,80000,Average,4,High school diploma,5,NCCCO|OSHA 30|CDL|MSHA,TX|CA|AZ|OH|WA,Yes,Outdoor,Senior heavy equipment operators run multiple machine types and mentor junior operators; commanding premium pay for multi-machine proficiency.
62,Heavy Equipment Foreman,Construction,Heavy Equipment,77000,110000,92000,Average,4,High school diploma,8,OSHA 30|NCCCO|CDL,TX|CA|AZ|OH|FL,Yes,Outdoor,Heavy equipment foremen supervise operators and ground crews; coordinate equipment logistics; and manage grading and excavation operations.
63,Pile Driver Operator,Construction,Heavy Equipment,50000,85000,67000,Average,3,High school diploma,2,OSHA 10|CDL|Rigging Cert,TX|CA|FL|NY|WA,Yes,Outdoor,Pile driver operators position and drive large beams into the ground using specialized equipment to support bridges; buildings; and marine structures.
64,Pipeline Worker,Energy,Pipefitting,55000,120000,99000,Average,4,High school diploma,1,OSHA 10|CDL|Welding Cert,TX|LA|OK|PA|OH,Yes,Outdoor,Pipeline workers install; maintain; and repair underground and above-ground pipelines that transport oil; gas; and water across regions.
65,Pipeline Welder,Energy,Pipefitting,75000,150000,110000,Average,4,Trade school certificate,3,API 1104|ASME IX|OSHA 30|CDL,TX|LA|OK|PA|ND,Yes,Outdoor,Pipeline welders perform specialized welding on high-pressure oil and gas pipelines; often traveling to remote locations with per diem pay.
66,Road Construction Worker,Construction,General Labor,33000,50000,45800,Average,7,No formal requirement,0,OSHA 10|Flagger Cert,TX|CA|FL|OH|PA,Sometimes,Outdoor,Road construction workers grade surfaces; operate paving equipment; install drainage; and apply road markings on highway projects.
67,Heavy Highway Superintendent,Construction,General Labor,85000,126500,105000,Average,4,High school diploma,10,OSHA 30|CDL|CPR/First Aid,TX|CA|FL|OH|PA,Sometimes,Outdoor,Heavy highway superintendents oversee large road and bridge construction projects; managing crews; schedules; safety; and quality control.
68,Bridge Construction Worker,Construction,Ironwork,55000,100000,82000,Average,4,High school diploma,2,OSHA 30|Rigging Cert|Welding Cert,NY|CA|TX|PA|OH,Yes,Heights,Bridge construction workers build; repair; and maintain bridges; performing structural steel erection; concrete work; and specialized rigging at heights.
69,Tunnel Construction Worker,Construction,General Labor,71000,150000,100000,Average,4,High school diploma,2,OSHA 30|MSHA|Confined Space Cert,NY|CA|WA|TX|IL,Yes,Underground,Tunnel construction workers excavate and build tunnels for transportation and utilities using TBMs and drill-and-blast methods in confined spaces.
70,Arborist,Landscaping,Tree Care,50000,90000,70000,Average,5,Trade school certificate,2,ISA Certified Arborist|ISA TRAQ|CPR/First Aid,CA|TX|FL|NY|GA,No,Outdoor,Arborists assess tree health; perform pruning and removal; diagnose disease and pest problems; and manage tree risk on residential and commercial properties.
71,Tree Care Crew Leader,Landscaping,Tree Care,55000,80000,67000,Average,5,High school diploma,3,ISA Certified Arborist|OSHA 10|CDL,CA|TX|FL|NY|GA,No,Heights,Tree care crew leaders supervise tree trimming and removal crews; operating aerial lifts and chainsaws while ensuring safety protocols are followed.
72,Certified Arborist (Senior),Landscaping,Tree Care,80000,103500,92000,Average,5,Associate degree,7,ISA Certified Arborist|ISA TRAQ|Pesticide Applicator,CA|TX|FL|NY|MA,No,Outdoor,Senior certified arborists manage tree care operations; perform risk assessments; consult on large-scale urban forestry; and supervise multiple crews.
73,Landscaper/Grounds Maintenance,Landscaping,General Labor,30000,45000,37000,Average,5,No formal requirement,0,Pesticide Applicator License,FL|TX|CA|AZ|GA,No,Outdoor,Landscapers maintain outdoor spaces including mowing lawns; planting gardens; installing hardscaping; and operating commercial grounds equipment.
74,Pest Control Technician,Construction,General Labor,32000,50000,42000,Average,5,High school diploma,0,State Pest Control License|EPA Certification,FL|TX|CA|AZ|GA,No,Both,Pest control technicians identify and treat pest infestations in residential and commercial properties using chemicals; traps; and prevention strategies.
75,Elevator Installer Apprentice,Construction,Elevator,50000,65000,57000,High,6,Apprenticeship,0,OSHA 10|CET,NY|CA|IL|MA|WA,Yes,Indoor,Elevator installer apprentices learn to assemble and install elevator components through a 4-year program combining on-the-job training and classroom instruction.
76,Elevator Installer/Repairer,Construction,Elevator,82766,120000,96000,High,6,Apprenticeship,4,CET|State Elevator License|OSHA 30,NY|CA|IL|MA|NJ,Yes,Indoor,Elevator installers and repairers assemble; install; maintain; and modernize elevators; escalators; and moving walkways in commercial buildings.
77,Fire Sprinkler Fitter,Construction,Fire Protection,51000,76000,62000,High,6,Apprenticeship,2,NICET|OSHA 10|State Fire Sprinkler License,NY|CA|TX|FL|MA,Yes,Indoor,Fire sprinkler fitters design layouts; install piping; and test automatic fire sprinkler systems to ensure fire protection code compliance.
78,Fire Sprinkler Foreman,Construction,Fire Protection,70000,90000,80000,High,6,Apprenticeship,5,NICET Level III|OSHA 30|State License,NY|CA|TX|FL|MA,Yes,Indoor,Fire sprinkler foremen supervise installation crews; coordinate with other trades; review blueprints; and manage fire protection system projects.
79,Fire Protection Inspector,Construction,Fire Protection,60000,85000,72000,High,6,Trade school certificate,5,NICET|ICC Fire Inspector|OSHA 10,CA|TX|FL|NY|IL,No,Indoor,Fire protection inspectors examine fire sprinkler and suppression systems to verify proper installation; maintenance; and compliance with NFPA codes.
80,Solar Panel Installer,Energy,Solar/Renewable,42000,58000,51860,Very High,42,Trade school certificate,0,OSHA 10|NABCEP PV Associate|Fall Protection,CA|TX|FL|AZ|NV,No,Heights,Solar PV installers mount solar panels on rooftops and ground arrays; connect wiring to inverters; and test system output for optimal performance.
81,Solar Installation Foreman,Energy,Solar/Renewable,60000,85000,72000,Very High,42,Trade school certificate,3,NABCEP PV Installer|OSHA 30,CA|TX|FL|AZ|NV,No,Heights,Solar installation foremen lead crews installing residential and commercial solar arrays; managing site logistics; safety; and system commissioning.
82,Solar Project Manager,Energy,Solar/Renewable,80000,130000,100000,Very High,42,Associate degree,5,NABCEP PV Installer|OSHA 30|PMP,CA|TX|FL|AZ|NY,No,Both,Solar project managers oversee multiple solar installation projects; handling permitting; scheduling; budgeting; and utility interconnection coordination.
83,Wind Turbine Technician,Energy,Solar/Renewable,55000,90000,62580,Very High,50,Trade school certificate,1,OSHA 10|GWO Basic Safety|Climbing Cert,TX|IA|OK|KS|CA,No,Heights,Wind turbine technicians inspect; diagnose; and repair wind turbine components at extreme heights; performing mechanical and electrical maintenance.
84,Wind Turbine Lead Technician,Energy,Solar/Renewable,70000,100000,85000,Very High,50,Trade school certificate,5,OSHA 30|GWO Advanced|Electrical License,TX|IA|OK|KS|CA,No,Heights,Wind turbine lead technicians manage site teams; coordinate turbine maintenance schedules; and handle advanced diagnostics on multi-megawatt turbines.
85,EV Charging Station Installer,Energy,Electrical,52000,80000,68500,Very High,15,Trade school certificate,1,EVITP|OSHA 10|Electrician License,CA|TX|FL|NY|WA,No,Outdoor,EV charging station installers design; install; and commission Level 2 and DC fast charging infrastructure for electric vehicle networks.
86,EV Charging Station Supervisor,Energy,Electrical,80000,120000,100000,Very High,15,Trade school certificate,5,EVITP|OSHA 30|Master Electrician License,CA|TX|FL|NY|WA,No,Both,EV charging supervisors manage installation crews; coordinate with utilities and site owners; and oversee multi-site EV infrastructure deployment.
87,Data Center Technician,Construction,Electrical,50000,85000,67000,Very High,11,Trade school certificate,1,OSHA 10|CompTIA Data+|CDCP,VA|TX|AZ|OH|GA,No,Indoor,Data center technicians install; maintain; and troubleshoot server infrastructure; cabling; cooling; and electrical systems in data center facilities.
88,Data Center Facilities Engineer,Construction,Electrical,75000,115000,95000,Very High,11,Associate degree,5,OSHA 30|CDCP|NFPA 70E,VA|TX|AZ|OH|GA,No,Indoor,Data center facilities engineers manage critical infrastructure including power distribution; cooling systems; and monitoring in mission-critical environments.
89,CNC Machinist (Entry),Manufacturing,General Labor,36650,50000,43000,Average,4,Trade school certificate,0,OSHA 10|NIMS Certification,OH|TX|CA|MI|IN,No,Indoor,Entry-level CNC machinists set up and operate computer-controlled lathes and mills to cut and shape metal parts to precise specifications.
90,CNC Machinist (Experienced),Manufacturing,General Labor,50000,80000,66000,Average,4,Trade school certificate,3,NIMS Certification|GD&T|OSHA 10,OH|TX|CA|MI|IN,No,Indoor,Experienced CNC machinists write G-code programs; set up multi-axis machines; and produce precision parts for aerospace; medical; and defense industries.
91,CNC Supervisor,Manufacturing,General Labor,70000,95000,82000,Average,4,Associate degree,7,NIMS Certification|OSHA 30,OH|TX|CA|MI|IN,No,Indoor,CNC supervisors manage machining departments; schedule production runs; maintain quality standards; and train operators on new equipment and programs.
92,Industrial Maintenance Technician,Manufacturing,General Labor,45000,75000,60000,Average,5,Trade school certificate,2,OSHA 10|PLC Certification|Electrical License,TX|OH|CA|MI|IN,Sometimes,Indoor,Industrial maintenance technicians troubleshoot and repair mechanical; electrical; hydraulic; and pneumatic systems to minimize manufacturing downtime.
93,Industrial Maintenance Supervisor,Manufacturing,General Labor,70000,90000,80000,Average,5,Associate degree,7,OSHA 30|PLC Certification|CMMS,TX|OH|CA|MI|IN,Sometimes,Indoor,Industrial maintenance supervisors manage maintenance teams; schedule preventive maintenance; coordinate equipment shutdowns; and maintain CMMS records.
94,Millwright,Manufacturing,General Labor,55000,87000,70000,Average,4,Apprenticeship,3,OSHA 10|Rigging Cert|Welding Cert,TX|CA|OH|MI|PA,Yes,Indoor,Millwrights install; align; and maintain industrial machinery and equipment using precision laser alignment tools; rigging; and fabrication skills.
95,Boilermaker,Energy,Pipefitting,55000,90000,73000,Average,3,Apprenticeship,3,OSHA 30|ASME Certification|Welding Cert,TX|LA|OH|PA|CA,Yes,Confined Spaces,Boilermakers fabricate; install; and repair boilers and pressure vessels in power plants; refineries; and chemical plants following ASME codes.
96,Instrumentation Technician,Energy,Electrical,55000,90000,72000,High,7,Associate degree,2,ISA CCST|OSHA 10|PLC Certification,TX|LA|CA|OH|PA,Sometimes,Indoor,Instrumentation technicians install; calibrate; and repair sensors; transmitters; and control systems used in industrial process automation.
97,Manufacturing Technician,Manufacturing,General Labor,35000,55000,45000,Average,4,High school diploma,0,OSHA 10|Forklift Certification,OH|TX|CA|MI|IN,Sometimes,Indoor,Manufacturing technicians set up; operate; and monitor production equipment; ensuring products meet quality standards and production schedules.
98,Quality Control Inspector,Manufacturing,General Labor,42000,70000,52000,Average,3,High school diploma,1,ASQ CQI|OSHA 10|GD&T,OH|TX|CA|MI|IN,No,Indoor,Quality control inspectors examine products for defects and verify adherence to specifications using measuring instruments; gauges; and testing equipment.
99,Automotive Technician,Automotive,General Labor,30000,70000,49670,Average,4,Trade school certificate,0,ASE Certifications|State Inspection License,TX|CA|FL|NY|OH,No,Indoor,Automotive technicians diagnose; repair; and maintain automobiles; working with computer systems; hybrid powertrains; and advanced driver-assistance systems.
100,Master Automotive Technician,Automotive,General Labor,60000,90000,75000,Average,4,Trade school certificate,5,ASE Master Certification|L1 Advanced,TX|CA|FL|NY|OH,No,Indoor,Master ASE-certified technicians diagnose complex vehicle issues; perform advanced electrical and hybrid system repairs; and mentor junior technicians.
101,Diesel Technician,Automotive,General Labor,50000,82000,65000,Average,5,Trade school certificate,1,ASE Medium/Heavy Truck|EPA 609|CDL,TX|CA|FL|OH|PA,No,Indoor,Diesel technicians maintain and repair diesel engines in trucks; buses; construction equipment; and industrial machinery using diagnostic tools.
102,Heavy Equipment Mechanic,Construction,General Labor,55000,85000,70000,Average,4,Trade school certificate,2,ASE|OSHA 10|CDL|Hydraulic Cert,TX|CA|AZ|OH|FL,No,Both,Heavy equipment mechanics maintain and repair excavators; bulldozers; cranes; and loaders in shops and in the field at construction sites.
103,Fleet Maintenance Technician,Automotive,General Labor,45000,70000,57000,Average,4,Trade school certificate,1,ASE|CDL|OSHA 10,TX|CA|FL|OH|GA,No,Indoor,Fleet maintenance technicians perform scheduled maintenance and repairs on company vehicle fleets; minimizing downtime and managing upkeep records.
