id,industry,category,subcategory,related_jobs,related_certifications,top_states,market_size,growth_outlook,avg_salary,description
11,Construction,Plumbing & Pipefitting,Commercial/Industrial Plumbing,"Commercial Plumber|Industrial Plumber|Medical Gas Plumber|Plumbing Foreman","Master Plumber License|OSHA 30|ASSE Backflow Certification|Medical Gas Certification|CPR/First Aid","CA|TX|NY|FL|OH",18.5,High,75800,Plumbers working on large commercial; hospital; and industrial plumbing systems including medical gas and process piping
12,Construction,Plumbing & Pipefitting,Steamfitting/Pipefitting,"Steamfitter|Pipefitter|Process Piping Mechanic|Pipe Welder","Journeyman Pipefitter License|OSHA 30|ASME Welding Cert|CPR/First Aid","TX|CA|LA|OH|PA",11.0,High,78000,Pipefitters and steamfitters who install high-pressure piping systems for steam; water; chemicals; and industrial processes
13,Construction,Plumbing & Pipefitting,Gas Plumbing,"Gas Plumber|Gas Fitter|Natural Gas Technician|Propane Service Tech","Gas Fitter License|Journeyman Plumber License|OSHA 10|CPR/First Aid","TX|CA|PA|OH|LA",4.5,Average,68000,Specialists who install; maintain; and repair natural gas and propane piping systems in residential and commercial buildings
14,Construction,Welding & Metalwork,Structural Steel Welding,"Structural Welder|Fabrication Welder|MIG Welder|Stick Welder","AWS D1.1 Structural|OSHA 10|CWI (Welding Inspector)|CPR/First Aid","TX|CA|OH|PA|IL",10.5,Average,55000,Welders who join structural steel components for buildings; bridges; and infrastructure using MIG; TIG; and stick processes
15,Construction,Welding & Metalwork,Pipe Welding,"Pipe Welder|Combo Welder|TIG Welder|Boiler Welder","AWS Pipe Welding Cert|ASME Section IX|API 1104|OSHA 30|CWI","TX|LA|CA|OK|PA",8.0,High,85000,Certified pipe welders who work on pipelines; refineries; power plants; and pressure vessels using TIG and stick processes
16,Construction,Welding & Metalwork,Underwater Welding,"Underwater Welder|Commercial Diver-Welder|Hyperbaric Welder","AWS D3.6 Underwater|NAUI/PADI Commercial Dive|OSHA 10|CPR/First Aid","LA|TX|CA|FL|WA",1.2,Average,93000,Commercial divers who perform welding and cutting operations on marine structures; offshore platforms; and underwater pipelines
17,Manufacturing,Welding & Metalwork,Robotic/Automated Welding,"Robotic Welding Technician|Welding Robot Programmer|Automated Welding Operator","AWS Certified Robotic Arc Welding|FANUC Robot Cert|OSHA 10","MI|OH|IN|TX|CA",3.5,High,65000,Technicians who program; operate; and maintain robotic and automated welding systems in manufacturing facilities
18,Construction,Carpentry & Woodwork,Rough Carpentry,"Rough Carpenter|Framer|Framing Carpenter|Carpenter Apprentice","OSHA 10|CPR/First Aid|NCCER Carpentry|Scaffold Safety","TX|FL|CA|NC|AZ",22.0,Average,49520,Carpenters who build structural frameworks including walls; floors; roof framing; scaffolding; and temporary structures
19,Construction,Carpentry & Woodwork,Finish Carpentry,"Finish Carpenter|Trim Carpenter|Cabinet Installer|Millwork Installer","OSHA 10|CPR/First Aid|NCCER Carpentry","CA|TX|FL|NY|CO",8.5,Average,62000,Skilled carpenters who install trim; molding; cabinetry; doors; windows; and other detailed interior woodwork
20,Construction,Carpentry & Woodwork,Formwork/Concrete Forming,"Formwork Carpenter|Concrete Form Setter|Foundation Carpenter","OSHA 10|CPR/First Aid|NCCER Carpentry|Scaffold Safety","TX|FL|CA|NY|GA",6.0,Average,52115,Carpenters who specialize in building and setting concrete forms for foundations; walls; columns; and structural elements
21,Construction,Heavy Equipment,Excavation & Earthmoving,"Excavator Operator|Bulldozer Operator|Loader Operator|Grader Operator|Backhoe Operator","OSHA 10|CDL Class A|NCCER Heavy Equipment|MSHA|Forklift Certification","TX|FL|CA|GA|NC",28.0,High,58710,Operators who run heavy earthmoving equipment including excavators; bulldozers; loaders; and graders on construction and civil projects
22,Construction,Heavy Equipment,Crane Operation,"Crane Operator|Tower Crane Operator|Mobile Crane Operator|Rigger|Signal Person","NCCCO Certification|OSHA 30|CDL Class A|Rigger Certification|CPR/First Aid","TX|CA|NY|FL|WA",9.5,High,79000,Licensed crane operators who lift and move heavy materials on construction sites using mobile; tower; and overhead cranes
23,Construction,Heavy Equipment,Paving & Road Construction,"Paver Operator|Roller Operator|Asphalt Worker|Road Construction Laborer","OSHA 10|CDL Class B|Flagger Certification|NCCER Heavy Equipment","TX|CA|FL|PA|OH",15.0,Average,45831,Workers who operate paving machines; rollers; and other equipment to build and repair roads; highways; and parking lots
24,Construction,Roofing,Commercial Roofing,"Commercial Roofer|Roofing Foreman|Roofing Estimator|Roof Mechanic","OSHA 30|Roofing Torch Safety|Fall Protection|CPR/First Aid|Scaffold Safety","FL|TX|CA|NY|GA",8.0,Below Average,50970,Roofers who install and repair roofing systems on commercial buildings using membranes; built-up; metal; and single-ply materials
25,Construction,Roofing,Residential Roofing,"Residential Roofer|Shingle Installer|Roof Repair Tech","OSHA 10|Fall Protection|CPR/First Aid","FL|TX|NC|GA|AZ",12.0,Below Average,48000,Roofers specializing in residential shingle; tile; and metal roof installation and repair on homes and small buildings
26,Construction,Concrete & Masonry,Concrete Finishing,"Concrete Finisher|Cement Mason|Decorative Concrete Specialist|Concrete Pump Operator","OSHA 10|ACI Flatwork Finisher|CPR/First Aid|Forklift Certification","TX|FL|CA|GA|AZ",14.0,Average,59360,Workers who pour; spread; level; and finish concrete surfaces for foundations; floors; sidewalks; and decorative applications
27,Construction,Concrete & Masonry,Bricklaying & Block,"Bricklayer|Block Mason|Stone Mason|Mason Tender","OSHA 10|NCCER Masonry|CPR/First Aid","TX|FL|NY|CA|PA",6.5,Below Average,55000,Masons who lay bricks; concrete blocks; and natural stone to construct walls; chimneys; fireplaces; and decorative structures
28,Construction,Concrete & Masonry,Structural Concrete,"Concrete Superintendent|Concrete Foreman|Rebar Worker|Post-Tension Technician","OSHA 30|ACI Certifications|CPR/First Aid|Forklift Certification","TX|FL|CA|NY|GA",10.0,Average,65000,Workers specializing in structural concrete placement; reinforcement; and post-tensioning for large commercial and civil projects
29,Construction,Painting & Finishing,Commercial Painting,"Commercial Painter|Spray Painter|Paint Foreman|Wallcovering Installer","OSHA 10|Lead-Safe Renovator (EPA RRP)|SSPC C-7|CPR/First Aid","CA|TX|FL|NY|IL",5.0,Average,55000,Painters who prepare and apply paint; coatings; and wallcoverings in commercial buildings; offices; and retail spaces
30,Construction,Painting & Finishing,Industrial Coating,"Industrial Painter|Sandblaster|Coating Inspector|Bridge Painter","SSPC C-7 Industrial Coatings|NACE Coating Inspector|OSHA 30|HAZWOPER 40|Lead Abatement","TX|CA|LA|PA|OH",4.5,Average,65000,Specialists who apply protective coatings; epoxies; and anti-corrosion treatments to bridges; tanks; and industrial structures
31,Construction,Fire Protection,Sprinkler Fitting,"Fire Sprinkler Fitter|Sprinkler Designer|Fire Protection Installer|Sprinkler Foreman","NICET Fire Sprinkler|OSHA 10|Journeyman Sprinkler Fitter License|CPR/First Aid","CA|TX|FL|NY|GA",6.8,High,58607,Fitters who install; maintain; and repair automatic fire sprinkler systems in commercial; industrial; and residential buildings
32,Construction,Fire Protection,Fire Alarm Systems,"Fire Alarm Technician|Fire Alarm Inspector|Fire Protection Engineer","NICET Fire Alarm Level I-IV|OSHA 10|State Fire Alarm License|CPR/First Aid","CA|TX|FL|NY|MA",4.2,High,62000,Technicians who install; program; test; and maintain fire detection and alarm systems in buildings
33,Energy & Utilities,Solar & Renewable,Solar PV Installation,"Solar Panel Installer|Solar Electrician|PV System Designer|Solar Project Manager","NABCEP PV Installation|OSHA 10|Journeyman Electrician License|CPR/First Aid|Fall Protection","CA|TX|FL|AZ|NV",11.0,Very High,51860,Installers who assemble; mount; and wire solar photovoltaic panel systems on rooftops and ground-mounted arrays
34,Energy & Utilities,Solar & Renewable,Wind Turbine Technology,"Wind Turbine Technician|Wind Farm Maintenance Tech|Wind Energy Technician","OSHA 10|GWO Basic Safety Training|CPR/First Aid|Fall Protection|Climbing Certification","TX|IA|OK|KS|CA",7.5,Very High,62580,Technicians who inspect; diagnose; repair; and maintain wind turbines at heights of 200-300+ feet
35,Energy & Utilities,Solar & Renewable,EV Charging Infrastructure,"EV Charging Installer|EVSE Technician|EV Infrastructure Electrician","EVITP Certification|Journeyman Electrician License|OSHA 10|CPR/First Aid","CA|TX|FL|NY|WA",3.8,Very High,68500,Electricians who design; install; maintain; and repair electric vehicle charging stations including Level 2 and DC fast chargers
36,Energy & Utilities,Solar & Renewable,Battery Storage Systems,"Battery Storage Technician|Energy Storage Installer|BESS Technician","NABCEP Energy Storage|OSHA 10|NFPA 855 Compliance|Journeyman Electrician License","CA|TX|AZ|FL|NV",2.5,Very High,72000,Technicians who install; commission; and maintain utility-scale and commercial battery energy storage systems
37,Construction,Elevator & Escalator,Elevator Installation/Repair,"Elevator Installer|Elevator Mechanic|Elevator Modernization Tech|Escalator Technician","Certified Elevator Technician (CET)|OSHA 30|State Elevator License|CPR/First Aid","NY|CA|TX|FL|IL",5.5,High,82766,Highly skilled technicians who install; maintain; repair; and modernize elevators; escalators; and moving walkways
38,Construction,Demolition,Structural Demolition,"Demolition Worker|Wrecking Crew Foreman|Demolition Equipment Operator|Abatement Worker","OSHA 30|HAZWOPER 40|Lead Abatement Certification|Asbestos Abatement|CPR/First Aid","TX|CA|NY|FL|PA",4.0,Average,52000,Workers who tear down buildings and structures using heavy equipment; explosives; and manual methods while managing hazardous materials
39,Construction,Insulation,Mechanical Insulation,"Mechanical Insulation Installer|Pipe Insulator|Boiler Insulator|Insulation Foreman","OSHA 10|NIA Certified Insulation Energy Appraiser|Asbestos Awareness|CPR/First Aid","TX|CA|OH|PA|LA",3.5,Average,54400,Installers who wrap pipes; boilers; ducts; and mechanical equipment with insulation to conserve energy and regulate temperature
40,Construction,Insulation,Building Insulation,"Insulation Installer|Spray Foam Applicator|Weatherization Technician|Energy Auditor","OSHA 10|BPI Building Analyst|EPA Lead-Safe Renovator|CPR/First Aid","TX|FL|CA|MN|NY",4.0,Average,48000,Workers who install thermal and acoustic insulation in walls; ceilings; floors; and attics of residential and commercial buildings
41,Construction,Glazing,Architectural Glazing,"Glazier|Glass Installer|Curtain Wall Installer|Storefront Glazier","OSHA 10|Fall Protection|Scaffold Safety|CPR/First Aid","CA|TX|NY|FL|WA",4.5,Average,60260,Glaziers who cut; fit; and install glass in windows; skylights; storefronts; curtain walls; and other building enclosures
42,Construction,Flooring,Floor Installation,"Tile Setter|Floor Layer|Hardwood Floor Installer|Carpet Installer|Terrazzo Worker","OSHA 10|FCICA Flooring Installer Certification|CPR/First Aid","FL|TX|CA|NY|GA",6.0,Average,57600,Installers who lay ceramic tile; hardwood; carpet; vinyl; laminate; and terrazzo flooring in residential and commercial settings
43,Construction,Ironwork,Structural Ironwork,"Structural Ironworker|Steel Erector|Iron Worker Foreman|Connector","OSHA 30|AWS Welding Cert|Rigger Certification|Fall Protection|CPR/First Aid","NY|CA|TX|IL|PA",8.0,Average,62700,Ironworkers who erect structural steel frameworks for buildings; bridges; and infrastructure projects at extreme heights
44,Construction,Ironwork,Reinforcing Ironwork,"Rebar Worker|Reinforcing Ironworker|Rod Buster|Rebar Foreman","OSHA 10|CRSI Certification|CPR/First Aid","TX|FL|CA|NY|GA",5.5,Average,59280,Workers who position and secure steel reinforcing bars (rebar) in concrete forms for foundations; walls; and structural elements
45,Construction,Sheet Metal,HVAC Sheet Metal,"Sheet Metal Worker|Duct Installer|HVAC Sheet Metal Mechanic|Sheet Metal Foreman","OSHA 10|SMACNA Certification|EPA 608|CPR/First Aid","CA|TX|NY|FL|OH",7.0,Average,56000,Workers who fabricate and install sheet metal ductwork; fittings; and components for HVAC and ventilation systems
46,Construction,Sheet Metal,Architectural Sheet Metal,"Architectural Sheet Metal Worker|Metal Roofer|Flashing Installer","OSHA 10|SMACNA Certification|Fall Protection|CPR/First Aid","CA|TX|NY|WA|IL",3.0,Average,58000,Sheet metal specialists who install metal roofing; siding; gutters; flashing; and decorative metal panels on buildings
47,Construction,Drywall,Drywall Installation & Finishing,"Drywall Installer|Drywall Taper|Drywall Finisher|Texture Specialist","OSHA 10|CPR/First Aid|Scaffold Safety","TX|FL|CA|GA|AZ",8.0,Below Average,51004,Workers who hang; tape; finish; and texture drywall panels on interior walls and ceilings in construction projects
48,Oil & Gas,Plumbing & Pipefitting,Pipeline Construction,"Pipeline Worker|Pipeline Welder|Pipeline Inspector|Pipeline Foreman|ROW Agent","API 1104|OSHA 30|CDL Class A|HAZWOPER 40|CPR/First Aid","TX|LA|OK|PA|ND",22.0,Average,99215,Workers who install; maintain; and repair underground and above-ground pipelines for oil; gas; and water transport
49,Construction,Heavy Equipment,Bridge & Highway Construction,"Bridge Builder|Highway Construction Worker|Bridge Inspector|Heavy Highway Superintendent","OSHA 30|CDL Class A|NCCCO Crane|Fall Protection|CPR/First Aid","TX|CA|NY|FL|PA",18.0,Average,99853,Specialized workers who build; repair; and maintain bridges and highway infrastructure including overpasses and interchanges
50,Mining,Heavy Equipment,Mining Operations,"Mine Equipment Operator|Miner|Mining Technician|Blaster|Mine Safety Specialist","MSHA Part 46/48|OSHA 10|CDL Class A|Blasting License|CPR/First Aid","WV|WY|PA|KY|NV",8.0,Below Average,55000,Workers who operate mining equipment; extract minerals; and maintain underground and surface mine infrastructure
51,Manufacturing,HVAC/Mechanical,Industrial Maintenance,"Industrial Maintenance Tech|Maintenance Mechanic|PLC Technician|Plant Maintenance Engineer","OSHA 10|CMRT (Maintenance Reliability)|PLC Certification|Forklift Certification|CPR/First Aid","TX|OH|MI|IN|TN",12.0,High,60000,Technicians who maintain; troubleshoot; and repair mechanical; electrical; hydraulic; and pneumatic manufacturing equipment
52,Manufacturing,Welding & Metalwork,CNC Machining,"CNC Machinist|CNC Programmer|CNC Operator|CNC Setup Technician|Tool and Die Maker","NIMS CNC Certification|OSHA 10|GD&T Certification|CMM Certification","MI|OH|IN|TX|CA",9.0,Average,64133,Machinists who set up; operate; and program computer-controlled machines to cut; shape; and form precision metal and plastic parts
53,Manufacturing,HVAC/Mechanical,Millwright,"Millwright|Industrial Mechanic|Machinery Installer|Alignment Technician","OSHA 10|Millwright Journeyman Certification|Rigging Certification|Forklift Certification","TX|CA|OH|MI|PA",5.0,Average,65000,Skilled mechanics who install; maintain; repair; and realign industrial machinery and heavy equipment in factories and power plants
54,Manufacturing,HVAC/Mechanical,Boilermaking,"Boilermaker|Pressure Vessel Welder|Boiler Inspector|Boiler Repair Tech","OSHA 30|ASME Welding Certification|NBBI Inspector|AWS Welding Cert|CPR/First Aid","TX|LA|CA|PA|OH",3.5,Below Average,73340,Workers who fabricate; install; maintain; and repair boilers; pressure vessels; and large tanks in power plants and industrial facilities
55,Manufacturing,HVAC/Mechanical,Instrumentation,"Instrumentation Technician|Controls Technician|I&C Technician|PLC Programmer","ISA CCST|OSHA 10|PLC Certification|NICET Instrumentation|CPR/First Aid","TX|LA|CA|OH|PA",4.5,High,72500,Technicians who install; calibrate; maintain; and repair industrial instruments; control systems; PLCs; and DCS platforms
56,Manufacturing,HVAC/Mechanical,Quality Control,"QC Inspector|Quality Control Technician|CMM Operator|NDT Technician|Welding Inspector","ASQ CQI|ASNT NDT Level I-III|AWS CWI|ISO 9001 Auditor|OSHA 10","MI|OH|TX|CA|IN",4.0,Average,48560,Inspectors who examine manufactured products and materials for defects using precision instruments; gauges; and testing equipment
57,Automotive & Diesel,Automotive,General Automotive Repair,"Automotive Technician|Auto Mechanic|Service Technician|Diagnostic Technician","ASE A1-A8 Certification|OSHA 10|State Emissions Inspector License|EPA 609","CA|TX|FL|NY|PA",32.0,Average,49670,Technicians who diagnose; repair; and maintain automobiles and light trucks including engines; brakes; and electrical systems
58,Automotive & Diesel,Automotive,Collision Repair,"Collision Repair Tech|Auto Body Technician|Paint Technician|Frame Technician","ASE B2-B6 Certification|I-CAR Gold Class|OSHA 10|EPA Lead-Safe","CA|TX|FL|NY|GA",6.5,Average,60068,Technicians who repair vehicle bodies damaged in collisions by restoring structural integrity; replacing panels; and refinishing surfaces
59,Automotive & Diesel,Automotive,EV/Hybrid Service,"EV Service Technician|Hybrid Repair Tech|High-Voltage Technician","ASE xEV Certification|Manufacturer HV Training|OSHA 10|NFPA 70E","CA|TX|FL|WA|NY",2.0,Very High,65000,Specialized technicians trained to service and repair electric and hybrid vehicle high-voltage systems; batteries; and drivetrains
60,Automotive & Diesel,Diesel,Diesel Engine Repair,"Diesel Technician|Diesel Mechanic|Heavy Truck Mechanic|Fleet Mechanic","ASE T1-T8 Medium/Heavy Truck|OSHA 10|CDL Class B|EPA 609|CPR/First Aid","TX|CA|FL|PA|OH",15.0,High,58798,Mechanics who maintain and repair diesel engines; transmissions; and associated systems in trucks; buses; and heavy equipment
61,Automotive & Diesel,Diesel,Heavy Equipment Repair,"Heavy Equipment Mechanic|Field Service Mechanic|Construction Equipment Tech","ASE Medium/Heavy Truck|Manufacturer Certifications|OSHA 10|CDL Class A","TX|CA|FL|OH|PA",8.0,High,70000,Mechanics who service and repair heavy construction and mining equipment including excavators; bulldozers; cranes; and loaders
62,Landscaping & Tree Care,Landscaping,Landscape Installation,"Landscaper|Landscape Foreman|Irrigation Technician|Hardscape Installer","Landscape Industry Certified Tech|Irrigation Association Cert|OSHA 10|Pesticide Applicator License","FL|TX|CA|GA|AZ",12.0,Average,42000,Landscapers who design; install; and construct outdoor spaces including plantings; irrigation systems; walkways; and retaining walls
63,Landscaping & Tree Care,Landscaping,Grounds Maintenance,"Grounds Maintenance Worker|Lawn Care Technician|Landscape Maintenance Crew Lead","Pesticide Applicator License|OSHA 10|CPR/First Aid","FL|TX|CA|GA|NC",18.0,Average,35000,Workers who mow; trim; fertilize; and maintain commercial and residential lawns; gardens; and outdoor grounds
64,Landscaping & Tree Care,Tree Care,Arboriculture,"Arborist|Tree Climber|Tree Care Specialist|Tree Risk Assessor|Plant Healthcare Technician","ISA Certified Arborist|ISA TRAQ|OSHA 10|CPR/First Aid|Pesticide Applicator License","FL|TX|CA|GA|NC",9.5,High,67000,Certified tree care professionals who assess health; prune; treat diseases; manage risk; and remove trees safely
65,Landscaping & Tree Care,Tree Care,Tree Removal & Trimming,"Tree Trimmer|Tree Climber|Utility Line Clearance Arborist|Crane-Assisted Removal Operator","ISA Certified Arborist|OSHA 10|CDL Class B|CPR/First Aid|Chainsaw Safety","FL|TX|CA|GA|NY",5.5,Average,48000,Workers who climb; trim; prune; and remove trees using chainsaws; rigging; and aerial lifts in residential; commercial; and utility settings
66,Telecommunications,Electrical,Telecom Installation,"Telecom Installer|Cable Technician|Fiber Optic Splicer|Tower Climber|Cell Tower Technician","OSHA 10|CompTIA Network+|FOA CFOT|Tower Climbing Certification|CPR/First Aid","TX|CA|FL|NY|GA",14.0,High,55000,Technicians who install; splice; and maintain fiber optic; copper; and wireless telecommunications infrastructure
67,Telecommunications,Electrical,Tower Climbing,"Tower Climber|Tower Technician|Antenna Installer|5G Installation Tech","OSHA 10|NWSA Tower Climbing|ComTrain Certification|Fall Protection|CPR/First Aid","TX|FL|CA|GA|NC",3.0,High,52000,Technicians who climb and work on communication towers at extreme heights to install; maintain; and upgrade antenna and wireless equipment
68,Marine,Welding & Metalwork,Shipbuilding & Marine Repair,"Shipfitter|Marine Welder|Ship Mechanic|Marine Electrician|Dock Builder","AWS D3.6 Marine Welding|OSHA 30|USCG Certifications|HAZWOPER 40|CPR/First Aid","VA|CT|MS|LA|CA",6.0,Average,62000,Workers who build; repair; and maintain ships; boats; barges; and marine structures in shipyards and drydocks
69,Energy & Utilities,HVAC/Mechanical,Power Plant Operations,"Power Plant Operator|Boiler Operator|Stationary Engineer|Turbine Technician","Stationary Engineer License|OSHA 30|EPA 608|Boiler Operator License|CPR/First Aid","TX|CA|PA|FL|OH",5.0,Below Average,85000,Operators who control and maintain boilers; turbines; generators; and auxiliary equipment in electrical power generating plants
70,Oil & Gas,HVAC/Mechanical,Refinery Maintenance,"Refinery Operator|Process Technician|Turnaround Mechanic|Refinery Electrician","OSHA 30|HAZWOPER 40|TWIC Card|Process Safety Management|CPR/First Aid","TX|LA|CA|OK|PA",12.0,Average,82000,Technicians who maintain; repair; and operate equipment in oil refineries and petrochemical processing facilities
71,Construction,Carpentry & Woodwork,Scaffold Building,"Scaffolder|Scaffold Erector|Scaffold Inspector|Scaffold Foreman","OSHA 30|Scaffold Competent Person|Fall Protection|CPR/First Aid","TX|CA|NY|FL|PA",3.0,Average,52000,Workers who erect; inspect; disassemble; and relocate scaffolding systems on construction and industrial project sites
72,Transportation,Diesel,Fleet & Transit Maintenance,"Bus Mechanic|Transit Maintenance Tech|Fleet Maintenance Supervisor|DOT Inspector","ASE Transit Bus (H1-H8)|CDL Class B|OSHA 10|DOT Inspector Certification|CPR/First Aid","CA|TX|NY|FL|IL",8.0,Average,58000,Mechanics who maintain and repair public transit buses; commercial fleet vehicles; and school buses to DOT safety standards
73,Construction,Concrete & Masonry,Asphalt Paving,"Asphalt Worker|Paving Machine Operator|Roller Operator|Asphalt Plant Operator|Asphalt Foreman","OSHA 10|CDL Class B|NICET Transportation|Flagger Certification","TX|CA|FL|PA|GA",10.0,Average,48000,Workers who operate paving equipment and apply asphalt materials for road construction; parking lots; and surface repair projects
74,Energy & Utilities,Solar & Renewable,Solar Thermal Systems,"Solar Thermal Installer|Solar Water Heater Tech|Solar Thermal Designer","NABCEP Solar Heating|OSHA 10|Journeyman Plumber License|CPR/First Aid","CA|FL|AZ|HI|NV",1.5,High,56000,Installers who design and install solar thermal systems for water heating and space heating in residential and commercial applications
75,Construction,Fire Protection,Fire Stopping & Firesafing,"Firestop Installer|Firesafing Technician|Passive Fire Protection Specialist","FCIA Firestop Installer|OSHA 10|UL/FM Certification|CPR/First Aid","CA|TX|NY|FL|IL",2.0,High,54000,Specialists who install firestop systems; penetration seals; and passive fire protection materials to maintain fire-rated assemblies in buildings
