id,name,issuing_body,industry,trade,cost,renewal_cost,validity_years,ce_hours,prerequisites,level,cert_type,states_required,description
47,NCCCO Tower Crane Operator,NCCCO,Construction,Heavy Equipment,3000,500,5,0,"DOT medical card|Substance abuse testing",Intermediate,Equipment,All,"OSHA-mandated certification for tower crane operators covering safe operation; load calculations; and rigging procedures for fixed tower cranes"
48,NCCCO Overhead Crane Operator,NCCCO,Construction,Heavy Equipment,2000,400,5,0,"DOT medical card|Substance abuse testing",Intermediate,Equipment,All,"Certification for overhead crane operators covering safe operation of bridge cranes; gantry cranes; and monorail hoists in industrial settings"
49,NCCCO Articulating Crane (Boom Truck) Operator,NCCCO,Construction,Heavy Equipment,2500,500,5,0,"DOT medical card|Substance abuse testing",Intermediate,Equipment,All,"Certification for articulating boom truck crane operators covering safe operation; load charts; and rigging for truck-mounted knuckle boom cranes"
50,NCCCO Telehandler Operator,NCCCO,Construction,Heavy Equipment,1500,400,5,0,"DOT medical card|Substance abuse testing",Entry,Equipment,All,"Certification for telehandler (telescopic handler) operators covering safe operation of rough terrain forklift-type equipment used on construction sites"
51,NCCER Core Curriculum,NCCER,Construction,General Safety,500,0,0,0,None,Entry,Safety,Recommended,"Introductory construction training module covering basic safety; communication; employability; hand/power tools; construction drawings; and rigging"
52,NCCER Electrical Level 1,NCCER,Construction,Electrical,750,0,0,0,NCCER Core Curriculum,Entry,Specialty,Recommended,"First-year apprentice-level electrical training covering fundamentals of electrical theory; wiring methods; and NEC code basics"
53,NCCER Electrical Level 4,NCCER,Construction,Electrical,1000,0,0,0,"NCCER Electrical Levels 1-3",Advanced,Specialty,Recommended,"Fourth-year journey-level electrical training covering system design; troubleshooting; motor controls; and advanced NEC applications"
54,NCCER Heavy Equipment Operations,NCCER,Construction,Heavy Equipment,1500,0,0,0,NCCER Core Curriculum,Intermediate,Specialty,Recommended,"Standardized training and credentialing for heavy equipment operations including dozers; excavators; loaders; and graders"
55,ISA Certified Arborist,ISA,Landscaping,Tree Care,290,220,3,30,"3+ years full-time arboricultural experience or relevant degree",Intermediate,Specialty,Recommended,"Professional certification in tree care covering tree biology; diagnosis; pruning; soil management; and risk assessment via 200-question exam"
56,ISA Tree Risk Assessment Qualification (TRAQ),ISA,Landscaping,Tree Care,400,220,3,30,ISA Certified Arborist,Advanced,Specialty,Recommended,"Advanced qualification for systematic tree risk assessment methodology including probability of failure; target assessment; and risk rating"
57,ISA Certified Arborist Utility Specialist,ISA,Utilities,Tree Care,350,220,3,30,ISA Certified Arborist,Specialist,Specialty,Recommended,"Specialized certification for arborists working in utility line clearance covering integrated vegetation management and utility-specific safety"
58,ISA Board Certified Master Arborist (BCMA),ISA,Landscaping,Tree Care,500,250,3,30,"ISA Certified Arborist|Extensive experience",Master,Specialty,Recommended,"Highest ISA credential demonstrating elite-level knowledge in arboriculture through rigorous examination and peer evaluation"
59,TCIA Certified Treecare Safety Professional (CTSP),TCIA,Landscaping,Tree Care,400,200,3,30,"3+ years field experience with 1+ year safety responsibility",Advanced,Safety,Recommended,"Safety-focused certification for tree care professionals covering hazard identification; safety program management; and ANSI Z133 compliance"
60,GAF Certified Contractor,GAF,Construction,Roofing,0,0,0,0,"Licensed|Insured|Ongoing GAF training",Intermediate,Specialty,Recommended,"Manufacturer certification from GAF (40% market share) providing standard warranty coverage for residential and commercial roofing installations"
61,GAF Master Elite Contractor,GAF,Construction,Roofing,0,0,0,0,"GAF Certified Contractor|Top 2% status|Advanced training",Master,Specialty,Recommended,"Top-tier GAF certification awarded to top 2% of roofing contractors; enables Golden Pledge Limited Warranty (50-year materials + 25-year workmanship)"
62,CertainTeed Credential Installer,CertainTeed,Construction,Roofing,0,0,0,0,"Licensed|Insured|Factory training",Intermediate,Specialty,Recommended,"Manufacturer certification from CertainTeed providing standard warranty coverage and demonstrating factory-trained installation competency"
63,CertainTeed ShingleMaster,CertainTeed,Construction,Roofing,0,0,0,0,"CertainTeed Credential Installer|Advanced training|Customer satisfaction record",Advanced,Specialty,Recommended,"Advanced CertainTeed certification enabling SureStart PLUS extended warranty; requires proven track record of customer satisfaction"
64,CertainTeed SELECT ShingleMaster,CertainTeed,Construction,Roofing,0,0,0,0,"5+ years in business|50%+ crew Master Craftsman certified",Master,Specialty,Recommended,"Highest-tier CertainTeed certification providing best available warranty package; requires 5+ years business history and majority crew certification"
65,Owens Corning Preferred Contractor,Owens Corning,Construction,Roofing,0,0,0,0,"Licensed|Insured|Screened",Intermediate,Specialty,Recommended,"Manufacturer certification from Owens Corning providing 10-year workmanship warranty coverage for roofing installations"
66,Owens Corning Platinum Preferred Contractor,Owens Corning,Construction,Roofing,0,0,0,0,"Owens Corning Preferred Contractor|Advanced training|Quality standards",Master,Specialty,Recommended,"Top-tier Owens Corning certification providing 20-year workmanship warranty coverage; requires advanced training and quality standards compliance"
67,ACI Concrete Field Testing Technician Grade I,ACI,Construction,Concrete/Masonry,635,635,5,0,None,Entry,Specialty,Recommended,"Certification covering 7 basic field tests on freshly mixed concrete including slump; air content; temperature; unit weight; and specimen preparation"
68,ACI Concrete Strength Testing Technician,ACI,Construction,Concrete/Masonry,650,650,5,0,None,Intermediate,Specialty,Recommended,"Certification covering 4 laboratory procedures for compressive and flexural strength testing of concrete cylinders and beams"
69,ACI Concrete Laboratory Testing Technician Level 1,ACI,Construction,Concrete/Masonry,800,800,5,0,ACI Concrete Field Testing Technician Grade I,Intermediate,Specialty,Recommended,"Certification covering advanced laboratory testing procedures for concrete materials including aggregate; cement; and admixture testing"
70,ACI Concrete Construction Special Inspector,ACI,Construction,Concrete/Masonry,900,900,5,0,"ACI Field Testing Grade I|Field experience",Advanced,Specialty,Recommended,"Certification for special inspection of concrete construction per IBC and ACI 318; covers reinforcement; formwork; and post-tensioning inspection"
71,ACI Concrete Flatwork Finisher/Technician,ACI,Construction,Concrete/Masonry,600,600,5,0,None,Intermediate,Specialty,Recommended,"Certification covering flatwork finishing techniques including proper placement; consolidation; finishing; and curing of concrete slabs"
72,ACI Shotcrete Nozzleman,ACI,Construction,Concrete/Masonry,700,700,5,0,Field experience in shotcrete application,Specialist,Specialty,Recommended,"Certification for wet-mix and dry-mix shotcrete application competency including proper nozzle technique; rebound control; and curing procedures"
73,NICET Fire Alarm Systems Level I,NICET,Construction,Fire Protection,310,150,3,0,"0-2 years experience",Entry,Specialty,Recommended,"Entry-level fire alarm system technician certification covering basic installation; wiring; and device placement under direct supervision"
74,NICET Fire Alarm Systems Level II,NICET,Construction,Fire Protection,350,150,3,0,"NICET Level I|2-5 years experience",Intermediate,Specialty,"CA|FL","Fire alarm system technician certification for routine tasks with minimal supervision; required by California for fire alarm system designers"
75,NICET Fire Alarm Systems Level III,NICET,Construction,Fire Protection,400,200,3,0,"NICET Level II|6-10 years experience|Recommendations",Advanced,Specialty,CA,"Senior fire alarm technician certification covering complex tasks; project management; and mentoring; required by California for plan reviewers"
76,NICET Fire Alarm Systems Level IV,NICET,Construction,Fire Protection,450,200,3,0,"NICET Level III|10+ years experience|Major project documentation",Master,Specialty,CA,"Highest-level fire alarm certification for senior technical leadership; system design; and code authority in fire protection engineering"
77,NICET Water-Based Systems Layout Level I,NICET,Construction,Fire Protection,310,150,3,0,"0-2 years experience",Entry,Specialty,Recommended,"Entry-level fire sprinkler system layout certification covering basic hydraulic calculations and system component placement"
78,NICET Water-Based Systems Layout Level II,NICET,Construction,Fire Protection,350,150,3,0,"NICET Level I|2-5 years experience",Intermediate,Specialty,Recommended,"Intermediate fire sprinkler system layout certification covering routine design tasks; hydraulic calculations; and code compliance"
79,NICET Water-Based Systems Layout Level III,NICET,Construction,Fire Protection,400,200,3,0,"NICET Level II|6-10 years experience|Recommendations",Advanced,Specialty,Recommended,"Advanced fire sprinkler system certification covering complex system design; project management; and contractor coordination"
80,NICET Water-Based Systems Layout Level IV,NICET,Construction,Fire Protection,450,200,3,0,"NICET Level III|10+ years experience|Major project documentation",Master,Specialty,Recommended,"Master-level fire sprinkler certification for senior technical leadership; full system design authority; and code interpretation"
81,NABCEP PV Associate,NABCEP,Energy,Solar,150,100,3,18,None,Entry,Specialty,Recommended,"Entry-level solar photovoltaic certification demonstrating foundational knowledge of PV system design; installation; and safety"
82,NABCEP PV Installation Professional (PVIP),NABCEP,Energy,Solar,500,200,3,18,"58+ hours NABCEP-approved PV training|5+ PV system installations documented",Intermediate,Specialty,Recommended,"Industry gold standard solar installation certification; increasingly required by state incentive programs and utility rebate programs"
83,NABCEP PV Design Specialist,NABCEP,Energy,Solar,500,200,3,18,"58+ hours NABCEP-approved PV training|Design experience",Advanced,Specialty,Recommended,"Specialized certification for solar PV system designers covering electrical design; structural considerations; and NEC compliance"
84,NABCEP PV Commissioning & Maintenance Specialist,NABCEP,Energy,Solar,500,200,3,18,"PV system experience|Commissioning knowledge",Advanced,Specialty,Recommended,"Certification for solar PV system commissioning; performance testing; troubleshooting; and ongoing maintenance procedures"
85,NABCEP Energy Storage Installation Professional (ESIP),NABCEP,Energy,Solar,500,200,3,18,"Electrical experience|Battery storage training",Specialist,Specialty,Recommended,"Certification for battery energy storage system installation; required as California and Florida expand residential solar+storage mandates"
86,NABCEP Solar Heating Installer,NABCEP,Energy,Solar,500,200,3,18,"Solar thermal experience",Intermediate,Specialty,Recommended,"Certification for solar thermal hot water and heating system installation covering collector mounting; piping; controls; and commissioning"
87,FAA Part 107 Remote Pilot Certificate,FAA,Construction,General Safety,175,175,2,0,"16+ years old|Pass 60-question knowledge test",Entry,Emerging,All,"Federal drone operation certification for commercial use including site surveying; roof inspections; progress monitoring; and thermal imaging"
88,Autodesk Certified Professional - Revit,Autodesk,Construction,General Contracting,250,250,3,0,Revit proficiency,Intermediate,Emerging,Recommended,"BIM software certification demonstrating proficiency in building information modeling; 3D design; and construction documentation using Revit"
89,Autodesk Certified Professional - AutoCAD,Autodesk,Construction,General Contracting,250,250,3,0,AutoCAD proficiency,Intermediate,Emerging,Recommended,"CAD software certification demonstrating proficiency in 2D drafting; design; and construction documentation using AutoCAD"
90,Autodesk Certified Professional - Civil 3D,Autodesk,Construction,General Contracting,250,250,3,0,Civil 3D proficiency,Intermediate,Emerging,Recommended,"Civil engineering design software certification covering surface modeling; grading; pipe networks; and corridor design for site development"
91,LEED Green Associate,USGBC,Construction,General Contracting,150,0,2,15,None,Entry,Emerging,Recommended,"Entry-level green building certification demonstrating foundational knowledge of LEED rating system; sustainable design; and environmental practices"
92,LEED AP BD+C (Building Design + Construction),USGBC,Construction,General Contracting,350,0,2,30,LEED Green Associate,Advanced,Emerging,Recommended,"Advanced green building certification with specialty in building design and construction; the most common LEED AP specialty for construction professionals"
93,EVITP (Electric Vehicle Infrastructure Training Program),EVITP,Energy,Electrical,275,150,3,0,Journeyman Electrician License or above,Specialist,Emerging,"CA|FL","Certification for installing Level 1; Level 2; and DC Fast Charging EV stations; high demand due to $7.5B federal IIJA funding for EV infrastructure"
94,CEDIA CIT (Cabling Infrastructure Technician),CEDIA,Construction,Electrical,300,150,3,0,None,Entry,Emerging,Recommended,"Entry-level smart home technician certification covering structured cabling; network infrastructure; and low-voltage wiring for residential systems"
95,CEDIA IST (Integrated Systems Technician),CEDIA,Construction,Electrical,400,200,3,0,CEDIA CIT or equivalent experience,Intermediate,Emerging,Recommended,"Mid-level smart home certification covering home automation; lighting control; audio/video distribution; security systems; and climate control"
96,CEDIA ESC-D (Electronic Systems Certified Designer),CEDIA,Construction,Electrical,650,300,3,0,"CEDIA IST|Design experience",Advanced,Emerging,Recommended,"Advanced smart home system designer certification covering whole-home automation design; networking; and integrated system architecture"
97,CompTIA Security+,CompTIA,Construction,Electrical,500,0,3,0,None,Intermediate,Emerging,Recommended,"Foundation-level cybersecurity certification relevant for building system integrators working with smart HVAC; access control; and IoT security"
98,ISA/IEC 62443 Cybersecurity Certificate,ISA,Construction,Electrical,1500,0,3,0,Industrial automation experience,Advanced,Emerging,Recommended,"Industrial automation and control system security certification covering SCADA; building automation; and operational technology cybersecurity"
99,BACnet Operator Workstation (BOW),BACnet International,Construction,HVAC,400,0,3,0,Building automation experience,Intermediate,Emerging,Recommended,"Building automation protocol certification covering BACnet communication standards; system configuration; and building management system security"
100,California C-10 Electrical Contractor License,CSLB,Construction,Electrical,1500,450,2,0,"4 years journey-level experience|Pass Law & Business + Trade exams",Advanced,Trade License,CA,"California state contractor license for electrical systems; wiring; fixtures; and apparatus installation; requires $25K bond and workers comp"
101,California C-20 HVAC Contractor License,CSLB,Construction,HVAC,1500,450,2,0,"4 years journey-level experience|Pass Law & Business + Trade exams",Advanced,Trade License,CA,"California state contractor license for HVAC system installation; maintenance; and repair; subject to Title 24 energy compliance requirements"
102,California C-36 Plumbing Contractor License,CSLB,Construction,Plumbing,1500,450,2,0,"4 years journey-level experience|Pass Law & Business + Trade exams",Advanced,Trade License,CA,"California state contractor license for plumbing systems; water heaters; and gas piping; requires $25K bond and workers comp"
103,California C-46 Solar Contractor License,CSLB,Energy,Solar,1500,450,2,0,"4 years journey-level experience|Pass Law & Business + Trade exams",Advanced,Trade License,CA,"California state contractor license for solar PV and solar thermal system installation; required under CA solar mandate (Title 24)"
104,California B General Building Contractor License,CSLB,Construction,General Contracting,1500,450,2,0,"4 years journey-level experience|Pass Law & Business + Trade exams",Advanced,Trade License,CA,"California general building contractor license for construction requiring 2+ unrelated building trades; any size project"
105,Florida Certified General Contractor (CGC),DBPR,Construction,General Contracting,650,250,2,14,"Meet net worth ($100K)|Pass Business & Finance + Trade exams|Background check",Advanced,Trade License,FL,"Florida state-certified general contractor license authorizing unlimited construction projects statewide; highest contractor credential"
106,Florida Certified Electrical Contractor,DBPR,Construction,Electrical,650,250,2,14,"Meet net worth requirements|Pass Business & Finance + NEC trade exams",Advanced,Trade License,FL,"Florida state-certified electrical contractor license authorizing electrical systems work statewide with NEC and Florida-specific code compliance"
107,Florida Certified Plumbing Contractor,DBPR,Construction,Plumbing,650,250,2,14,"Meet net worth requirements|Pass Business & Finance + FPC trade exams",Advanced,Trade License,FL,"Florida state-certified plumbing contractor license authorizing plumbing systems work statewide under the Florida Plumbing Code"
108,Florida Certified Mechanical Contractor,DBPR,Construction,HVAC,650,250,2,14,"Meet net worth requirements|Pass Business & Finance + FMC trade exams",Advanced,Trade License,FL,"Florida state-certified mechanical contractor license authorizing HVAC; refrigeration; and ventilation work statewide"
109,Florida Certified Roofing Contractor,DBPR,Construction,Roofing,650,250,2,14,"Meet net worth requirements|Pass Business & Finance + FBC Chapter 15 trade exams",Advanced,Trade License,FL,"Florida state-certified roofing contractor license with hurricane hardening competency; covers FBC wind zone requirements"
110,Florida Solar Energy Contractor,DBPR,Energy,Solar,650,250,2,14,"Meet net worth requirements|Pass Business & Finance + trade exams",Advanced,Trade License,FL,"Florida state-certified solar energy contractor license for PV and solar thermal installations; NABCEP certification preferred"
111,NCCER Welding Level 1-4,NCCER,Manufacturing,Welding,1000,0,0,0,NCCER Core Curriculum,Intermediate,Specialty,Recommended,"Standardized welding training covering SMAW; GMAW; GTAW; and FCAW processes from entry through journey-level competency"
112,NCCER Plumbing Level 1-4,NCCER,Construction,Plumbing,1000,0,0,0,NCCER Core Curriculum,Intermediate,Specialty,Recommended,"Standardized plumbing training covering DWV systems; water supply; fixture installation; code compliance; and gas piping"
113,NCCER HVAC Level 1-4,NCCER,HVAC,HVAC,1000,0,0,0,NCCER Core Curriculum,Intermediate,Specialty,Recommended,"Standardized HVAC training covering system fundamentals; installation; troubleshooting; and advanced refrigeration from entry through journey level"
114,Wilderness First Aid,Various,Construction,General Safety,300,300,2,0,None,Intermediate,Safety,Recommended,"Extended first aid certification (16+ hours) for remote construction sites and linework where emergency medical services are not immediately accessible"
115,California HERS Rater Certification,CEC-approved provider,Energy,HVAC,2000,500,2,0,"Training program completion|Pass written exam",Specialist,Specialty,CA,"Home Energy Rating System rater certification required for Title 24 energy code verification in California new construction and major renovations"
116,ATTCP Mechanical Technician,CEC-approved ATTCP,Energy,HVAC,1500,400,3,0,"HVAC experience|Training program completion",Specialist,Specialty,CA,"Acceptance Test Technician certification for performing functional testing of mechanical systems per California Title 24 energy efficiency standards"
117,ACI Aggregate Testing Technician Level 1,ACI,Construction,Concrete/Masonry,700,700,5,0,None,Intermediate,Specialty,Recommended,"Certification covering aggregate sampling and testing procedures for construction materials quality control and mix design verification"
118,NICET Special Hazard Suppression Systems Level I,NICET,Construction,Fire Protection,310,150,3,0,"0-2 years experience",Entry,Specialty,Recommended,"Entry-level certification for special hazard fire suppression systems including clean agent; CO2; and dry chemical systems"
