id,name,type,industry,trades_hired,state,city,employees,revenue,union_status,benefits,website,description
14,D.R. Horton (FL),Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete|Painting,FL,Multiple,5000,33800,Non-Union,Health|401k|Training,https://www.drhorton.com/,Largest US homebuilder by volume with major statewide Florida operations in affordable and mid-range segments
15,PulteGroup (FL),Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete|Flooring,FL,Multiple,3000,20000,Non-Union,Health|401k|Training,https://www.pultegroupinc.com/,Major national homebuilder strong in Florida 55-plus active adult communities through Del Webb brand
16,Taylor Morrison (FL),Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete,FL,Multiple,2000,7500,Non-Union,Health|401k|Training,https://www.taylormorrison.com/,Named Most Trusted Builder 2025; active in Central FL; Tampa; and Southeast Florida markets
17,Dream Finders Homes,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete|Painting,FL,Jacksonville,1500,3700,Non-Union,Health|401k|Training,https://www.dreamfindershomes.com/,Fastest-growing Florida-based homebuilder headquartered in Jacksonville with operations in Orlando and Tampa
18,Meritage Homes (FL),Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete|Solar,FL,Multiple,1500,6500,Non-Union,Health|401k|Training,https://www.meritagehomes.com/,Energy-efficient homebuilder with strong presence in Central FL; Southeast FL; and Tampa markets
19,Toll Brothers (FL),Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Carpentry|Landscaping,FL,Multiple,1000,10000,Non-Union,Health|401k|Training,https://www.tollbrothers.com/,Luxury homebuilder in Southeast Florida; Central Florida; and Tampa Bay markets
20,GL Homes,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete|Landscaping|Pool,FL,Multiple,1000,1500,Non-Union,Health|401k|Training,https://www.glhomes.com/,Southeast Florida regional homebuilder specializing in active adult communities
21,Neal Communities,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete,FL,Sarasota,500,500,Non-Union,Health|401k|Training,https://www.nealcommunities.com/,Southwest Florida regional leader in the Sarasota and Bradenton homebuilding market
22,Maronda Homes,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete,FL,Multiple,400,300,Non-Union,Health|401k,https://www.marondahomes.com/,Affordable-segment homebuilder operating in Central and Southwest Florida
23,Ashton Woods (FL),Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Carpentry,FL,Multiple,500,500,Non-Union,Health|401k|Training,https://www.ashtonwoods.com/,Design-forward homebuilder active in Orlando; Tampa; and Jacksonville Florida markets
24,Miller Electric Company,Specialty Contractor,Construction,Electrical|Fire Alarm|Data Center|Controls,FL,Jacksonville,3000,800,Both,Health|401k|Pension|Training,https://www.millerelectric.com/,One of the largest electrical contractors in the Southeast; acquired by EMCOR for $865M in 2025
25,Power Design Inc.,Specialty Contractor,Construction,Electrical|Low Voltage|Fire Alarm,FL,St. Petersburg,1500,600,Non-Union,Health|401k|Training,https://www.powerdesigninc.us/,One of the fastest-growing electrical contractors in the US; ranked top 10 nationally
26,B&I Contractors,Specialty Contractor,Construction,HVAC|Electrical|Plumbing|Controls,FL,Fort Myers,500,200,Non-Union,Health|401k|Training,https://www.bicontractors.com/,60-plus year Florida mechanical; electrical; and plumbing contractor serving Gulf Coast markets
27,Ivey Mechanical,Specialty Contractor,Construction,HVAC|Plumbing|Piping,FL,Orlando,200,100,Non-Union,Health|401k|Training,,Central Florida commercial HVAC; plumbing; and piping contractor
28,Latite Roofing & Sheet Metal,Specialty Contractor,Construction,Roofing|Sheet Metal|Waterproofing,FL,Pompano Beach,1000,200,Non-Union,Health|401k|Training,https://www.latite.com/,One of the largest roofing contractors in Florida with 30-plus statewide locations
29,Advanced Roofing Inc.,Specialty Contractor,Construction,Roofing|Waterproofing|Sheet Metal|Solar,FL,Fort Lauderdale,400,150,Non-Union,Health|401k|Training,https://www.advancedroofing.com/,Commercial and industrial roofing contractor with over 40 years of Florida experience
30,Istueta Roofing,Specialty Contractor,Construction,Roofing|Waterproofing,FL,Miami,200,80,Non-Union,Health|401k,https://www.istueta.com/,50-plus year South Florida residential and commercial roofing specialist
31,IES Residential (FL),Specialty Contractor,Residential,Electrical|Solar,FL,Multiple,500,200,Non-Union,Health|401k|Training,https://www.ies-co.com/,Multi-family and single-family electrical contractor operating statewide in Florida
32,PES Solar,Specialty Contractor,Energy,Solar|Electrical,FL,Multiple,100,30,Non-Union,Health|401k|Training,https://www.pessolar.com/,NABCEP-certified Florida solar installer with 20-plus years of experience
33,Solar Source,Specialty Contractor,Energy,Solar|Electrical,FL,Orlando,100,25,Non-Union,Health|401k|Training,https://www.solarsource.com/,Florida solar pioneer with 60000-plus installations since 1984 serving residential and commercial markets
34,Florida Power & Light (NextEra),Utility,Utilities,Linework|Electrical|Substation|Meter Tech|Heavy Equipment,FL,Juno Beach,15000,20000,Both,Health|401k|Pension|Training|Per Diem,https://jobs.nexteraenergy.com/,Largest utility employer in Florida serving 5.8M customers; offers $25K signing bonuses for certain positions
35,Duke Energy Florida,Utility,Utilities,Linework|Plant Operator|Gas Tech|Electrical,FL,Multiple,7500,5000,Both,Health|401k|Pension|Training,https://www.duke-energy.com/our-company/careers,Major investor-owned utility serving 1.9M customers in Central and North Florida
36,Tampa Electric (TECO Energy),Utility,Utilities,Linework|Gas Tech|Plant Operator|Electrical,FL,Tampa,3300,3500,Both,Health|401k|Pension|Training,https://jobs.tecoenergy.com/,Tampa Bay area utility offering a four-plus year paid lineworker apprenticeship program with Hillsborough Community College
37,JEA,Utility,Utilities,Linework|Water Tech|Wastewater|Electrical,FL,Jacksonville,2100,1500,Union,Health|Pension|Training,https://www.jea.com/careers/,Jacksonville municipal utility serving 500K customers with stable trades employment
38,Orlando Utilities Commission,Utility,Utilities,Linework|Plant Operator|Water Tech|Electrical,FL,Orlando,1100,800,Both,Health|Pension|Training,https://www.ouc.com/,Orlando municipal utility serving 260K customers with lineworker and power plant operator positions
39,Gainesville Regional Utilities,Utility,Utilities,Linework|Water Tech|Electrical,FL,Gainesville,800,400,Both,Health|Pension|Training,https://www.gru.com/,Gainesville municipal utility offering stable trades employment for lineworkers and water technicians
40,Lakeland Electric,Utility,Utilities,Linework|Plant Operator|Electrical,FL,Lakeland,500,300,Both,Health|Pension|Training,,Lakeland municipal utility serving 130K customers with lineworker and plant operator opportunities
41,FDOT (FL Dept of Transportation),Government,Government,Heavy Equipment|Concrete|Paving|Welding|Carpentry,FL,Tallahassee,5000,13700,Both,Health|Pension|Training|Per Diem,https://www.fdot.gov/,Florida DOT with $13.7B work program; expanding by 169 new lane miles; active workforce training initiative
42,USACE Jacksonville District,Government,Government,Heavy Equipment|Concrete|Electrical|Carpentry|Welding,FL,Jacksonville,2000,2000,Both,Health|Pension|Training|Per Diem,https://www.saj.usace.army.mil/,One of the largest USACE districts managing flood control; coastal protection; and Everglades restoration
43,South FL Water Management District,Government,Government,Heavy Equipment|Plumbing|Electrical|Welding,FL,West Palm Beach,800,500,Both,Health|Pension|Training,https://www.sfwmd.gov/,Water infrastructure and Everglades restoration agency with ongoing trades hiring needs
44,Tradesmen International (FL),Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|HVAC|Welding|Concrete|Heavy Equipment,FL,Multiple,2000,200,Both,Health|401k|Training,https://www.tradesmeninternational.com/,Named Construction Staffing Agency of the Year 2026; places skilled craftworkers across all Florida markets
45,PeopleReady Skilled Trades (FL),Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|Heavy Equipment|Painting,FL,Multiple,1500,150,Both,Health|Training,https://skilled.peopleready.com/,National trades staffing firm with 15-plus Florida locations; screening includes safety training verification
46,Tower Eight Staffing,Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|HVAC|Concrete,FL,Multiple,300,50,Both,Health|Training,https://tower8staffing.com/,Florida-based construction staffing agency named Forbes Best Temp Staffing 2025
47,RAMS (Reliable Staffing),Staffing Agency,Staffing,Electrical|Plumbing|HVAC|Carpentry|Welding,FL,Tampa,200,40,Both,Health|Training,,Tampa-founded (1994) skilled trades staffing with four FL branches in Tampa; Orlando; Daytona; and Jacksonville
48,QLM (Quality Labor Management),Staffing Agency,Staffing,Electrical|Mechanical|Plumbing|Solar|Marine,FL,Orlando,300,60,Both,Health|Training,https://www.qlmjobs.com/,Orlando-founded digital-first staffing agency specializing in electrical; mechanical; plumbing; solar; and marine trades
49,Trillium Staffing (FL),Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|HVAC|Heavy Equipment,FL,Multiple,500,80,Both,Health|Training,https://trilliumstaffing.com/,National construction staffing firm with offices in Miami; Orlando; Tampa; Jacksonville; and Fort Lauderdale
50,Sunrun (FL),Specialty Contractor,Energy,Solar|Electrical|Roofing|Battery Storage,FL,Multiple,500,5000,Non-Union,Health|401k|Training,https://www.sunrun.com/,Largest US residential solar installer with 500-plus Florida employees; offers solar plus battery storage
51,Haskell Company,General Contractor,Construction,Electrical|HVAC|Plumbing|Carpentry|Concrete|Welding,FL,Jacksonville,2000,2000,Non-Union,Health|401k|Training|ESOP,https://www.haskell.com/,Jacksonville-based integrated design-build firm operating across commercial and industrial sectors
52,PCL Construction (FL),General Contractor,Construction,Carpentry|Concrete|Electrical|Plumbing|HVAC,FL,Multiple,600,1000,Both,Health|401k|Training,https://www.pcl.com/,Major Canadian contractor with 600-plus Florida employees focused on aviation; healthcare; and commercial
53,PGT Innovations,Specialty Contractor,Manufacturing,Carpentry|Glazing|Installation,FL,Venice,3000,1000,Non-Union,Health|401k|Training,https://www.pgtinnovations.com/,Leading Florida impact window and door manufacturer driving hurricane hardening demand
54,Art Plumbing AC & Electric,Specialty Contractor,Residential,Plumbing|HVAC|Electrical,FL,Coral Springs,200,50,Non-Union,Health|401k|Training,https://www.artplumbingandac.com/,Multi-trade residential service contractor in Southeast Florida covering plumbing; AC; and electrical
55,DPR Construction (CA),General Contractor,Construction,Electrical|HVAC|Plumbing|Carpentry|Concrete|Cleanroom,CA,Redwood City,9000,9500,Both,Health|401k|ESOP|Training,https://www.dpr.com/,California-headquartered employee-owned contractor; $9.5B revenue; specializing in tech; healthcare; and life sciences
56,Tutor Perini Corporation,General Contractor,Construction,Heavy Equipment|Ironwork|Concrete|Electrical|Welding,CA,Sylmar,8000,5300,Union,Health|401k|Pension|Training,https://www.tutorperini.com/,Major California contractor working on the CA High-Speed Rail project and other heavy civil infrastructure
57,Swinerton,General Contractor,Construction,Carpentry|Electrical|HVAC|Plumbing|Concrete|Solar,CA,San Francisco,4500,4200,Both,Health|401k|ESOP|Training,https://www.swinerton.com/,San Francisco-based contractor with $4.2B revenue; active in commercial; renewable energy; and interiors
58,Webcor Builders,General Contractor,Construction,Carpentry|Concrete|Electrical|Plumbing|HVAC,CA,San Francisco,2000,2000,Both,Health|401k|Training,https://www.webcor.com/,Bay Area general contractor specializing in commercial and timber construction projects
59,Rudolph & Sletten,General Contractor,Construction,Carpentry|Electrical|HVAC|Plumbing|Concrete,CA,Redwood City,800,1500,Both,Health|401k|Training,https://www.rfrsletten.com/,Silicon Valley contractor focused on tech; healthcare; and education projects
60,Level 10 Construction,General Contractor,Construction,Carpentry|Electrical|HVAC|Plumbing|Concrete,CA,Sunnyvale,400,800,Both,Health|401k|Training,https://www.level10gc.com/,Sunnyvale contractor specializing in tech campus construction in Silicon Valley
61,XL Construction,General Contractor,Construction,Carpentry|Electrical|HVAC|Plumbing|Concrete,CA,Milpitas,300,800,Non-Union,Health|401k|Training,https://www.xlconstruction.com/,Milpitas-based contractor focused on tech and life sciences projects in the Bay Area
62,Granite Construction,General Contractor,Construction,Heavy Equipment|Concrete|Paving|Welding|Ironwork,CA,Watsonville,5000,3500,Union,Health|401k|Pension|Training,https://www.graniteconstruction.com/,California-headquartered heavy civil contractor specializing in highways; bridges; and water infrastructure
63,McCarthy Building Companies (CA),General Contractor,Construction,Carpentry|Electrical|HVAC|Plumbing|Concrete,CA,Multiple,1000,4000,Both,Health|401k|Training,https://www.mccarthy.com/,National builder with major California operations in healthcare; education; and commercial
64,Hensel Phelps (CA),General Contractor,Construction,Carpentry|Electrical|HVAC|Plumbing|Concrete|Heavy Equipment,CA,Irvine,2000,5500,Both,Health|401k|Training|Per Diem,https://www.henselphelps.com/,West region HQ in Irvine with $3.1B-plus NorCal revenue; focused on aviation; healthcare; and civic projects
65,Rosendin Electric,Specialty Contractor,Construction,Electrical|Data Center|Controls|Solar,CA,San Jose,7000,2500,Both,Health|401k|ESOP|Training,https://www.rosendin.com/,Largest employee-owned electrical contractor in the US; headquartered in San Jose
66,Cupertino Electric,Specialty Contractor,Construction,Electrical|Data Center|Controls|Low Voltage,CA,San Jose,4000,1500,Both,Health|401k|Training,https://www.cei.com/,Major California electrical contractor specializing in data centers; tech campuses; and healthcare
67,Helix Electric,Specialty Contractor,Construction,Electrical|Industrial|Commercial,CA,San Diego,3000,1000,Both,Health|401k|Training,https://www.helixelectric.com/,San Diego-based electrical contractor with $1B-plus revenue serving commercial and industrial markets
68,ACCO Engineered Systems,Specialty Contractor,Construction,HVAC|Plumbing|Controls|Sheet Metal,CA,Glendale,3500,1500,Both,Health|401k|Training,https://www.accoes.com/,Largest privately held mechanical contractor in the western US specializing in HVAC and plumbing
69,Morrow-Meadows Corporation,Specialty Contractor,Construction,Electrical|Data Center|Controls|Low Voltage,CA,City of Industry,1500,600,Both,Health|401k|Training,https://www.morrow-meadows.com/,Southern California MEP and data center electrical contractor
70,Murray Company,Specialty Contractor,Construction,Plumbing|Piping|Fire Protection|HVAC,CA,Los Angeles,2000,500,Union,Health|401k|Pension|Training,https://www.murraycompany.com/,100-plus year Los Angeles commercial and industrial plumbing and mechanical contractor
71,Southland Industries (CA),Specialty Contractor,Construction,HVAC|Plumbing|Fire Protection|Piping,CA,Multiple,5000,2000,Both,Health|401k|Training,https://www.southlandind.com/,Integrated MEP contractor with major California operations in mechanical; plumbing; and fire protection
72,Best Contracting Services,Specialty Contractor,Construction,Roofing|Waterproofing|Sheet Metal,CA,Gardena,1000,250,Both,Health|401k|Training,https://www.bestcontracting.com/,Top 10 national roofing contractor based in Southern California
73,KB Home,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete|Flooring,CA,Los Angeles,5000,6900,Non-Union,Health|401k|Training,https://www.kbhome.com/,Largest California-based homebuilder with operations across LA; Bay Area; Inland Empire; Sacramento; and San Diego
74,Tri Pointe Homes,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Carpentry,CA,Multiple,2000,4000,Non-Union,Health|401k|Training,https://www.tripointehomes.com/,California-rooted homebuilder with 65-plus new communities planned; focused on sustainability
75,Shea Homes,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Carpentry,CA,Multiple,1000,2000,Non-Union,Health|401k|Training,https://www.sheahomes.com/,Southern California and Bay Area homebuilder specializing in active adult and luxury segments
76,Lennar (CA),Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete,CA,Multiple,3000,35500,Non-Union,Health|401k|Training,https://www.lennar.com/,Major national homebuilder with presence across all California metro areas
77,Pacific Gas & Electric (PG&E),Utility,Utilities,Linework|Gas Tech|Plant Operator|Electrical|Meter Tech,CA,San Francisco,26000,25000,Union,Health|401k|Pension|Training,https://www.pge.com/en/about/careers.html,Largest California utility serving 16M customers; competitive hiring for lineworkers and gas technicians
78,Southern California Edison,Utility,Utilities,Linework|Substation|Meter Tech|Electrical,CA,Rosemead,13000,15000,Union,Health|401k|Pension|Training,https://www.edisoncareers.com/,Major Southern California utility serving 15M customers; hires Journeyman Lineworkers and Groundmen
79,San Diego Gas & Electric,Utility,Utilities,Linework|Gas Tech|Electrical,CA,San Diego,4600,5000,Union,Health|401k|Pension|Training,https://www.sdge.com/,San Diego utility serving 3.6M customers with lineworker and gas technician positions
80,LADWP,Utility,Utilities,Linework|Water System|Plant Operator|Electrical,CA,Los Angeles,11000,7000,Union,Health|Pension|Training,https://www.ladwp.com/,Largest municipal utility in the US serving 4M people in Los Angeles; hires across all utility trades
81,SMUD (Sacramento),Utility,Utilities,Linework|Meter Tech|Plant Operator|Electrical,CA,Sacramento,2300,1800,Union,Health|Pension|Training,https://www.smud.org/Corporate/Careers-at-SMUD,Sacramento municipal utility offering trades positions from entry/apprentice through foreman levels
82,Caltrans,Government,Government,Heavy Equipment|Concrete|Paving|Carpentry|Welding,CA,Sacramento,20000,15000,Union,Health|Pension|Training,https://dot.ca.gov/programs/human-resources/jobs,One of the largest state DOTs managing 50000-plus lane miles; actively hires maintenance workers and operators
83,LA County Dept of Public Works,Government,Government,Heavy Equipment|Plumbing|Electrical|Concrete|Carpentry,CA,Los Angeles,4000,3000,Union,Health|Pension|Training,https://dpw.lacounty.gov/,One of the largest county public works agencies in the US serving Los Angeles County
84,Flatiron Construction,General Contractor,Construction,Heavy Equipment|Ironwork|Concrete|Welding|Paving,CA,Broomfield,3000,3000,Union,Health|401k|Pension|Training|Per Diem,https://www.flatironcorp.com/,Major infrastructure contractor working on CA High-Speed Rail and bridge projects
85,Tesla Energy (CA),Specialty Contractor,Energy,Solar|Electrical|Battery Storage|Roofing,CA,Fremont,1000,5000,Non-Union,Health|401k|Stock|Training,https://www.tesla.com/,Manufacturer and installer of Solar Roof; Powerwall; and Megapack battery systems in California
86,Sunrun (CA),Specialty Contractor,Energy,Solar|Electrical|Roofing|Battery Storage,CA,San Francisco,2000,5000,Non-Union,Health|401k|Training,https://www.sunrun.com/,Largest US residential solar installer with 2000-plus California employees
87,Swinerton Renewable Energy,Specialty Contractor,Energy,Solar|Electrical|Heavy Equipment,CA,San Francisco,500,500,Union,Health|401k|Training,https://www.swinerton.com/,Utility-scale solar and wind energy division of Swinerton with 500-plus California employees
88,SASCO Electric,Specialty Contractor,Construction,Electrical|Industrial|Commercial,CA,Rancho Dominguez,500,300,Both,Health|401k|Training,,Southern California commercial and industrial electrical contractor
89,Turner Construction,General Contractor,Construction,Carpentry|Concrete|Electrical|Plumbing|HVAC|Ironwork,US,New York,10000,20200,Both,Health|401k|Pension|Training|Per Diem,https://www.turnerconstruction.com/,Largest US general contractor by revenue; $20.2B; with operations in every major metro including FL and CA
90,Bechtel Corporation,General Contractor,Construction,Heavy Equipment|Welding|Pipefitting|Electrical|Ironwork|Concrete,US,Reston,55000,15900,Both,Health|401k|Pension|Training|Per Diem,https://www.bechtel.com/,Global engineering and construction giant specializing in infrastructure; energy; defense; and mining
91,Kiewit Corporation,General Contractor,Construction,Heavy Equipment|Concrete|Ironwork|Welding|Electrical|Carpentry,US,Omaha,29000,14000,Both,Health|401k|Pension|Training|Per Diem,https://www.kiewit.com/,Top-ranked heavy civil contractor specializing in transportation; power; water; and building projects
92,Fluor Corporation,General Contractor,Construction,Welding|Pipefitting|Electrical|Heavy Equipment|Ironwork,US,Irving,30000,7900,Both,Health|401k|Pension|Training|Per Diem,https://www.fluor.com/,Global EPC contractor focused on energy; chemicals; infrastructure; and mining projects
93,AECOM,General Contractor,Construction,Heavy Equipment|Electrical|Concrete|Carpentry|Welding,US,Dallas,52000,7500,Both,Health|401k|Training|Per Diem,https://www.aecom.com/,Global infrastructure leader with 52000 employees focused on government; environment; and transportation
94,Skanska USA,General Contractor,Construction,Carpentry|Concrete|Electrical|Plumbing|HVAC|Ironwork|Heavy Equipment,US,New York,7500,6900,Both,Health|401k|Pension|Training|Per Diem,https://www.usa.skanska.com/,Swedish-headquartered international contractor with $6.9B US revenue across commercial and infrastructure
95,Whiting-Turner Contracting,General Contractor,Construction,Carpentry|Electrical|HVAC|Plumbing|Concrete,US,Baltimore,6000,6000,Both,Health|401k|Training,https://www.whiting-turner.com/,Baltimore-based general contractor specializing in commercial; institutional; and industrial projects
96,Clark Construction Group,General Contractor,Construction,Carpentry|Concrete|Electrical|Plumbing|HVAC|Ironwork,US,Bethesda,4500,5800,Both,Health|401k|Training|Per Diem,https://www.clarkconstruction.com/,Major federal and commercial contractor with operations in FL; CA; and nationwide
97,Hensel Phelps,General Contractor,Construction,Carpentry|Electrical|HVAC|Plumbing|Concrete|Heavy Equipment,US,Greeley,4200,5500,Both,Health|401k|Training|Per Diem,https://www.henselphelps.com/,Top-ranked contractor for federal; aviation; healthcare; and education projects nationwide
98,Walsh Group,General Contractor,Construction,Heavy Equipment|Concrete|Ironwork|Carpentry|Electrical,US,Chicago,8000,6000,Union,Health|401k|Pension|Training|Per Diem,https://www.walshgroup.com/,Chicago-based contractor specializing in transportation; water; and building construction
99,Lane Construction (Webuild),General Contractor,Construction,Heavy Equipment|Concrete|Paving|Ironwork|Welding,US,Cheshire,5000,4000,Union,Health|401k|Pension|Training|Per Diem,https://www.laneconstruct.com/,Major highway; bridge; and tunnel contractor owned by Italian firm Webuild
100,Quanta Services,Specialty Contractor,Construction,Electrical|Linework|Welding|Heavy Equipment|Pipefitting|Telecom,US,Houston,47000,27800,Both,Health|401k|Pension|Training|Per Diem,https://www.quantaservices.com/,Largest specialty contractor in the US at $27.8B revenue; focused on power T&D; renewable energy; and telecom
101,EMCOR Group,Specialty Contractor,Construction,Electrical|HVAC|Plumbing|Fire Protection|Controls,US,Norwalk,44000,17000,Both,Health|401k|Pension|Training,https://emcorgroup.com/,Second-largest specialty contractor nationally with $17B revenue across electrical; mechanical; and facilities
102,Comfort Systems USA,Specialty Contractor,Construction,HVAC|Plumbing|Controls|Sheet Metal|Piping,US,Houston,18300,9000,Both,Health|401k|Training,https://www.comfortsystemsusa.com/,Record $9B revenue in 2025; 47 operating units across 178 locations in 136 US cities
103,APi Group,Specialty Contractor,Construction,Fire Protection|HVAC|Electrical|Industrial,US,New Brighton,29000,7000,Both,Health|401k|Training,https://www.apigroupinc.com/,Major fire protection and mechanical contractor with 29000 employees and $7B revenue
104,MYR Group,Specialty Contractor,Construction,Electrical|Linework|Substation|Industrial,US,Thornton,8000,3700,Both,Health|401k|Training,https://myrgroup.com/,Top 5 electrical contractor for 22 consecutive years with $3.7B revenue in T&D and commercial electrical
105,IES Holdings,Specialty Contractor,Construction,Electrical|Residential|Commercial|Industrial,US,Houston,8000,2500,Non-Union,Health|401k|Training,https://www.ies-co.com/,Diversified electrical contractor serving residential; commercial; and industrial markets nationwide
106,Centuri Group,Specialty Contractor,Utilities,Welding|Pipefitting|Gas Tech|Heavy Equipment,US,Phoenix,10000,3000,Both,Health|401k|Training|Per Diem,https://www.centuri.com/,110-plus year pipeline and gas distribution contractor operating through seven companies nationwide
107,Primoris Services,Specialty Contractor,Construction,Welding|Pipefitting|Electrical|Heavy Equipment,US,Dallas,14000,5000,Both,Health|401k|Training|Per Diem,https://www.primoris.com/,Pipeline; utility; and infrastructure contractor with $5B revenue
108,D.R. Horton,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete|Painting|Flooring,US,Arlington,10000,33800,Non-Union,Health|401k|Training,https://www.drhorton.com/,Largest US homebuilder by volume with 93311 closings in 2024 across all 50 states
109,NVR Inc. (Ryan Homes),Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Carpentry,US,Reston,7000,10000,Non-Union,Health|401k|Training,https://www.nvrinc.com/,East Coast-focused homebuilder with 22000-plus annual closings through Ryan Homes brand
110,Century Communities,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete,US,Greenwood Village,3000,4200,Non-Union,Health|401k|Training,https://www.centurycommunities.com/,National homebuilder with 10000-plus annual closings across TX; FL; GA; and TN
111,Tradesmen International,Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|HVAC|Welding|Concrete|Heavy Equipment|Ironwork,US,Cleveland,5000,1000,Both,Health|401k|Training,https://www.tradesmeninternational.com/,Named Construction Staffing Agency of the Year 2026; places 50000-plus skilled craftworkers annually at 200-plus locations
112,PeopleReady Skilled Trades,Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|Heavy Equipment|Sheet Metal|Painting,US,Tacoma,10000,2000,Both,Health|Training,https://skilled.peopleready.com/,Connects 464000 people to work annually across 600-plus locations with safety training verification
113,Aerotek,Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|HVAC|Heavy Equipment|Welding,US,Hanover,10000,5000,Both,Health|401k|Training,https://www.aerotek.com/,40-year staffing leader serving 14000 clients and placing 150000 contractors annually across multiple industries
