id,name,type,state,city,programs,cost_min,cost_max,duration_months,accreditation,placement_rate,financial_aid,online_available,url,description
11,Lincoln Tech - South Plainfield,National Chain,NJ,South Plainfield,HVAC|Electrical|Welding|Automotive|Diesel,20000,35000,12,ACCSC,75,Yes,No,https://www.lincolntech.edu,Named among USA Today's America's Top Vocational Schools in 2025; offering comprehensive trade programs
12,Lincoln Tech - Melrose Park,National Chain,IL,Melrose Park,HVAC|Electrical|Welding|Automotive|CNC Machining,20000,35000,12,ACCSC,75,Yes,No,https://www.lincolntech.edu,Chicago-area campus named among USA Today's America's Top Vocational Schools; offering HVAC; electrical; and CNC programs
13,Lincoln Tech - Grand Prairie,National Chain,TX,Grand Prairie,HVAC|Electrical|Welding|Automotive|Diesel,20000,35000,12,ACCSC,73,Yes,No,https://www.lincolntech.edu,Texas Lincoln Tech campus with 73% graduation rate; serving the Dallas-Fort Worth metro with trade training
14,Lincoln Tech - Nashville,National Chain,TN,Nashville,Automotive|Diesel|HVAC|Electrical|Welding,20000,35000,12,ACCSC,75,Yes,No,https://www.lincolntech.edu,Operates as Nashville Auto-Diesel College under the Lincoln Tech umbrella; specializing in automotive and diesel technology
15,Lincoln Tech - Shelton,National Chain,CT,Shelton,HVAC|Electrical|Welding|Practical Nursing,20000,36581,12,ACCSC,65,Yes,No,https://www.lincolntech.edu,Connecticut campus with 65% graduation rate; offering trade programs and LPN training at $36;581
16,Lincoln Tech - Denver,National Chain,CO,Denver,HVAC|Electrical|Welding|Automotive,20000,35000,12,ACCSC,75,Yes,No,https://www.lincolntech.edu,Colorado campus offering trade programs in HVAC; electrical; welding; and automotive technology
17,Lincoln Tech - Columbia,National Chain,MD,Columbia,HVAC|Electrical|Welding|Automotive,20000,35000,12,ACCSC,75,Yes,No,https://www.lincolntech.edu,Maryland campus providing skilled trade training in the Baltimore-Washington metro area
18,Tulsa Welding School - Tulsa,National Chain,OK,Tulsa,Welding|HVAC|Electrical|Industrial Maintenance,21525,21525,7,ACCSC,78,Yes,No,https://www.tws.edu,Flagship campus of TWS specializing in professional welding; completable in as few as 7 months with military benefits accepted
19,Tulsa Welding School - Jacksonville,National Chain,FL,Jacksonville,Welding|HVAC|Electrical,21525,21525,7,ACCSC,78,Yes,No,https://www.tws.edu,Jacksonville campus offering welding; HVAC; and electrical programs accredited by ACCSC and Florida Commission for Independent Education
20,Tulsa Welding School - Houston,National Chain,TX,Houston,Welding|HVAC|Electrical,21525,21525,7,ACCSC,78,Yes,No,https://www.tws.edu,Houston campus serving the Gulf Coast energy sector with welding; HVAC; and electrical training programs
21,Tulsa Welding School - Dallas Metro,National Chain,TX,Dallas,Welding|HVAC|Electrical,21525,21525,7,ACCSC,78,Yes,No,https://www.tws.edu,Dallas-area campus offering accelerated welding and trade programs to serve the North Texas construction market
22,Tulsa Welding School - Decatur,National Chain,GA,Decatur,Welding|HVAC|Electrical,21525,21525,7,ACCSC,78,Yes,No,https://www.tws.edu,Newest TWS campus in the Atlanta metro area; opened to meet growing Southeast construction and manufacturing demand
23,WyoTech,National Chain,WY,Laramie,Automotive|Diesel|Collision Repair|Welding|Chassis Fabrication,31750,31750,9,ACCSC,76,Yes,No,https://www.wyotech.edu,Single-campus specialized automotive and diesel school in Laramie; Wyoming with 1;934 students and Yellow Ribbon Program participation
24,Fortis Institute - Wayne,National Chain,NJ,Wayne,HVAC|Electrical|Medical Assisting,14000,22830,12,ACCSC,72,Yes,No,https://www.fortis.edu,Northeast Fortis campus offering HVAC/R at $22;830 alongside medical and electrical programs
25,Fortis Institute - Lawrenceville,National Chain,NJ,Lawrenceville,HVAC|Electrical|Medical Assisting,14000,16669,12,ACCSC,72,Yes,No,https://www.fortis.edu,New Jersey campus focused on medical and trade careers with affordable tuition rates
26,Fortis College - Centerville,National Chain,OH,Centerville,HVAC|Electrical|Medical Assisting,14000,16000,12,ACCSC,72,Yes,No,https://www.fortis.edu,Ohio Fortis campus providing HVAC; electrical; and healthcare training programs
27,Fortis College - Tampa,National Chain,FL,Tampa,HVAC|Electrical|Medical Assisting|Dental Assisting,14000,16000,12,ACCSC,72,Yes,No,https://www.fortis.edu,Florida Fortis campus serving the Tampa Bay area with trade and healthcare career training
28,Fortis College - Richmond,National Chain,VA,Richmond,HVAC|Electrical|Medical Assisting,14000,16000,12,ACCSC,72,Yes,No,https://www.fortis.edu,Virginia campus offering HVAC and electrical programs in the growing Northern Virginia data center corridor region
29,Pennco Tech - Blackwood,Private Technical School,NJ,Blackwood,Electrical|HVAC|Automotive,10000,25000,12,ACCSC,75,Yes,No,https://www.penncotech.edu,Regional trade school with electrician program at $18;750; over 80% of students receive financial aid
30,Pennco Tech - Bristol,Private Technical School,PA,Bristol,Electrical|HVAC|Automotive,10000,25000,12,ACCSC,75,Yes,No,https://www.penncotech.edu,Pennsylvania campus offering 8 unique trade programs with day and evening course options for working adults
31,Porter and Chester Institute - Bridgeport,Private Technical School,CT,Bridgeport,Electrical|HVAC|Automotive|CADD|Practical Nursing,15640,30265,12,ACCSC,74,Yes,No,https://porterchester.edu,New England regional trade school with 67% of students receiving grants or scholarships averaging $2;687
32,Porter and Chester Institute - Hamden,Private Technical School,CT,Hamden,Electrical|HVAC|Automotive|CADD,14870,30265,12,ACCSC,74,Yes,No,https://porterchester.edu,Connecticut campus offering electrician; HVAC; automotive; and computer-aided drafting programs
33,Porter and Chester Institute - Brockton,Private Technical School,MA,Brockton,Electrical|HVAC|Automotive|Practical Nursing,15856,30265,12,ACCSC,74,Yes,No,https://porterchester.edu,Massachusetts campus serving the greater Boston area with trade and nursing career programs
34,Florida Career College - Miami,Private Technical School,FL,Miami,IT Certifications|Skilled Trades|Business,18000,20978,12,COE,68,Yes,No,https://www.floridacareercollege.com,Main South Florida campus offering IT certifications including CCNA and CompTIA A+ with 100% of students receiving financial aid
35,Florida Career College - Pembroke Pines,Private Technical School,FL,Pembroke Pines,IT Certifications|Skilled Trades|Business,18000,20978,12,COE,68,Yes,No,https://www.floridacareercollege.com,Broward County campus providing career training programs with comprehensive financial aid support
36,Florida Career College - West Palm Beach,Private Technical School,FL,West Palm Beach,IT Certifications|Skilled Trades|Business,18000,20978,12,COE,68,Yes,No,https://www.floridacareercollege.com,Palm Beach County campus offering IT; business; and select trade programs with military benefits accepted
37,Florida Career College - Hialeah,Private Technical School,FL,Hialeah,IT Certifications|Skilled Trades|Business,18000,20978,12,COE,68,Yes,No,https://www.floridacareercollege.com,Miami-Dade campus serving the Hialeah community with bilingual career training options
38,Florida Career College - Lauderdale Lakes,Private Technical School,FL,Lauderdale Lakes,IT Certifications|Skilled Trades|Business,18000,20978,12,COE,68,Yes,No,https://www.floridacareercollege.com,Broward County campus providing IT and career training with federal financial assistance available
39,Orange Technical College,State Vocational,FL,Orlando,HVAC|Electrical|Welding|Automotive|Construction|Plumbing,4000,8000,12,Regional,72,Yes,No,https://www.orangetechcollege.net,One of Florida's largest public technical colleges with 62+ career programs across 5 campuses; operating since 1933
40,Erwin Technical College,State Vocational,FL,Tampa,HVAC|Electrical|Welding|Automotive|Construction,4779,4779,12,Regional,71,Yes,No,https://www.erwintechnicalcollege.com,Tampa public technical college with 23 affordable programs at $2.92/clock hour; over 80% of students receive financial assistance
41,Sheridan Technical College - Hollywood,State Vocational,FL,Hollywood,HVAC|Electrical|Welding|Automotive|Construction,4000,8000,12,Regional,71,Yes,No,https://www.sheridantechnicalcollege.edu,Broward County public technical college with 35 specialized programs across 3 campuses and certified instructors
42,McFatter Technical College,State Vocational,FL,Davie,HVAC|Electrical|Welding|Automotive,4000,8000,12,Regional,71,Yes,No,https://www.mcfattertechnicalcollege.edu,Davie public technical college in Broward County with strong job placement outcomes for trade graduates
43,Atlantic Technical College,State Vocational,FL,Coconut Creek,HVAC|Electrical|Welding|Automotive,4000,8000,12,Regional,72,Yes,No,https://www.atlantictechnicalcollege.edu,Coconut Creek public technical college offering various trade programs at affordable public school tuition rates
44,Apex Technical School,Private Technical School,NY,New York,Automotive|HVAC|Electrical|Welding|Plumbing,15000,25000,12,ACCSC,76,Yes,No,https://www.apextech.edu,ACCSC-accredited trade school in Long Island City offering five core trade programs in the heart of New York City
45,New Castle School of Trades,Private Technical School,PA,New Castle,CNC Machining|Welding|HVAC|Electrical,15000,25000,12,ACCSC,78,Yes,No,https://www.ncstrades.edu,Pennsylvania trade school specializing in machinist technology with hands-on training and entry-level job preparation
46,Mechanical Trade Institute - Chicago,Private Technical School,IL,Chicago,Welding|Pipefitting|HVAC,15000,22000,10,ACCSC,79,Yes,No,,Illinois trade school offering accelerated programs: welding in 7 months; pipefitting in 10 months; and HVAC/R in 9 months
47,Brownson Technical School,Private Technical School,CA,Anaheim,HVAC,12000,20000,12,ACCSC,81,Yes,No,https://www.brownson.com,One of only 5 HVAC Excellence accredited schools in California; specializing in HVAC technology training
48,Philadelphia Technician Training Institute (PTT),Private Technical School,PA,Philadelphia,Concrete|Masonry|Framing|Construction,10000,20000,12,ACCSC,92,Yes,No,,Hands-on construction trade school with 80% practical curriculum and an exceptional 92% job placement rate
49,Penn Foster Online Trades,Online Program,PA,Scranton,Electrical|HVAC|Plumbing|Automotive|Diesel|Carpentry,900,1500,12,National,60,Yes,Yes,https://www.pennfoster.edu,Largest online trade school in the U.S. with 35+ skilled trades programs; self-paced scheduling; and UAW-Ford partnership
50,IBEW/NECA Electrical Training Alliance - Los Angeles,Union Training Center,CA,Los Angeles,Electrical|Telecommunications|Low Voltage,0,0,60,National,68,Limited,No,https://ibew.org,IBEW Local 11 JATC offering 5-year inside wireman apprenticeship with $22-23/hour starting pay and full benefits from Day 1
51,IBEW/NECA Electrical Training Alliance - San Francisco,Union Training Center,CA,San Francisco,Electrical|Telecommunications|Low Voltage,0,0,60,National,68,Limited,No,https://ibew.org,Bay Area IBEW JATC providing 5-year electrical apprenticeship with journeyman rates reaching $60+/hour
52,IBEW/NECA Electrical Training Alliance - Orlando,Union Training Center,FL,Orlando,Electrical|Telecommunications|Low Voltage,0,0,60,National,68,Limited,No,https://ibew.org,Central Florida IBEW JATC offering paid electrical apprenticeship with 8;000+ hours on-the-job training
53,IBEW/NECA Electrical Training Alliance - Miami,Union Training Center,FL,Miami,Electrical|Telecommunications|Low Voltage,0,0,60,National,68,Limited,No,https://ibew.org,South Florida IBEW JATC providing comprehensive electrical apprenticeship serving the Miami-Dade construction market
54,IBEW/NECA Electrical Training Alliance - Tampa,Union Training Center,FL,Tampa,Electrical|Telecommunications|Low Voltage,0,0,60,National,68,Limited,No,https://ibew.org,Tampa Bay IBEW JATC offering earn-while-you-learn electrical apprenticeship with progressive wage increases
55,IBEW/NECA Electrical Training Alliance - Houston,Union Training Center,TX,Houston,Electrical|Telecommunications|Low Voltage,0,0,60,National,68,Limited,No,https://ibew.org,Houston IBEW JATC serving the Gulf Coast energy and construction sector with paid electrical training
56,IBEW/NECA Electrical Training Alliance - Chicago,Union Training Center,IL,Chicago,Electrical|Telecommunications|Low Voltage,0,0,60,National,68,Limited,No,https://ibew.org,Chicago IBEW JATC providing 5-year apprenticeship with 900+ hours classroom instruction and healthcare benefits
57,IBEW/NECA Electrical Training Alliance - New York,Union Training Center,NY,New York,Electrical|Telecommunications|Low Voltage,0,0,60,National,68,Limited,No,https://ibew.org,New York City IBEW JATC offering highest-paying electrical apprenticeship rates in the country
58,IBEW/NECA Electrical Training Alliance - Washington DC,Union Training Center,VA,Arlington,Electrical|Telecommunications|Low Voltage,0,0,60,National,68,Limited,No,https://ibewlocal26.org,IBEW Local 26 JATC serving the DC metro area with comprehensive electrical and telecommunications training
59,UA Plumbers & Pipefitters - Los Angeles,Union Training Center,CA,Los Angeles,Plumbing|Pipefitting|Welding,0,0,60,National,68,Limited,No,https://www.ua.org,UA local JATC offering 5-year plumbing and pipefitting apprenticeship with 10% annual raises and college credit
60,UA Plumbers & Pipefitters - Jacksonville,Union Training Center,FL,Jacksonville,Plumbing|Pipefitting|Welding,0,0,60,National,68,Limited,No,https://www.ua.org,Northeast Florida UA JATC providing paid plumbing apprenticeship starting at approximately $20/hour with full benefits
61,UA Plumbers & Pipefitters - Miami,Union Training Center,FL,Miami,Plumbing|Pipefitting|Welding,0,0,60,National,68,Limited,No,https://www.ua.org,South Florida UA JATC offering plumbing and pipefitting apprenticeship with free associate degree credits
62,UA Plumbers & Pipefitters - Dallas,Union Training Center,TX,Dallas,Plumbing|Pipefitting|Welding,0,0,60,National,68,Limited,No,https://www.ua.org,North Texas UA JATC providing comprehensive plumbing training with full fringe benefits from first day of work
63,United Brotherhood of Carpenters - Los Angeles,Union Training Center,CA,Los Angeles,Carpentry|Framing|Concrete,0,0,48,National,68,Limited,No,https://www.carpentersunion.org,UBC JATC offering 4-year carpentry apprenticeship with 160 hours annual classroom instruction and journey worker certification
64,United Brotherhood of Carpenters - Orlando,Union Training Center,FL,Orlando,Carpentry|Framing|Concrete,0,0,48,National,68,Limited,No,https://www.carpentersunion.org,Central Florida UBC JATC providing carpentry apprenticeship starting at approximately 40% of journey worker wage rate
65,IUOE Operating Engineers - Sacramento,Union Training Center,CA,Sacramento,Heavy Equipment Operation|Crane Operation,0,0,36,National,68,Limited,No,,IUOE local training center for heavy equipment operators with NCCCO crane certification preparation
66,IUOE Operating Engineers - Tampa,Union Training Center,FL,Tampa,Heavy Equipment Operation|Crane Operation,0,0,36,National,68,Limited,No,,Florida IUOE training center offering heavy equipment and crane operator apprenticeship with CDL preparation
67,Ivy Tech Community College,Community College,IN,Indianapolis,Construction Management|CNC Machining|HVAC|Welding|Automotive,3500,8730,24,HLC,72,Yes,Hybrid,https://www.ivytech.edu,Indiana's largest community college system offering building construction management; CNC machinist certificate; and Tesla training partnership
68,Portland Community College,Community College,OR,Portland,Diesel|Construction Management|Welding|HVAC|Automotive,3500,8730,24,NWCCU,72,Yes,Hybrid,https://www.pcc.edu,Oregon community college offering AAS in diesel service technology and construction management with affordable tuition
69,Central Piedmont Community College,Community College,NC,Charlotte,Construction Management|Automotive|Welding|HVAC,3500,8730,24,SACSCOC,72,Yes,Hybrid,https://www.cpcc.edu,Charlotte-area community college with construction management technology program and Tesla technician training partnership
70,Columbus State Community College,Community College,OH,Columbus,Skilled Trades|HVAC|Electrical|Welding,3500,8730,24,HLC,72,Yes,Hybrid,https://www.cscc.edu,Ohio community college offering comprehensive skilled trades programs with affordable in-state tuition
71,Dallas College,Community College,TX,Dallas,Construction Management|HVAC|Electrical|Welding,1750,3500,24,SACSCOC,72,Yes,Hybrid,https://www.dallascollege.edu,Large Texas community college system offering construction management and trade programs at in-district rates
72,Tarrant County College,Community College,TX,Fort Worth,Construction Management|HVAC|Electrical|Welding,1750,3500,24,SACSCOC,72,Yes,Hybrid,https://www.tccd.edu,Fort Worth community college offering AAS in Construction Management Technology with stackable certificates
73,San Jacinto College,Community College,TX,Pasadena,Welding|HVAC|Electrical|Automotive|Diesel,1750,3500,24,SACSCOC,72,Yes,Hybrid,https://www.sanjac.edu,Southeast Houston community college serving the petrochemical corridor with strong trade programs
74,North Central Texas College,Community College,TX,Gainesville,CNC Machining|Welding|HVAC,1750,3500,24,SACSCOC,72,Yes,Hybrid,https://www.nctc.edu,Texas community college with specialized machining program serving the North Texas manufacturing sector
75,Northeast Texas Community College,Community College,TX,Mount Pleasant,Automotive|EV Technology|Welding|HVAC,1750,3500,24,SACSCOC,72,Yes,Hybrid,https://www.ntcc.edu,First accredited EV automotive technician certification program in the community college system
76,Texas State Technical College - Waco,Community College,TX,Waco,Welding|HVAC|Electrical|Diesel|Automotive|CNC Machining,2000,5000,24,SACSCOC,72,Yes,Hybrid,https://www.tstc.edu,Statewide technical college system with multiple campuses focused exclusively on career and technical education
77,Laney College,Community College,CA,Oakland,Construction Management|Welding|Carpentry,1500,4000,24,ACCJC,72,Yes,Hybrid,https://laney.edu,East Bay community college offering construction management and trade programs with Cal Grant eligibility
78,Saddleback College,Community College,CA,Mission Viejo,Automotive|EV Technology|Welding|HVAC,1500,4000,24,ACCJC,72,Yes,Hybrid,https://www.saddleback.edu,Orange County community college offering EV Technician Certificate and traditional automotive programs
79,SJVC - Rancho Cordova,Community College,CA,Rancho Cordova,Construction Management|HVAC|Electrical,5000,15000,18,ACCSC,72,Yes,Hybrid,https://www.sjvc.edu,Sacramento-area vocational college offering construction management degree and HVAC programs
80,Merritt College,Community College,CA,Oakland,Landscape Horticulture|Construction,1500,4000,24,ACCJC,72,Yes,Hybrid,https://www.merritt.edu,Oakland community college with landscape horticulture program and affordable Bay Area trade training
81,SCIT - Southern California Institute of Technology,Private Technical School,CA,Anaheim,Electrical|HVAC|Construction,12000,25000,12,ACCSC,74,Yes,No,https://www.scit.edu,Southern California trade school offering general electrician program and HVAC training
82,Pima Community College,Community College,AZ,Tucson,HVAC|Electrical|Welding|Automotive|Construction,2000,5000,24,HLC,72,Yes,Hybrid,https://www.pima.edu,Arizona community college with strong HVAC programs driven by extreme desert climate demand
83,Gateway Technical College,Community College,WI,Kenosha,IT/Data Center|HVAC|Electrical|Welding,3500,8730,24,HLC,72,Yes,Hybrid,https://www.gtc.edu,Wisconsin community college offering IT Microsoft Data Center Certificate completable in 2 semesters
84,Pikes Peak State College,Community College,CO,Colorado Springs,CNC Machining|Welding|HVAC|Electrical,3500,8730,24,HLC,72,Yes,Hybrid,https://www.pikespeak.edu,Colorado community college offering machining technology and trade programs at affordable state tuition
85,Arapahoe Community College,Community College,CO,Littleton,Construction Management|HVAC|Electrical,3500,8730,24,HLC,72,Yes,Hybrid,https://www.arapahoe.edu,Denver-area community college with construction management program and workforce development partnerships
86,Emily Griffith Technical College,State Vocational,CO,Denver,Welding|Electrical|HVAC|Automotive|Plumbing,3000,8000,12,HLC,70,Yes,No,https://www.emilygriffith.edu,Historic Denver technical college offering affordable trade programs with strong connections to local employers
87,Community College of Philadelphia,Community College,PA,Philadelphia,Construction Management|HVAC|Electrical|Welding,3500,8730,24,MSCHE,72,Yes,Hybrid,https://www.ccp.edu,Philadelphia community college offering AAS in Construction Management with affordable urban trade training
88,Wake Technical Community College,Community College,NC,Raleigh,HVAC|Electrical|Welding|Automotive,3500,8730,6,SACSCOC,72,Yes,Hybrid,https://www.waketech.edu,Raleigh-area community college offering accelerated trade programs completable in 3-6 months alongside apprenticeships
89,GTCC - Guilford Technical Community College,Community College,NC,Jamestown,Diesel|Heavy Equipment|Welding|HVAC,3500,8730,24,SACSCOC,72,Yes,Hybrid,https://www.gtcc.edu,North Carolina community college with diesel and heavy equipment technology programs
90,Florida State College at Jacksonville,Community College,FL,Jacksonville,HVAC|Electrical|Welding|Automotive|Construction,3000,8000,24,SACSCOC,72,Yes,Hybrid,https://www.fscj.edu,Large Florida state college offering trade programs with SACSCOC regional accreditation and transferable credits
91,Clover Park Technical College,Community College,WA,Lakewood,Automotive|Diesel|HVAC|Welding|Construction,3500,8000,24,NWCCU,72,Yes,Hybrid,https://www.cptc.edu,Washington state technical college and Tesla training partner offering automotive and construction trade programs
92,Bates Technical College,Community College,WA,Tacoma,Welding|Electrical|HVAC|Automotive|Diesel,3500,8000,24,NWCCU,72,Yes,Hybrid,https://www.bfreedates.edu,Tacoma technical college with comprehensive skilled trade programs serving the Puget Sound construction market
93,Tri-C - Cuyahoga Community College,Community College,OH,Cleveland,Concrete|Masonry|Construction|Skilled Trades,3500,8730,36,HLC,72,Yes,Hybrid,https://www.tri-c.edu,Cleveland community college offering 3-year cement masonry apprenticeship leading to AAS degree and journey-level status
94,City Colleges of Chicago,Community College,IL,Chicago,Construction|Masonry|Welding|HVAC|Electrical,3500,8730,24,HLC,72,Yes,Hybrid,https://www.ccc.edu,Chicago community college system offering construction masonry certificate and affordable trade training
95,Illinois Central College,Community College,IL,East Peoria,Landscaping|Horticulture|Construction,3500,8730,24,HLC,72,Yes,Hybrid,https://icc.edu,Central Illinois community college offering horticulture landscaping certificate and construction programs
96,Cincinnati State Technical College,Community College,OH,Cincinnati,Landscape Horticulture|HVAC|Electrical|Construction,3500,8730,24,HLC,72,Yes,Hybrid,https://www.cincinnatistate.edu,Ohio community college with NALP-accredited landscape horticulture degree and strong trade programs
97,Chattahoochee Technical College,Community College,GA,Marietta,Horticulture|HVAC|Electrical|Welding|Automotive,3500,8000,24,SACSCOC,72,Yes,Hybrid,https://www.chattahoocheetech.edu,Georgia technical college with NALP-accredited horticulture program and comprehensive trade training
98,Midlands Technical College,Community College,SC,Columbia,Heavy Equipment Operation|Construction|Welding,3500,8000,12,SACSCOC,72,Yes,No,https://www.midlandstech.edu,South Carolina community college with comprehensive heavy equipment operation training certificate program
99,Anne Arundel Community College,Community College,MD,Arnold,Automotive|HVAC|Electrical|Construction,3500,8730,24,MSCHE,72,Yes,Hybrid,https://www.aacc.edu,Maryland community college and Tesla technician training partner with strong trade and construction programs
100,CCBC - Community College of Baltimore County,Community College,MD,Baltimore,CNC Machining|Welding|HVAC|Electrical,3500,8730,24,MSCHE,72,Yes,Hybrid,https://www.ccbcmd.edu,Baltimore-area community college offering CNC machine tool certificate and comprehensive trade programs
101,Construction Ready,Apprenticeship Program,GA,Atlanta,Construction|Heavy Equipment|Safety,0,0,3,National,75,Limited,No,https://constructionready.org,Atlanta-based pre-apprenticeship program providing construction training and direct job placement for career seekers
102,Home Builders Institute (HBI),Apprenticeship Program,DC,Washington,Carpentry|Construction|Electrical|Plumbing,0,0,6,National,75,Limited,No,https://hbi.org,Nationwide pre-apprenticeship program in carpentry and construction trades with workforce reentry pathway support
103,Portland OIC Pre-Apprenticeship,Apprenticeship Program,OR,Portland,Construction|Carpentry|Electrical,0,0,3,National,75,Limited,No,,12-week construction pre-apprenticeship where trainees receive a stipend during training
104,TradesFutures Apprenticeship Readiness,Apprenticeship Program,DC,Washington,Construction|Electrical|Plumbing|HVAC,0,0,3,National,75,Limited,No,https://tradesfutures.org,Minimum 120 classroom hours with 104-hour core curriculum preparing candidates for registered apprenticeship entry
105,Operative Plasterers' & Cement Masons JATC - Northern CA,Union Training Center,CA,Sacramento,Concrete|Masonry|Plastering,0,0,36,National,68,Limited,No,,Northern California cement masons JATC offering 3-year apprenticeship with pre-apprenticeship programs available
106,BAC Bricklayers JATC - South Florida,Union Training Center,FL,Fort Lauderdale,Masonry|Bricklaying|Tile|Stone,0,0,36,National,68,Limited,No,,South Florida BAC JATC providing 3-year masonry apprenticeship with paid on-the-job training
107,Solar Energy International (SEI),Private Technical School,CO,Paonia,Solar Installation|Energy Storage|PV Design,2000,5000,3,NABCEP,68,Yes,Yes,https://www.solarenergy.org,Leading NABCEP prep course provider for PV installation professional certification with online and hands-on options
108,TCAT - Upper Cumberland,State Vocational,TN,Cookeville,Masonry|Welding|HVAC|Electrical|Automotive,3000,6000,12,SACSCOC,70,Yes,No,,Tennessee College of Applied Technology offering masonry technology and trade programs at affordable state rates
109,Rio Hondo Community College,Community College,CA,Whittier,Automotive|EV Technology|Welding,1500,4000,24,ACCJC,72,Yes,Hybrid,https://www.riohondo.edu,Southern California community college and Tesla technician training partner with EV technology programs
110,Clean Tech Institute,Private Technical School,CA,Los Angeles,EV Technology|Solar Installation,3000,8000,6,National,68,Yes,Yes,https://www.cleantechinstitute.org,Los Angeles institute offering Certified Electric Vehicle Technician (CEVT) program for the growing EV market
111,San Juan College,Community College,NM,Farmington,EV Technology|Fuel Cell Technology|Welding|HVAC,2000,5000,12,HLC,72,Yes,Hybrid,https://www.sanjuancollege.edu,New Mexico community college offering Electric Vehicle and Fuel Cell Technology Certificate
112,DCTC - Dakota County Technical College,Community College,MN,Rosemount,Construction Management|HVAC|Electrical|Welding,3500,8000,24,HLC,72,Yes,Hybrid,https://www.dctc.edu,Minnesota technical college offering construction management program with strong trade training options
113,Lane Community College,Community College,OR,Eugene,Landscape Technology|Construction|Welding|HVAC,3500,8000,24,NWCCU,72,Yes,Hybrid,https://www.lanecc.edu,Oregon community college offering landscape technology and construction trade programs
114,Minuteman Technical Institute,State Vocational,MA,Lexington,Carpentry|Electrical|Plumbing|HVAC,5000,12000,12,NECHE,70,Yes,No,,Massachusetts vocational-technical school offering carpentry pre-apprenticeship and skilled trade programs
115,CCAC - Community College of Allegheny County,Community College,PA,Pittsburgh,Building Automation|HVAC|Electrical|Welding,3500,8730,24,MSCHE,72,Yes,Hybrid,https://www.ccac.edu,Pittsburgh community college offering building automation systems certificate and comprehensive trade programs
116,SkillCat HVAC Training,Online Program,CA,San Francisco,HVAC,500,2000,6,National,60,No,Yes,https://www.skillcatapp.com,App-based HVAC and trade training platform offering flexible mobile-first learning for aspiring technicians
117,Smart Buildings Academy,Online Program,TX,Dallas,Building Automation|HVAC Controls,1000,3000,6,National,60,No,Yes,https://www.smartbuildingsacademy.com,Online building automation systems training offering BAS A-to-Z course and controls installer bootcamp
118,Drone Pilot Ground School,Online Program,MD,Baltimore,Drone Operations|FAA Part 107,200,400,1,National,60,No,Yes,https://www.dronepilotgroundschool.com,Most comprehensive FAA Part 107 prep course with 34;000+ students and 99.02% pass rate
