id,provider_name,type,certifications_offered,trade,state,city,format,cost_min,cost_max,duration,financial_aid,website,description
14,Solar Energy International (SEI),Online Platform,"NABCEP Associate|NABCEP PV Installation Professional|PVOL101|PVOL202|PVOL203",Solar,US,Online,Hybrid,500,2000,40-80 hours,No,https://www.solarenergy.org/nabcep,"Leading NABCEP certification prep provider with online and in-person courses for solar professionals"
15,EVITP,Online Platform,EVITP EV Charger Installation,Electrical,US,Online,Online,275,275,20 hours,Employer Paid,https://evitp.org,"Nonprofit EV charging infrastructure certification; California offers up to $2.7M in ETP funding for this cert"
16,Coursera,Online Platform,Construction Management|Energy Courses|Google Certificates,Multiple,US,Online,Online,0,50,Varies,No,https://www.coursera.org,"University-partnered trade-adjacent courses with free auditing; some offer university credit"
17,Udemy,Online Platform,"NICET Fire Alarm Level I|NEC Code|HVAC Fundamentals|Welding",Multiple,US,Online,Online,10,30,Varies,No,https://www.udemy.com,"Affordable self-paced trade cert prep courses with frequent sales at $9.99-29.99; lifetime access"
18,Mainstream Engineering (epatest.com),Online Platform,EPA 608 (Type I|Type II|Type III|Universal),HVAC,US,Online,Proctored Online,25,25,2-4 hours,No,https://ww2.epatest.com,"Lowest cost EPA 608 online proctored exam starting at $24.95; testing locator for in-person sites"
19,Mike Holt Enterprises,Exam Prep,"FL Electrical Contractor (EC)|NEC Code Training|Exam Preparation",Electrical,FL,Seminole,Hybrid,40,600,Varies,No,https://www.mikeholt.com,"Industry gold standard for electrical exam prep; thousands of electricians have passed using Mike Holt materials"
20,Gold Coast Schools,Exam Prep,"General Contractor|Building Contractor|Residential Contractor|Electrical Contractor|HVAC Contractor|Roofing Contractor|Plumbing Contractor",Multiple,FL,Fort Lauderdale,Hybrid,300,1200,1 year access,No,https://goldcoastschools.com,"Founded 1970 with multiple South FL campuses; unlimited classes and 2-Day Cram Workshops for 1 year"
21,"Contractors Exam Prep (CEI)",Exam Prep,FL Contractor Exam Prep (multiple categories),Multiple,FL,Online,Online,100,500,Varies,No,https://mycontractorexam.com,"Florida exam prep with practice tests and reference book navigation training for multiple contractor categories"
22,RocketCert,Exam Prep,"FL Plumbing Contractor|NICET Fire Alarm|Various FL Trades",Multiple,FL,Online,Online,50,300,Varies,No,https://rocketcert.com,"Online study materials and practice exams for Florida plumbing contractor and NICET fire alarm certifications"
23,Palm Construction School,Exam Prep,FL Contractor Exam Prep|FL Contractor CE,Multiple,FL,Online,Hybrid,50,300,Varies,No,https://palm-school.com,"Florida contractor exam prep and continuing education available online and in-person"
24,Fire Tech Productions,Exam Prep,"NICET Level I Inspection & Testing|NICET Level II|Water-Based Systems",Fire Protection,FL,Tampa,Hybrid,200,800,Varies,No,https://learning.firetech.com,"In-person Tampa seminars plus online NICET Level I and II prep for fire alarm and water-based systems"
25,MeyerFire,Exam Prep,NICET Fire Alarm Practice Exams|NICET Study Tools,Fire Protection,US,Online,Online,50,200,Varies,No,https://www.meyerfire.com/nicet.html,"ICC Preferred Education Provider and NICET Recognized Training Provider with comprehensive study tools"
26,ETI (Educational Training Institute),Exam Prep,NICET Sprinkler|NICET Fire Alarm|CPD/CEU,Fire Protection,US,Online,Online,50,300,Varies,No,https://eticed.com,"Online NICET sprinkler and fire alarm courses eligible for Continuing Professional Development credits"
27,Fire Alarm Training,Exam Prep,NICET Fire Alarm (practical skills),Fire Protection,US,Online,Online,50,200,Varies,No,https://firealarm.training,"NICET Recognized Training Provider focused on practical fire alarm skills and exam preparation"
28,National Training Center,Exam Prep,NICET Fire Alarm I&T Level I,Fire Protection,US,Online,Online,100,300,30-day access,No,https://nationaltrainingcenter.com,"NICET Fire Alarm Inspection and Testing Level I training with 30-day course access period"
29,Fire Cert Academy,Exam Prep,NICET Fire Alarm Practice Exams,Fire Protection,US,Online,Online,30,150,Varies,No,https://firecertacademy.com,"NICET fire alarm practice exams and study resources for all certification levels"
30,Contractors State License Schools (CSLS),Exam Prep,All CA CSLB Classifications (A|B|C-10|C-20|C-36|C-46),Multiple,CA,Multiple,Hybrid,295,1195,Varies,No,https://contractorslicensingschools.com,"40+ years with 200K+ graduates and 99% pass rate; 25 CA locations with money-back pass guarantee"
31,Contractors State License Services,Exam Prep,CA CSLB Classifications,Multiple,CA,Multiple,Hybrid,300,800,Varies,No,https://contractorexamschools.com,"California contractor license exam preparation in classroom; online; and hybrid formats"
32,Contractors iSchool,Exam Prep,CA CSLB Classifications,Multiple,CA,Multiple,Hybrid,200,600,Varies,No,https://www.contractorsischool.com,"California contractor license exam preparation for multiple trade classifications"
33,Contractor School,Exam Prep,CA CSLB Classifications,Multiple,CA,Online,Online,300,800,Varies,No,https://contractorschool.com,"CSLB exam prep with guaranteed pass; provides total licensing cost breakdowns for applicants"
34,Electrical Training Center Inc.,Training School,"C-10 Electrical|Master Plumber|Master Electrician|NABCEP",Electrical,CA,Multiple,Hybrid,500,2000,Varies,No,https://electricaltrainingcenter.edu,"NABCEP registered training provider offering master electrician/plumber license prep courses"
35,USF OSHA Training Institute Education Center,Training School,"OSHA 10|OSHA 30|OSHA #500|OSHA #501|OSHA #510|OSHA #511|Fall Protection|Confined Spaces",General Safety,FL,Wesley Chapel,Hybrid,200,800,Varies,No,https://health.usf.edu/publichealth/research/otiec,"Primary OTI Education Center serving Florida and the Southeast; full OSHA catalog including trainer courses"
36,UF TREEO Center,Training School,"OSHA Outreach|Safety Fundamentals|Backflow Prevention Tester",Multiple,FL,Gainesville,Hybrid,200,800,32 hours,No,https://treeo.ufl.edu/osha-training/,"Only training provider endorsed by FL Section of AWWA for backflow prevention; statewide coverage"
37,CSUDH OSHA Training Institute Education Center,Training School,"OSHA 10|OSHA 30|OSHA #500|OSHA #501|OSHA #510|OSHA #511|Cal/OSHA",General Safety,CA,Carson,Hybrid,200,800,Varies,No,https://www.csudh.edu/osha/,"Only CSU awarded DOL OTI Education Center; serves CA; AZ; NV; HI; Guam; American Samoa; CNMI"
38,UC San Diego Extension OTI Education Center,Training School,"Cal/OSHA|Federal OSHA|Industry-Specific Safety",General Safety,CA,San Diego,In-Person,200,800,Varies,No,https://extendedstudies.ucsd.edu/osha/courses/cal-osha-courses,"Serves the western US including AK; AZ; CA; HI; ID; NV; OR; WA with in-person OSHA courses"
39,Chabot-Las Positas CCD OTI Education Center,Training School,"OSHA Outreach|Safety Management|Train-the-Trainer",General Safety,CA,Dublin,Hybrid,200,800,Varies,No,https://osha4you.com,"OSHA Training Institute Education Center serving Northern California and surrounding states"
40,HAZWOPER Center Miami,Training School,"OSHA 10|OSHA 30|HAZWOPER 8|HAZWOPER 24|HAZWOPER 40|Confined Space|Fall Protection",General Safety,FL,Miami,In-Person,200,2000,1-5 days,No,https://osha-pros.com,"In-person OSHA and HAZWOPER training in South Florida including confined space and fall protection"
41,HAZWOPER Center Los Angeles,Training School,"OSHA 10|OSHA 30|HAZWOPER|Confined Space|Fall Protection",General Safety,CA,Los Angeles,In-Person,200,2000,1-5 days,No,https://hazwopercenter.com,"In-person OSHA and HAZWOPER training in the LA metro area with multiple safety course offerings"
42,UniShield,Training School,"OSHA Compliance|Cal/OSHA|CPR/First Aid|Fall Protection",General Safety,CA,Los Angeles,In-Person,50,300,4-8 hours,No,https://socalfirstaid.com,"Covers Greater LA; San Diego; Orange; Ventura; and San Bernardino Counties for safety and CPR training"
43,OSHA Training Services Inc.,Training School,"OSHA 10|OSHA 30|Confined Space|Excavation Competent Person",General Safety,FL,Multiple,In-Person,200,800,1-4 days,No,https://oshatraining.com,"On-site OSHA training throughout Florida for construction and general industry companies"
44,Tulsa Welding School - Jacksonville,Training School,"Professional Welding|Welding Specialist with Pipefitting|HVAC/R|Electrical Lineworker|AWS CW",Multiple,FL,Jacksonville,In-Person,18000,21525,7-9.5 months,GI Bill,https://www.tws.edu/campus/jacksonville/,"AWS Accredited Test Facility with FAFSA-eligible programs; GI Bill approved; 7-month welding program"
45,Miami Dade College,Community College,"Electrical|HVAC|Welding|Construction Management",Multiple,FL,Miami,In-Person,3000,6000,1-2 years,Yes,https://www.mdc.edu,"Affordable trade certification programs with Title IV financial aid eligibility and Pell Grant options"
46,Valencia College,Community College,"HVAC|Electrical|Construction Technology",Multiple,FL,Orlando,In-Person,3000,6000,1-2 years,Yes,https://www.valenciacollege.edu,"Orlando area community college offering HVAC; electrical; and construction technology programs"
47,Hillsborough Community College,Community College,"Electrical|HVAC|Welding|Construction Management",Multiple,FL,Tampa,In-Person,3000,6000,1-2 years,Yes,https://www.hccfl.edu,"Tampa area community college with trade programs in electrical; HVAC; welding; and construction"
48,Indian River State College (IRSC),Community College,"Electrical Apprenticeship|Plumbing Apprenticeship|Welding Apprenticeship|HVAC Apprenticeship",Multiple,FL,Fort Pierce,In-Person,2000,6000,2-4 years,Yes,https://www.irsc.edu,"Registered apprenticeship programs with employer-sponsored training options on the Treasure Coast"
49,South Florida State College (SFSC),Community College,"Welding (AWS)|OSHA|Forklift|NCCER Core|Electrical|Carpentry|Plumbing|Masonry",Multiple,FL,Avon Park,In-Person,3000,6000,8 weeks - 2 years,Yes,https://www.southflorida.edu,"NCCER accredited with AWS certifications; eight-week certificate courses available; OSHA and forklift credentials"
50,Orange Technical College,Training School,"Welding|HVAC/R|Electrical|Plumbing|OSHA",Multiple,FL,Orlando,In-Person,3000,6000,1-2 years,Yes,https://www.orangetechcollege.net,"Orlando technical college offering trade certification programs with OSHA training integration"
51,Manatee Technical College,Training School,"Welding (AWS ATF)|Electrical|HVAC|Construction",Multiple,FL,Bradenton,In-Person,3000,6000,1-2 years,Yes,https://www.manateetech.edu,"One of only four AWS Accredited Test Facilities in Florida; also offers NCCER accredited training"
52,College of Central Florida,Community College,Welding Technology Career & Technical Certificate,Welding,FL,Ocala,In-Person,3000,5000,1 year,Yes,https://www.cf.edu,"Welding technology career and technical certificate program in the Ocala area"
53,First Coast Technical College,Training School,Various Trade Programs|Pearson VUE Testing,Multiple,FL,St. Augustine,In-Person,3000,6000,Varies,Yes,https://www.fctc.edu,"Trade programs with on-site Pearson VUE testing center for contractor and professional exams"
54,Pensacola State College,Community College,Various Trade Programs|Pearson VUE Testing,Multiple,FL,Pensacola,In-Person,3000,5000,Varies,Yes,https://www.pensacolastate.edu,"Northwest Florida trade programs with integrated Pearson VUE testing center"
55,Pearson VUE - Jacksonville FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Jacksonville,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 8659 Baypine Road Suite 305 for FL contractor licensing and NICET exams"
56,Pearson VUE - Miami FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Miami,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 8615-8617 South Dixie Highway for FL contractor and professional certification exams"
57,Pearson VUE - Orlando FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Orlando,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 1707 Orlando Central Parkway Suite 300 for FL contractor licensing exams"
58,Pearson VUE - Tampa FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Tampa,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 3922 Coconut Palm Drive Suite 101 for FL contractor and NICET certification exams"
59,Pearson VUE - Tampa FL (Urban Center),Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Tampa,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Alternate Tampa testing center at One Urban Center Suite 442 for FL contractor exams"
60,Pearson VUE - St. Petersburg FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,St. Petersburg,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 877 Executive Center Drive Suite 350 in Baypoint Commerce Center"
61,Pearson VUE - Fort Lauderdale FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Fort Lauderdale,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 6499 Powerline Road Suite 101 for FL contractor licensing and professional exams"
62,Pearson VUE - Fort Lauderdale FL (NW 33rd),Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Fort Lauderdale,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Alternate Fort Lauderdale testing center at 5300 NW 33rd Avenue Suite 218"
63,Pearson VUE - Pembroke Pines FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Pembroke Pines,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 7369 Sheridan Street Suite 204 for FL contractor and professional exams"
64,Pearson VUE - Plantation FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Plantation,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 1000 South Pine Island Road Suite 260 for FL contractor licensing exams"
65,Pearson VUE - Coral Springs FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Coral Springs,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 3300 N. University Drive Suite 308 for FL contractor and professional exams"
66,Pearson VUE - Deerfield Beach FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Deerfield Beach,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 1191 East Newport Center Drive 3rd Floor Penthouse A"
67,Pearson VUE - Lakeland FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Lakeland,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 212 E Highland Drive Suite 101 serving Polk County and Central FL"
68,Pearson VUE - Gainesville FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Gainesville,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 2815 NW 13th Street Suite 101 serving North Central Florida"
69,Pearson VUE - Clearwater FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Clearwater,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 10990 US Highway 19 North serving Tampa Bay area"
70,Pearson VUE - Altamonte Springs FL,Testing Center,"FL DBPR Construction Exams|NICET|Professional Exams",Multiple,FL,Altamonte Springs,In-Person,135,135,Varies,No,https://www.pearsonvue.com/us/en/fl/construction.html,"Testing center at 237 South Westmonte Drive Suite 305 serving Orlando metro"
71,PSI Testing - Orlando FL,Testing Center,"FL Alarm Systems|FL Business & Finance|FL CGC|FL CBC|FL CRC|FL Limited Energy",Multiple,FL,Orlando,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center at 5125 Adanson Street administering FL contractor licensing exams"
72,PSI Testing - Miami FL,Testing Center,"FL Alarm Systems|FL Business & Finance|FL CGC|FL CBC|FL CRC|FL Residential Electrical",Multiple,FL,Miami,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center at 5600 NW 36th Street administering multiple FL contractor exams"
73,ESCO Institute - Florida,Testing Center,"EPA 608 Type I|EPA 608 Type II|EPA 608 Type III|EPA 608 Universal",HVAC,FL,Homestead,In-Person,100,775,4 hours,No,https://www.escogroup.org/training/epa608.aspx,"Multiple ESCO-approved test sites in Florida; one-on-one proctored exams available in Homestead"
74,CICB Orlando Training Center,Training School,"NCCCO Certification Prep|Crane Safety|Rigging Training|OSHA Compliance",Crane Operation,FL,Orlando,In-Person,1000,5000,3-5 days,No,https://www.cicb.com/orlando-training-center,"Crane operator training covering Orlando; Miami; Tampa; Fort Lauderdale; Jacksonville and more FL cities"
75,The Crane School - Seffner,Training School,"NCCCO Certification Prep|Mobile Crane Training",Crane Operation,FL,Seffner,In-Person,2000,5000,5 days,No,https://thecraneschool.com,"NCCCO certification prep and mobile crane operator training in the Tampa Bay area"
76,The Crane School - Jacksonville,Training School,"NCCCO Certification Prep|Mobile Crane Training",Crane Operation,FL,Jacksonville,In-Person,2000,5000,5 days,No,https://thecraneschool.com/florida-jacksonville,"NCCCO crane operator certification prep and training serving Northeast Florida"
77,"Crane Edge, LLC",Training School,"NCCCO Written Exam Training|Crane Operator Prep",Crane Operation,FL,Multiple,Hybrid,1000,3000,3-5 days,No,https://floridacranetraining.com,"NCCCO written exam training at your site; their facility; or online proctored throughout Florida"
78,Academy Training Center,Training School,"NCCER Signal Person|NCCER Rigger Level I|NCCER Rigger Level II|Crane Operator Prep",Crane Operation,FL,Multiple,In-Person,500,2000,3-5 days,No,https://getacademytrained.com,"NCCER accredited training for signal person certification and rigger credentials at multiple FL locations"
79,Magwood Weld Inspections,Testing Center,"AWS Certified Welder (CW)|Structural Welding|Pipe Welding",Welding,FL,Multiple,In-Person,200,500,Varies,No,https://magwoodweldinspection.com,"AWS CWI-established comprehensive welder testing in South Florida"
80,"Kruger's Training Academy",Training School,Backflow Prevention Assembly Tester Certification,Plumbing,FL,Multiple,In-Person,400,800,32 hours,No,https://krugerstraining.academy/florida,"32-hour Backflow Prevention Testers Certification Course (USC-FCCHR 10th Edition) at multiple FL locations"
81,Backflow Institute,Training School,Certified Backflow Tester,Plumbing,FL,Multiple,In-Person,400,800,32 hours,No,https://backflowinstitute.com,"FL CILB #0004963 certified backflow tester courses offered statewide"
82,Contractors Prep (Institute of Cross Connections),Training School,Backflow Prevention Testers Certification,Plumbing,FL,Multiple,In-Person,400,800,32 hours,No,https://1contractorsprep.com,"32-hour Backflow Prevention Testers Certification Course offered statewide in Florida"
83,Red Cross - Miami FL,Red Cross/AHA,"CPR/AED|First Aid|BLS",General Safety,FL,Miami,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/local/florida/take-a-class/cpr-miami-fl,"American Red Cross CPR and First Aid classes with online; blended; and full in-person options"
84,Red Cross - Fort Lauderdale FL,Red Cross/AHA,"CPR/AED|First Aid|BLS",General Safety,FL,Fort Lauderdale,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/local/florida/take-a-class/cpr-fort-lauderdale-fl,"2-year OSHA-compliant CPR/First Aid certification with blended learning format"
85,Red Cross - Orlando FL,Red Cross/AHA,"CPR/AED|First Aid|BLS",General Safety,FL,Orlando,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/local/florida/take-a-class/cpr-orlando-fl,"Red Cross CPR and First Aid classes in Central Florida with multiple delivery formats"
86,Red Cross - Tampa FL,Red Cross/AHA,"CPR/AED|First Aid|BLS",General Safety,FL,Tampa,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/local/florida/take-a-class/cpr-tampa-fl,"Red Cross CPR and First Aid training in the Tampa Bay area"
87,Red Cross - Jacksonville FL,Red Cross/AHA,"CPR/AED|First Aid|BLS",General Safety,FL,Jacksonville,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/local/florida/take-a-class/cpr-jacksonville-fl,"Red Cross CPR and First Aid classes serving Northeast Florida"
88,HeartCore Medical Training,Red Cross/AHA,"CPR|BLS|ACLS|PALS",General Safety,FL,Orlando,In-Person,50,200,4-8 hours,No,https://heartcoremedicaltraining.com,"AHA-authorized training center offering BLS; ACLS; and PALS courses in Central Florida"
89,Mid-Florida CPR,Red Cross/AHA,"AHA BLS|ACLS|PALS|Instructor Classes",General Safety,FL,Longwood,In-Person,50,200,4-8 hours,No,https://midflcpr.com,"AHA training center near Orlando offering BLS; ACLS; PALS; and instructor certification classes"
90,CPR Florida,Red Cross/AHA,"BLS|ACLS|PALS|CPR|First Aid",General Safety,FL,Multiple,In-Person,50,200,4-8 hours,No,https://cprflorida.net,"AHA-certified CPR and First Aid training at multiple locations throughout Florida"
91,HealthForce Training Center,Red Cross/AHA,"CPR|BLS|ACLS|PALS|First Aid",General Safety,FL,Jacksonville,In-Person,50,200,4-8 hours,No,https://healthforcetrainingcenter.com,"Multi-location AHA training center serving Jacksonville; Gainesville; and surrounding areas"
92,ABC Florida Gulf Coast Chapter,Union Training Center,"Electrical Apprenticeship|HVAC Apprenticeship|Plumbing Apprenticeship|Sheet Metal Apprenticeship|NCCER",Multiple,FL,Tampa,In-Person,0,5000,4 years,Employer Paid,https://www.abc.org,"Merit shop apprenticeships with earn-while-you-learn model; employer pays tuition; NCCER accredited"
93,Contractors Institute,Exam Prep,FL Contractor Continuing Education,Multiple,FL,Online,Online,50,200,14 hours,No,https://contractorsinstitute.com,"DBPR-approved continuing education provider for Florida licensed contractors"
94,Training Licensing Center (TLC),Exam Prep,FL Contractor Continuing Education,Multiple,FL,Online,Online,50,200,14 hours,No,https://tlclicensing.com,"Online DBPR-approved continuing education for Florida contractor license renewal"
95,PacePDH,Exam Prep,FL Contractor Continuing Education,Multiple,FL,Online,Online,30,150,14 hours,No,https://pacepdh.com,"Online continuing education provider approved by Florida DBPR for contractor CE requirements"
96,PSI Testing - Agoura Hills CA,Testing Center,"CA CSLB Contractor Exams (Class A|B|C trades)",Multiple,CA,Agoura Hills,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center administering CSLB contractor licensing exams in the LA metro area"
97,PSI Testing - Carson CA,Testing Center,"CA CSLB Contractor Exams (Class A|B|C trades)",Multiple,CA,Carson,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center for CSLB exams in South LA / South Bay area"
98,PSI Testing - Fresno CA,Testing Center,"CA CSLB Contractor Exams (Class A|B|C trades)",Multiple,CA,Fresno,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center for CSLB contractor licensing exams in the Central Valley"
99,PSI Testing - Irvine CA,Testing Center,"CA CSLB Contractor Exams (Class A|B|C trades)",Multiple,CA,Irvine,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center for CSLB contractor licensing exams in Orange County"
100,PSI Testing - Sacramento CA,Testing Center,"CA CSLB Contractor Exams (Class A|B|C trades)",Multiple,CA,Sacramento,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center for CSLB contractor licensing exams in the Sacramento capital region"
101,PSI Testing - San Diego CA,Testing Center,"CA CSLB Contractor Exams (Class A|B|C trades)",Multiple,CA,San Diego,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center for CSLB contractor licensing exams in Southern California"
102,PSI Testing - San Francisco CA,Testing Center,"CA CSLB Contractor Exams (Class A|B|C trades)",Multiple,CA,San Francisco,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center for CSLB contractor licensing exams in the Bay Area"
103,PSI Testing - Riverside CA,Testing Center,"CA CSLB Contractor Exams (Class A|B|C trades)",Multiple,CA,Riverside,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center for CSLB contractor licensing exams in the Inland Empire"
104,PSI Testing - Santa Clara CA,Testing Center,"CA CSLB Contractor Exams (Class A|B|C trades)",Multiple,CA,Santa Clara,In-Person,100,200,Varies,No,https://www.psiexams.com,"PSI testing center for CSLB contractor licensing exams in Silicon Valley / South Bay Area"
105,Brownson Technical School,Training School,"EPA 608|HVAC Professional Certification",HVAC,CA,Anaheim,In-Person,200,1000,Varies,No,https://brownson.edu/hvac-professional-certification-testing/,"HVAC professional certification testing and EPA 608 exams in Orange County"
106,California Crane School - LA,Training School,"NCCCO Certification Prep|Mobile Crane Training|Cal/OSHA Title 8",Crane Operation,CA,Los Angeles,In-Person,2000,6000,5 days,No,https://californiacraneschool.com,"NCCCO certification prep with Cal/OSHA Title 8 specific training at LA training yard"
107,California Crane School - Sacramento,Training School,"NCCCO Certification Prep|Mobile Crane Training|Cal/OSHA Title 8",Crane Operation,CA,Sacramento,In-Person,2000,6000,5 days,No,https://californiacraneschool.com,"NCCCO certification prep with Cal/OSHA Title 8 specific training at Sacramento yard"
108,American Crane School,Training School,NCCCO Crane Operator Certification,Crane Operation,CA,Multiple,In-Person,2000,5000,5 days,No,https://americancraneschool.com,"NCCCO crane operator certification and training courses throughout California"
109,Performance Training Solutions (PTS),Training School,NCCCO Certification/Recertification Prep,Crane Operation,CA,Multiple,In-Person,1500,4000,3-5 days,No,https://www.ptsworks.com,"NCCCO certification and recertification prep and test program"
