id,trade,state,metro_area,current_employment,projected_growth_pct,annual_openings,shortage_estimate,demand_level,top_sectors,bls_soc_code,median_wage,emerging_driver,description
11,Elevator Installer,US,National,33600,5.0,2000,3000,Moderate,"Commercial High-Rise|Modernization|ADA Compliance",47-4021,102420,Urbanization,"One of the highest-paid trades with restrictive entry requirements; high-rise construction and modernization of aging systems"
12,Solar PV Installer,US,National,18900,42.0,4100,5000,Very High,"Residential|Commercial|Utility-Scale|Battery Storage",47-2231,48800,Clean Energy Mandates,"Fastest-growing construction occupation; driven by California Title 24; IRA tax credits; and state renewable mandates"
13,Lineman,US,National,128800,7.0,10700,15000,Very High,"Utilities|Renewables|Grid Modernization|Broadband",49-9051,68530,Grid Modernization,"Grid modernization; renewable energy interconnection; storm damage restoration; and EV charging network buildout"
14,Painter,US,National,259600,4.0,28100,18000,Moderate,"Residential|Commercial|Industrial|Maintenance",47-2141,46080,Traditional,"Residential and commercial finishing; maintenance of existing structures; industrial coatings on bridges and infrastructure"
15,Glazier,US,National,55500,3.0,5100,5000,Moderate,"Commercial|Hurricane Impact Windows|Energy Efficient",47-2121,50280,Hurricane Resilience,"Commercial curtain wall systems; hurricane impact-resistant windows especially in Florida; energy-efficient installations"
16,Insulation Worker,US,National,60000,4.0,6000,6000,Moderate,"Residential|Commercial|Industrial|Energy Retrofit",47-2131,49140,Energy Codes,"Energy code compliance with stricter R-value requirements; industrial pipe insulation; and fireproofing"
17,Millwright,US,National,550000,13.0,54200,40000,Very High,"Manufacturing|Semiconductor|Wind|Power Generation",49-9044,62170,Manufacturing Reshoring,"Manufacturing facility equipment installation; semiconductor fab work; turbine installation; and industrial machinery maintenance"
18,Boilermaker,US,National,16000,-2.0,1600,2000,Stable,"Nuclear|Power Plants|Petrochemical|Refinery",47-2011,65360,Nuclear SMR,"Nuclear power plant maintenance; petrochemical refinery work; SMR construction could reverse declining demand trend"
19,Construction Laborer,US,National,1600000,7.0,162200,100000,High,"Residential|Commercial|Infrastructure|Site Work",47-2061,46050,Broad Construction,"Largest trade occupation with highest absolute annual openings; entry point for many construction careers"
20,Sprinkler Fitter,US,National,0,4.0,0,8000,High,"Commercial|Residential|Healthcare|Industrial",47-2152,62970,Building Codes,"Building codes in all states now require fire suppression systems for most commercial buildings; growing specialization"
21,Drywall Installer,US,National,150000,3.0,15000,12000,High,"Residential|Commercial|Interior Finish",47-2081,52490,Housing Deficit,"Interior finishing demand closely tracks residential and commercial new construction activity"
22,Brickmason,US,National,60000,2.0,6000,5000,Moderate,"Residential|Commercial|Restoration|Infrastructure",47-2021,53010,Traditional,"Brick and block masonry for residential; commercial; and restoration projects"
23,Electrician,FL,Statewide,52000,11.0,5800,9000,Critical,"Data Centers|Solar|Residential|Commercial",47-2111,60500,Data Centers,"Florida's #1 shortage trade; driven by data center boom; solar installations; and massive residential growth"
24,HVAC Technician,FL,Statewide,28000,10.0,3200,6000,Critical,"Residential|Commercial|Data Centers|Hospitality",49-9021,57800,Climate Demand,"Florida's year-round cooling demand; new construction; and data center precision cooling create persistent shortage"
25,Plumber/Pipefitter,FL,Statewide,32000,8.0,3500,5000,Very High,"Residential|Infrastructure|Commercial|Fire Protection",47-2152,58900,Population Growth,"Residential growth from 275K+ annual population increase and infrastructure upgrades drive sustained demand"
26,Roofer,FL,Statewide,18000,9.0,2200,4500,Very High,"Hurricane Recovery|Residential|Commercial|Solar",47-2181,45200,Hurricane Recovery,"Hurricane recovery work continues years after events; combined with new construction and solar mounting systems"
27,Heavy Equipment Operator,FL,Statewide,25000,8.0,2800,3500,Very High,"Infrastructure|Site Development|Mining|Port",47-2073,53400,FDOT Infrastructure,"$14.8B state infrastructure budget and major projects like Tampa Bay Next drive strong demand for operators"
28,Concrete Worker,FL,Statewide,15000,7.0,1600,2500,High,"Commercial|Infrastructure|Residential|Data Centers",47-2051,47500,Infrastructure,"Commercial foundation work; FDOT highway projects; and data center slab construction"
29,Carpenter,FL,Statewide,40000,7.0,4200,4000,High,"Residential|Commercial|Hurricane Hardening|Formwork",47-2031,51800,Residential Boom,"Residential framing for new construction; formwork for commercial; and hurricane-rated impact window installation"
30,Solar PV Installer,FL,Statewide,8000,25.0,1200,1500,Very High,"Residential|Commercial|Utility-Scale",47-2231,46500,Solar Growth,"Florida ranks #2 nationally in solar jobs; first solar-specific apprenticeship registered with US DOL"
31,Ironworker,FL,Statewide,5500,5.0,600,700,High,"High-Rise|Bridges|Commercial|Infrastructure",47-2221,58200,Infrastructure,"High-rise coastal construction; bridge repair and replacement; and commercial steel erection"
32,Sheet Metal Worker,FL,Statewide,8000,4.0,800,900,Moderate,"Commercial HVAC|Data Centers|Industrial",47-2211,55800,Data Centers,"Commercial HVAC ductwork and data center containment systems in Florida's growing tech infrastructure"
33,Drywall Installer,FL,Statewide,12000,7.0,1300,2000,High,"Residential|Commercial|Hospitality",47-2081,48500,Residential Boom,"Interior finish demand driven by Florida's robust residential and hospitality construction market"
34,Welder,FL,Statewide,18000,4.0,2000,1800,High,"Industrial|Pipeline|Shipbuilding|Manufacturing",51-4121,47200,Industrial,"Industrial fabrication; pipeline work; and marine/shipbuilding welding across Florida's ports"
35,Elevator Installer,FL,Statewide,2200,6.0,150,250,Moderate,"High-Rise|Hospitality|Commercial",47-4021,98000,High-Rise Construction,"Miami and Tampa high-rise construction and modernization of aging elevator systems in older buildings"
36,Glazier,FL,Statewide,4500,5.0,450,600,Moderate,"Hurricane Impact Windows|Commercial|High-Rise",47-2121,49500,Hurricane Resilience,"Hurricane impact-resistant window and door installation required in HVHZ zones and spreading statewide"
37,Painter,FL,Statewide,16000,5.0,1700,1200,Moderate,"Residential|Commercial|Hospitality|Maintenance",47-2141,43800,Traditional,"Finishing trade demand tracks new residential and commercial construction; plus hospitality maintenance"
38,Electrician,FL,Miami-Dade,15000,12.0,1700,2800,Critical,"Data Centers|Residential|Commercial|Port",47-2111,63000,Data Centers,"Project Tango data center campus; Port Everglades expansion; I-95 Express Lanes; and high-rise condo construction"
39,HVAC Technician,FL,Miami-Dade,8000,10.0,900,1800,Critical,"Residential|Commercial|Hospitality|Healthcare",49-9021,59000,Climate Demand,"Year-round cooling demand in South Florida's tropical climate plus hospital and hotel construction"
40,Plumber/Pipefitter,FL,Miami-Dade,9000,8.0,1000,1500,Very High,"Residential|Commercial|Port|Healthcare",47-2152,60000,Infrastructure,"High-rise residential plumbing; port infrastructure; and healthcare facility construction"
41,Roofer,FL,Miami-Dade,5000,9.0,600,1200,Very High,"Hurricane Recovery|High-Rise|Residential|Commercial",47-2181,46000,Hurricane Recovery,"HVHZ building code requirements make Miami roofing highly specialized and in-demand"
42,Carpenter,FL,Miami-Dade,12000,7.0,1300,1200,High,"Residential|Commercial|High-Rise|Formwork",47-2031,53500,High-Rise Construction,"Concrete formwork for high-rise construction and interior finish carpentry for luxury residential"
43,Electrician,FL,Tampa Bay,10000,11.0,1100,2000,Critical,"Infrastructure|Data Centers|Residential|Commercial",47-2111,61500,Tampa Bay Next,"$6.8B Tampa Bay Next interstate reconstruction project and hyperscale data center development"
44,HVAC Technician,FL,Tampa Bay,6500,10.0,700,1200,Critical,"Residential|Commercial|Industrial|Data Centers",49-9021,58000,Data Centers,"Residential expansion in Pasco/Hillsborough and data center cooling systems for planned hyperscale facilities"
45,Plumber/Pipefitter,FL,Tampa Bay,7000,8.0,750,1000,Very High,"Residential|Infrastructure|Industrial|Port",47-2152,59000,Infrastructure,"Tampa Bay Next project; Port Tampa Bay enhancements; and suburban residential expansion"
46,Heavy Equipment Operator,FL,Tampa Bay,5500,9.0,600,800,Very High,"Infrastructure|Site Development|Port|Industrial",47-2073,54000,Tampa Bay Next,"$6.8B Tampa Bay Next and airport modernization drive heavy equipment demand in the metro"
47,Concrete Worker,FL,Tampa Bay,3500,7.0,380,500,High,"Infrastructure|Commercial|Residential",47-2051,48000,Infrastructure,"Interstate reconstruction; commercial development; and residential foundation work"
48,Electrician,FL,Orlando,8500,11.0,950,1600,Critical,"Theme Parks|Data Centers|Residential|Commercial",47-2111,60000,Theme Park Expansion,"Universal 20-acre expansion; Disney multi-year renovation program; and HostDime Tier IV data center"
49,HVAC Technician,FL,Orlando,5500,10.0,600,1000,Critical,"Theme Parks|Hospitality|Residential|Data Centers",49-9021,57500,Theme Park Expansion,"Massive tourism infrastructure HVAC needs plus residential growth in Central Florida suburbs"
50,Carpenter,FL,Orlando,7000,7.0,750,800,High,"Theme Parks|Residential|Commercial|Hospitality",47-2031,52000,Theme Park Expansion,"Theme park expansion projects; hotel refurbishments; and suburban residential construction"
51,Roofer,FL,Orlando,3500,8.0,400,700,Very High,"Residential|Commercial|Theme Parks|Hurricane Prep",47-2181,45500,Residential Growth,"New residential roofing and re-roofing for theme park and hospitality structures"
52,Electrician,FL,Jacksonville,6500,10.0,720,1100,Critical,"Port|Military|Industrial|Residential",47-2111,59500,Port Expansion,"JAXPORT container terminal expansion; Naval Station Mayport upgrades; and logistics center construction"
53,Heavy Equipment Operator,FL,Jacksonville,4500,8.0,500,600,Very High,"Port|Infrastructure|Logistics|Residential",47-2073,52500,Port Expansion,"JAXPORT expansion; distribution center construction along I-95/I-10; and suburban residential growth"
54,Plumber/Pipefitter,FL,Jacksonville,5000,7.0,550,700,High,"Residential|Military|Port|Commercial",47-2152,57500,Military Construction,"Naval Station Mayport facility upgrades and strong suburban residential growth in St. Johns County"
55,Electrician,FL,Southwest FL,3500,10.0,400,700,Critical,"Hurricane Rebuild|Hospital|Residential|Commercial",47-2111,58500,Hurricane Ian Rebuild,"Post-Hurricane Ian reconstruction continues; $824M Lee Health Hospital; and Amazon fulfillment center"
56,Roofer,FL,Southwest FL,2500,12.0,350,600,Critical,"Hurricane Rebuild|Residential|Commercial",47-2181,47000,Hurricane Ian Rebuild,"Hurricane Ian rebuilding in Fort Myers Beach; Sanibel; and Pine Island continues 3+ years later"
57,Carpenter,FL,Southwest FL,3000,9.0,350,500,Very High,"Hurricane Rebuild|Residential|Commercial",47-2031,50500,Hurricane Ian Rebuild,"Post-hurricane reconstruction framing and finish carpentry plus new residential growth corridors"
58,HVAC Technician,FL,Southwest FL,2000,10.0,230,400,Very High,"Hurricane Rebuild|Hospital|Residential",49-9021,56500,Hurricane Ian Rebuild,"Hurricane Ian damaged HVAC system replacement and new hospital mechanical systems installation"
59,Electrician,FL,Space Coast,2000,13.0,250,400,Critical,"Aerospace|Defense|Residential|Data Centers",47-2111,61000,Aerospace,"Kennedy Space Center; SpaceX; Blue Origin facility construction; and $531M+ state space infrastructure"
60,Heavy Equipment Operator,FL,Space Coast,1200,10.0,140,200,Very High,"Aerospace|Infrastructure|Residential",47-2073,53000,Aerospace,"Spaceport infrastructure development and rapid residential growth from aerospace employment influx"
61,Electrician,FL,Palm Beach,5000,11.0,560,900,Critical,"Data Centers|Residential|Commercial|Healthcare",47-2111,62000,Data Centers,"Project Tango 3.69M sq ft data center campus in Loxahatchee drives massive electrician demand"
62,Plumber/Pipefitter,FL,Palm Beach,3500,7.0,380,500,High,"Residential|Commercial|Healthcare|Data Centers",47-2152,59500,Data Centers,"Data center chilled water systems and luxury residential plumbing in Palm Beach County"
63,HVAC Technician,FL,Palm Beach,2500,9.0,280,400,Very High,"Data Centers|Residential|Commercial",49-9021,58500,Data Centers,"Data center precision cooling for Project Tango and residential AC in South Florida climate"
64,Electrician,FL,Broward,6000,10.0,670,1000,Critical,"Port|I-95 Express|Residential|Commercial",47-2111,62500,Port Everglades,"$3.1B Port Everglades expansion and $1.8B I-95 Express Lanes extension drive demand"
65,Electrician,CA,Statewide,75000,10.0,8500,12000,Critical,"Clean Energy|Data Centers|EV Infrastructure|Residential",47-2111,72000,Clean Energy Mandates,"California's Title 24 mandates; data center boom; and EV infrastructure requirements create critical shortage"
66,HVAC Technician,CA,Statewide,35000,9.0,4000,6000,Critical,"Title 24 Compliance|Data Centers|Heat Pumps|Commercial",49-9021,68000,Heat Pump Transition,"Title 24 heat pump emphasis; data center precision cooling; and stricter energy efficiency requirements"
67,Plumber/Pipefitter,CA,Statewide,50000,6.0,5500,7000,Very High,"Housing|Fire Rebuild|Infrastructure|Commercial",47-2152,72000,Wildfire Rebuild,"Housing demand; LA wildfire rebuild; water infrastructure; and fire suppression system installations"
68,Solar PV Installer,CA,Statewide,10000,35.0,2000,3000,Very High,"Residential|Commercial|Utility-Scale|Battery Storage",47-2231,52000,Title 24 Mandate,"Title 24 requires solar PV on new homes; California leads the nation in solar installation capacity"
69,Carpenter,CA,Statewide,85000,5.0,9000,8000,High,"Residential|Wildfire Rebuild|Commercial|Formwork",47-2031,65000,Wildfire Rebuild,"Residential framing for housing deficit reduction; wildfire rebuild; and commercial interior finish"
70,Heavy Equipment Operator,CA,Statewide,40000,5.0,4500,5000,High,"Infrastructure|HSR|Site Development|Mining",47-2073,65000,High-Speed Rail,"High-speed rail 119-mile active construction; Sites Reservoir; and Caltrans capital program"
71,Welder,CA,Statewide,25000,3.0,2800,3000,High,"Infrastructure|Industrial|Pipeline|Fabrication",51-4121,55000,Infrastructure,"Bridge seismic retrofitting; industrial fabrication; and high-speed rail structural welding"
72,Ironworker,CA,Statewide,15000,4.0,1600,2000,High,"High-Rise|Bridges|Seismic Retrofit|HSR",47-2221,72000,Seismic Retrofit,"High-rise construction; bridge construction; seismic retrofit mandates; and high-speed rail structures"
73,Concrete Worker,CA,Statewide,20000,5.0,2200,2500,High,"Infrastructure|Commercial|High-Rise|HSR",47-2051,55000,High-Speed Rail,"High-speed rail guideway construction; highway and bridge work; and commercial foundations"
74,Sheet Metal Worker,CA,Statewide,12000,3.0,1200,1500,Moderate,"Commercial HVAC|Data Centers|Industrial",47-2211,68000,Data Centers,"Commercial HVAC ductwork and data center containment in Silicon Valley and Los Angeles"
75,Roofer,CA,Statewide,15000,5.0,1500,2000,High,"Wildfire Rebuild|Residential|Solar Mounting|Commercial",47-2181,52000,Wildfire Rebuild,"LA wildfire rebuild; fire-hardened construction requirements; and solar mounting system installation"
76,Painter,CA,Statewide,30000,4.0,3200,2000,Moderate,"Residential|Commercial|Industrial|Maintenance",47-2141,52000,Traditional,"Finishing trade demand in California's large residential and commercial construction market"
77,Lineman,CA,Statewide,12000,8.0,1100,2000,Very High,"Grid Modernization|Renewables|Underground|Wildfire",49-9051,78000,Grid Modernization,"Grid hardening against wildfires; renewable energy interconnection; and underground power line conversion"
78,Insulation Worker,CA,Statewide,6000,5.0,650,800,Moderate,"Energy Retrofit|Residential|Commercial|Industrial",47-2131,58000,Energy Codes,"Stricter Title 24 insulation R-value requirements and energy retrofit programs"
79,Electrician,CA,Los Angeles,22000,11.0,2500,4000,Critical,"Wildfire Rebuild|Data Centers|Residential|Commercial",47-2111,74000,Wildfire Rebuild,"16K+ structures destroyed in 2025 LA fires; Digital Realty 32MW data center; and SB 79 housing density"
80,Plumber/Pipefitter,CA,Los Angeles,15000,7.0,1700,2500,Very High,"Wildfire Rebuild|Residential|Commercial|Infrastructure",47-2152,74000,Wildfire Rebuild,"Rebuilding plumbing for 11K+ destroyed homes; new construction; and water infrastructure upgrades"
81,HVAC Technician,CA,Los Angeles,10000,9.0,1100,1800,Critical,"Wildfire Rebuild|Data Centers|Commercial|Residential",49-9021,70000,Wildfire Rebuild,"Replacing HVAC in destroyed homes; data center cooling; and Title 24 heat pump transition"
82,Carpenter,CA,Los Angeles,25000,6.0,2700,3000,High,"Wildfire Rebuild|Residential|Commercial|Entertainment",47-2031,67000,Wildfire Rebuild,"LA County construction workforce expanded 10.5% since 2020; wildfire rebuild drives framing demand"
83,Concrete Worker,CA,Los Angeles,6000,5.0,650,800,High,"Wildfire Rebuild|Commercial|Infrastructure|High-Rise",47-2051,56000,Wildfire Rebuild,"Foundation work for wildfire rebuilds and high-rise commercial construction"
84,Roofer,CA,Los Angeles,4500,6.0,500,800,Very High,"Wildfire Rebuild|Fire-Hardened|Residential|Solar",47-2181,54000,Wildfire Rebuild,"Fire-hardened roofing requirements for WUI zone compliance and rebuilding destroyed homes"
85,Electrician,CA,San Francisco Bay Area,12000,10.0,1400,2200,Critical,"Data Centers|Tech Campus|Transit|Seismic Retrofit",47-2111,82000,Data Centers,"San Jose has 11 data center projects totaling 1630 MW; including Goodman Group 97.3 MW campus"
86,HVAC Technician,CA,San Francisco Bay Area,5500,9.0,620,1000,Critical,"Data Centers|Commercial|Seismic Retrofit|Residential",49-9021,76000,Data Centers,"Data center precision cooling in Silicon Valley; Caltrain electrification; and seismic retrofit HVAC upgrades"
87,Plumber/Pipefitter,CA,San Francisco Bay Area,8000,6.0,880,1200,Very High,"Data Centers|Transit|Residential|Seismic Retrofit",47-2152,78000,Data Centers,"Data center chilled water systems; BART extension plumbing; and seismic retrofit piping"
88,Ironworker,CA,San Francisco Bay Area,3000,5.0,330,500,High,"Seismic Retrofit|High-Rise|Transit|Data Centers",47-2221,80000,Seismic Retrofit,"Hospital seismic compliance SB 1953; school modernization; and data center structural steel"
89,Electrician,CA,San Diego,6000,10.0,680,1100,Critical,"Military|Data Centers|Residential|Cross-Border",47-2111,71000,Military Construction,"Camp Pendleton and Naval Base upgrades; DataBank data center projects; and housing development"
90,Carpenter,CA,San Diego,7000,6.0,750,800,High,"Military|Residential|Commercial|Cross-Border",47-2031,64000,Military Construction,"San Diego construction workforce grew 14.5% since 2020; military base upgrades drive demand"
91,Heavy Equipment Operator,CA,San Diego,3000,5.0,340,400,High,"Military|Infrastructure|Port|Residential",47-2073,63000,Military Construction,"Otay Mesa port of entry improvements; military facility construction; and residential site development"
92,Electrician,CA,Sacramento,5000,9.0,560,800,Very High,"Infrastructure|Light Rail|Residential|Government",47-2111,70000,Light Rail Expansion,"Innovation Park 2500-unit development; Green Line airport extension; and state facility upgrades"
93,Heavy Equipment Operator,CA,Sacramento,2500,6.0,280,350,High,"Light Rail|Infrastructure|Residential|Government",47-2073,62000,Light Rail Expansion,"Dos Rios station; Green Line 13-mile extension; and Lower Central Interceptor sewer rehabilitation"
94,Plumber/Pipefitter,CA,Sacramento,3500,6.0,390,500,High,"Infrastructure|Residential|Sewer|Government",47-2152,70000,Infrastructure,"Lower Central Interceptor 6.6-mile sewer rehabilitation and Innovation Park residential plumbing"
95,Heavy Equipment Operator,CA,Central Valley,4000,7.0,450,600,Very High,"High-Speed Rail|Water|Agriculture|Residential",47-2073,58000,High-Speed Rail,"119 miles of active HSR construction; Sites Reservoir 1.5M acre-feet project; and irrigation modernization"
96,Concrete Worker,CA,Central Valley,3000,6.0,330,450,High,"High-Speed Rail|Water|Infrastructure|Residential",47-2051,52000,High-Speed Rail,"70 miles of HSR guideway completed with 86 of 92 structures in progress requiring concrete work"
97,Ironworker,CA,Central Valley,1500,5.0,165,250,High,"High-Speed Rail|Water|Infrastructure|Bridges",47-2221,68000,High-Speed Rail,"Structural steel erection for high-speed rail viaducts; bridges; and station facilities"
98,Electrician,CA,Inland Empire,5000,10.0,560,900,Critical,"Logistics|Data Centers|Manufacturing|Residential",47-2111,68000,Data Centers,"Massive distribution center and warehouse electrical installations along I-10 and I-15 corridors"
99,Heavy Equipment Operator,CA,Inland Empire,3500,7.0,390,500,High,"Logistics|Warehousing|Industrial|Residential",47-2073,60000,Logistics Growth,"Among metros with highest annual increases in construction; driven by distribution center construction"
100,Electrician,TX,Statewide,65000,10.0,7200,10000,Critical,"Data Centers|Energy|Manufacturing|Residential",47-2111,60000,Data Centers,"$13.4B in data center starts; Samsung semiconductor fab in Taylor; and TI fab in Sherman"
101,HVAC Technician,TX,Statewide,30000,9.0,3400,5000,Critical,"Data Centers|Residential|Commercial|Industrial",49-9021,56000,Data Centers,"Extreme summer heat drives year-round HVAC demand; plus data center precision cooling systems"
102,Plumber/Pipefitter,TX,Statewide,38000,6.0,4200,5000,Very High,"Residential|Energy|Infrastructure|Industrial",47-2152,58000,Energy Infrastructure,"Oil and gas pipeline; petrochemical plant piping; and rapid population growth residential plumbing"
103,Welder,TX,Statewide,35000,4.0,3900,4000,High,"Energy|Pipeline|Manufacturing|Infrastructure",51-4121,50000,Energy Infrastructure,"Petrochemical refinery; pipeline; and manufacturing welding; plus semiconductor fab construction"
104,Heavy Equipment Operator,TX,Statewide,35000,6.0,3900,4000,High,"Energy|Infrastructure|Data Centers|Residential",47-2073,54000,Data Centers,"Data center site preparation; semiconductor fab earthwork; and TXDOT highway construction"
105,Solar PV Installer,TX,Statewide,5000,30.0,800,1000,Very High,"Utility-Scale|Commercial|Residential",47-2231,47000,Utility-Scale Solar,"Texas is a top-5 state for solar installation capacity with massive utility-scale farm construction"
106,Electrician,TX,Dallas-Fort Worth,15000,11.0,1700,2800,Critical,"Data Centers|Commercial|Residential|Industrial",47-2111,62000,Data Centers,"Dallas-Fort Worth is a national data center hub with billions in new facility investment"
107,Electrician,AZ,Statewide,22000,14.0,2500,4000,Critical,"Semiconductor|Data Centers|Residential|Solar",47-2111,62000,Semiconductor Fabs,"TSMC $65B+ fab complex requires 12K+ construction workers; plus multiple data center projects"
108,HVAC Technician,AZ,Phoenix,8000,11.0,900,1500,Critical,"Semiconductor|Data Centers|Residential|Commercial",49-9021,58000,Semiconductor Fabs,"Extreme desert heat plus massive semiconductor and data center precision cooling requirements"
109,Heavy Equipment Operator,AZ,Phoenix,6000,10.0,680,900,Very High,"Semiconductor|Data Centers|Residential|Infrastructure",47-2073,55000,Semiconductor Fabs,"Massive site preparation for TSMC fab campus and multiple data center ground-up construction"
110,Plumber/Pipefitter,AZ,Phoenix,7000,8.0,780,1000,Very High,"Semiconductor|Data Centers|Residential|Water",47-2152,60000,Semiconductor Fabs,"Ultra-pure water piping for semiconductor fabs and chilled water systems for data centers"
111,Ironworker,AZ,Phoenix,2500,8.0,280,400,Very High,"Semiconductor|Data Centers|Commercial|Industrial",47-2221,62000,Semiconductor Fabs,"Structural steel for semiconductor cleanroom buildings and data center hyperscale facilities"
112,Electrician,NC,Statewide,28000,10.0,3100,4500,Critical,"Manufacturing|Data Centers|Residential|Infrastructure",47-2111,58000,EV Battery Plants,"Toyota $13.9B battery plant in Liberty; NC; plus Research Triangle tech hub growth"
113,Welder,NC,Statewide,12000,5.0,1300,1500,High,"Manufacturing|EV Battery|Infrastructure|Industrial",51-4121,48000,EV Battery Plants,"Toyota battery plant structural welding and manufacturing facility construction"
114,HVAC Technician,NC,Statewide,12000,8.0,1400,2000,Very High,"Manufacturing|Data Centers|Residential|Commercial",49-9021,56000,Data Centers,"Manufacturing facility environmental controls and data center cooling systems"
115,Electrician,GA,Statewide,25000,10.0,2800,4000,Critical,"EV Battery|Data Centers|Logistics|Film",47-2111,58000,EV Manufacturing,"SK Innovation $2.6B battery plant in Commerce; Rivian $5B plant; plus Atlanta data centers"
116,Welder,GA,Statewide,10000,5.0,1100,1200,High,"EV Battery|Manufacturing|Industrial|Infrastructure",51-4121,47000,EV Manufacturing,"EV battery plant structural and process welding at SK Innovation and Rivian facilities"
117,Heavy Equipment Operator,GA,Statewide,12000,7.0,1300,1500,High,"EV Battery|Logistics|Infrastructure|Residential",47-2073,52000,EV Manufacturing,"Site preparation for massive EV battery and manufacturing plants"
118,Electrician,TN,Statewide,18000,10.0,2000,3000,Critical,"EV Battery|Manufacturing|Data Centers|Residential",47-2111,57000,EV Battery Plants,"BlueOval SK $5.6B battery plant in Stanton and growing Nashville metro construction market"
119,Welder,TN,Statewide,8000,5.0,880,1000,High,"EV Battery|Manufacturing|Automotive|Industrial",51-4121,47000,EV Battery Plants,"Battery plant construction and automotive manufacturing welding in Middle Tennessee"
120,Electrician,IN,Statewide,16000,9.0,1800,2500,Very High,"EV Battery|Manufacturing|Data Centers|Residential",47-2111,58000,EV Battery Plants,"Samsung SDI $3.1B battery plant in Kokomo drives surge in electrician demand"
121,Electrician,OH,Statewide,22000,10.0,2400,3500,Critical,"Semiconductor|Data Centers|Manufacturing|Infrastructure",47-2111,59000,Semiconductor Fabs,"Intel $28B semiconductor fab in Columbus requires 7K+ construction workers at peak"
122,Ironworker,OH,Columbus,2000,8.0,220,350,Very High,"Semiconductor|Data Centers|Commercial",47-2221,61000,Semiconductor Fabs,"Structural steel for Intel fab complex cleanroom buildings and support facilities"
123,Electrician,NY,Statewide,30000,8.0,3300,4000,Very High,"Semiconductor|Infrastructure|Offshore Wind|Data Centers",47-2111,72000,Semiconductor Fabs,"Micron $100B investment in Clay; GlobalFoundries $11B in Malta; and offshore wind projects"
124,Electrician,VA,Statewide,25000,11.0,2800,4000,Critical,"Data Centers|Military|Infrastructure|Residential",47-2111,64000,Data Centers,"Virginia is #1 nationally with $15.3B in data center start funding; concentrated in NoVA corridor"
125,HVAC Technician,VA,Northern Virginia,6000,12.0,680,1200,Critical,"Data Centers|Commercial|Government|Residential",49-9021,65000,Data Centers,"Northern Virginia data center corridor is the world's largest; requiring specialized precision cooling"
126,Electrician,VA,Northern Virginia,8000,13.0,900,1600,Critical,"Data Centers|Government|Commercial|Residential",47-2111,68000,Data Centers,"Ashburn data center alley has more data centers than any location in the world"
127,Electrician,KS,De Soto,800,15.0,120,300,Critical,"EV Battery|Manufacturing|Infrastructure",47-2111,58000,EV Battery Plants,"Panasonic $4B EV battery plant construction requires thousands of skilled electricians"
128,Millwright,KS,De Soto,200,20.0,40,100,Critical,"EV Battery|Manufacturing|Equipment Installation",49-9044,62000,EV Battery Plants,"Equipment installation at Panasonic battery plant requires specialized millwright skills"
