id,program_name,sponsor,type,trade,industry,state,city,duration_years,ojt_hours,classroom_hours,starting_wage_pct,ending_wage_pct,journeyman_wage,union_affiliation,prerequisites,application_url,description
26,IEC Florida East Coast Electrical Apprenticeship,IEC Florida East Coast Chapter,Non-Union IEC,Electrical,Construction,FL,Multiple,4,8000,680,45,85,32.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with IEC Contractor,https://www.iec-fecc.org/apprenticeship/,4-year DOL-registered electrical apprenticeship with evening classes one night per week; September through June.
27,ACCA Central Florida HARV Mechanic Program,ACCA of Central Florida,Employer-Sponsored,HVAC,Construction,FL,Orlando,3,6000,576,40,85,32.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test,https://sites.google.com/accacf.com/accacfcom/apprenticeship-program,State-certified 3-year HVAC apprenticeship registered with Florida Bureau of Apprenticeship; curriculum chosen by ACCA committee.
28,SW Florida ACCA / Tri-County Apprenticeship Academy,Southwest FL ACCA / TCAA,Employer-Sponsored,HVAC,Construction,FL,Fort Myers,3,6000,576,40,85,31.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test,https://sw-acca.org/Apprenticeship,Largest registered HVAC apprenticeship program in Southwest Florida with referral through SWACCA.
29,RACCA Florida HVAC Apprenticeship,"Refrigeration & Air Conditioning Contractors Assn, FL",Employer-Sponsored,HVAC,Construction,FL,Multiple,3,6000,576,40,85,31.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test,https://www.racca-florida.org/apprenticeship/,Registered HVAC apprenticeship program serving Florida refrigeration and air conditioning contractors.
30,FACAA Statewide HVAC Apprenticeship,Florida Air Conditioning Apprenticeship Association,Employer-Sponsored,HVAC,Construction,FL,Multiple,3,6000,576,40,85,31.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test,https://facaschool.com/,Statewide HVAC apprenticeship program operating across multiple Florida locations.
31,Miami Dade College Pre-Apprenticeship Program,Miami Dade College,Pre-Apprenticeship,Multiple Trades,Construction,FL,Miami,1,0,480,0,0,0,N/A,17+|HS Diploma or GED,https://www.mdc.edu/apprenticeships/,First academic institution in Florida designated as a DOL Program Sponsor; offering pre-apprenticeship credit toward registered programs.
32,FIU Construction Trades Pre-Apprenticeship,Florida International University,Pre-Apprenticeship,Multiple Trades,Construction,FL,Miami,1,0,350,0,0,0,N/A,17+|HS Diploma or GED,https://constructiontrades.fiu.edu/fdoe-pre-apprenticeship/,NCCER-accredited pre-apprenticeship certification in 7 different trades with FLDOE registration.
33,Atlantic Technical College Apprenticeship,Atlantic Technical College,Community College,Multiple Trades,Construction,FL,Fort Lauderdale,4,8000,576,40,85,0,N/A,18+|HS Diploma|Valid DL,https://www.atlantictechnicalcollege.edu/apprenticeship/,South Florida technical college apprenticeship programs blending classroom instruction with on-the-job training.
34,Hillsborough Community College HVACR Apprenticeship,Hillsborough Community College,Community College,HVAC,Construction,FL,Tampa,4,8000,576,40,85,30.00,N/A,18+|HS Diploma|Valid DL,https://www.hcfl.edu/academics/associate-science/apprenticeships/hvacr-technician-apprenticeship,HVACR technician apprenticeship combining college coursework with employer-based on-the-job training.
35,Northwest Florida State College Apprenticeship,Northwest Florida State College,Community College,Multiple Trades,Construction,FL,Niceville,4,8000,576,40,85,0,N/A,18+|HS Diploma|Valid DL,https://www.nwfsc.edu/academics/non-degree-programs/registered-apprenticeships/,Apprenticeship programs in Northwest Florida blending classroom instruction and employer-based OJT.
36,College of the Florida Keys Apprenticeship,College of the Florida Keys,Community College,Multiple Trades,Construction,FL,Key West,4,8000,576,40,85,0,N/A,18+|HS Diploma|Valid DL,https://www.cfk.edu/academics/apprenticeships/,Florida Keys apprenticeship program providing trade skills training for the island community.
37,Manatee Technical College Apprenticeship,Manatee Technical College,Community College,Multiple Trades,Construction,FL,Bradenton,4,8000,576,40,85,0,N/A,18+|HS Diploma|Valid DL,https://www.manateetech.edu/programs/career-and-technical-education/registered-apprenticeship/,Registered apprenticeship program at Manatee Technical College in the Sarasota-Bradenton area.
38,Florida Finishing Trades Institute,IUPAT - FL District Council,Union JATC,Painting & Finishing,Construction,FL,Multiple,3,6000,432,40,85,30.00,IUPAT,18+|HS Diploma|Valid DL|Drug Test,https://flfti.org/apply,Florida painting; drywall finishing; and glazing apprenticeship through the International Union of Painters and Allied Trades.
39,Boca Helping Hands HVAC Apprenticeship,Boca Helping Hands,Pre-Apprenticeship,HVAC,Construction,FL,Boca Raton,1,2000,200,0,0,0,N/A,18+|HS Diploma or GED,https://www.bocahelpinghands.org/jtp/apprenticeship/hvac,Non-profit HVAC training and apprenticeship pathway program for underserved communities in South Florida.
40,ABC Central Florida Carpentry Apprenticeship,ABC Central Florida Chapter,Non-Union ABC,Carpentry,Construction,FL,Orlando,4,6800,576,45,85,28.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abccentralflorida.com/apprenticeships/,Registered carpentry apprenticeship with NCCER certification through ABC Central Florida.
41,ABC Central Florida Masonry Apprenticeship,ABC Central Florida Chapter,Non-Union ABC,Masonry,Construction,FL,Orlando,4,6000,576,45,85,28.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abccentralflorida.com/apprenticeships/,Masonry apprenticeship program covering block; brick; and stone work through ABC Central Florida.
42,ABC Central Florida Fire Sprinkler Apprenticeship,ABC Central Florida Chapter,Non-Union ABC,Fire Sprinkler,Construction,FL,Orlando,4,8000,576,45,85,30.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abccentralflorida.com/apprenticeships/,Fire sprinkler fitting apprenticeship covering system design; pipe installation; and NFPA code compliance.
43,UA Local 123 HVAC/R Technician Apprenticeship,UA Local 123,Union JATC,HVAC,Construction,FL,Tampa,5,9000,1080,40,90,33.00,UA Local 123,18+|HS Diploma|Valid FL DL|Drug Test|Official Transcript,https://lu123.com/,Tampa Bay union HVAC/R service technician apprenticeship with full benefits from day one.
44,IBEW Local 11 / LA NECA JATC,IBEW Local 11 & NECA,Union JATC,Inside Wireman,Construction,CA,Los Angeles,5,8000,900,40,85,55.00,IBEW Local 11,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibewlocal11.org/apprenticeship,One of the largest electrical apprenticeship programs in the nation; serving Los Angeles County.
45,IBEW Local 40 NECA JATC,IBEW Local 40 & NECA,Union JATC,Inside Wireman,Construction,CA,North Hollywood,5,8000,900,40,85,52.00,IBEW Local 40,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,Los Angeles County electrical apprenticeship training inside wiremen for commercial and industrial projects.
46,Inland Empire Electrical Training Center (IEETC),IBEW & NECA - Inland Empire,Union JATC,Inside Wireman,Construction,CA,Riverside,5,8000,900,40,85,48.00,IBEW,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ieetc.org/,Riverside and San Bernardino county electrical apprenticeship with comprehensive training center.
47,San Francisco Electrical JATC,IBEW Local 6 & NECA,Union JATC,Inside Wireman,Construction,CA,San Francisco,5,8000,900,40,85,58.00,IBEW Local 6,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,San Francisco electrical apprenticeship with among the highest journeyman wage scales in the nation.
48,IBEW Local 302 JATC -- Contra Costa,IBEW Local 302 & NECA,Union JATC,Inside Wireman,Construction,CA,Concord,5,8000,900,40,85,54.00,IBEW Local 302,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibewlu302.com/,Contra Costa County electrical apprenticeship serving the East Bay Area.
49,Alameda County Electrical JATC (Local 595),IBEW Local 595 & NECA,Union JATC,Inside Wireman,Construction,CA,Oakland,5,8000,900,40,85,55.00,IBEW Local 595,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.595jatc.org/,Alameda County inside wireman apprenticeship with detailed online application process.
50,EJATC 332 -- San Jose,IBEW Local 332 & NECA,Union JATC,Inside Wireman,Construction,CA,San Jose,5,8000,900,40,85,56.00,IBEW Local 332,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,http://www.ejatc332.org,Silicon Valley area electrical apprenticeship program at the San Jose training center.
51,Sacramento Area Electrical Training Center,IBEW Local 340 & NECA,Union JATC,Inside Wireman,Construction,CA,Sacramento,5,8000,900,40,85,48.00,IBEW Local 340,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.340jatc.org/,Sacramento region electrical apprenticeship covering 18 Northern California counties.
52,NorCal Electrical JATC,IBEW & NECA - Northern California,Union JATC,Inside Wireman,Construction,CA,Multiple,5,8000,900,40,85,50.00,IBEW,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.norcal-jatc.com/,Northern California electrical apprenticeship covering multiple jurisdictions.
53,San Diego Electrical JATC,IBEW Local 569 & NECA,Union JATC,Inside Wireman,Construction,CA,San Diego,5,8000,900,40,85,50.00,IBEW Local 569,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,San Diego and Imperial counties electrical apprenticeship program.
54,IBEW Local 952 JATC -- Ventura County,IBEW Local 952 & NECA,Union JATC,Inside Wireman,Construction,CA,Ventura,5,8000,900,40,85,50.00,IBEW Local 952,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,Ventura County electrical apprenticeship for inside wireman certification.
55,UA Local 342 JATC -- Bay Area Plumbing & Pipefitting,UA Local 342,Union JATC,Plumbing & Pipefitting,Construction,CA,Concord,5,9000,1080,40,90,52.00,UA Local 342,18+|HS Diploma|Valid DL|Drug Test,https://ua342.org/training,DAS-certified Bay Area plumbing; pipefitting; steamfitting; HVAC/R; and welding apprenticeship.
56,UA Local 228 JATC -- Northern California Plumbing,UA Local 228,Union JATC,Plumbing & Pipefitting,Construction,CA,Multiple,5,9000,1080,40,90,50.00,UA Local 228,18+|HS Diploma|Valid DL|Drug Test,https://buildcalifornia.com/,Northern California area plumbers; pipe and refrigeration fitters apprenticeship program.
57,UA Local 350 JATC -- Plumbing & HVAC,UA Local 350,Union JATC,Plumbing & HVAC,Construction,CA,San Jose,5,9000,1080,40,90,52.00,UA Local 350,18+|HS Diploma|Valid DL|Drug Test,https://www.ualocal350.org/training.aspx,San Mateo and San Jose area plumbing and HVAC apprenticeship with year-round application acceptance.
58,UA Local 447 JATC -- Plumbing & Pipefitting,UA Local 447,Union JATC,Plumbing & Pipefitting,Construction,CA,Multiple,5,9000,1080,40,90,48.00,UA Local 447,18+|HS Diploma|Valid DL|Drug Test,http://www.ualocal447.org/training.aspx,Central California plumbing and pipefitting apprenticeship with 216 annual classroom hours.
59,UA Local 467 -- Inland Empire Plumbing & HVAC,UA Local 467,Union JATC,Plumbing & HVAC,Construction,CA,San Bernardino,5,9000,1080,40,90,48.00,UA Local 467,18+|HS Diploma|Valid DL|Drug Test,https://ualocal467.org/,San Bernardino and Riverside area plumbing; pipefitting; and HVAC/R service technician program.
60,UA Local 159 -- Southern California Plumbing,UA Local 159,Union JATC,Plumbing & Steamfitting,Construction,CA,Los Angeles,5,9000,1080,40,90,54.00,UA Local 159,18+|HS Diploma|Valid DL|Drug Test,http://www.ualocal159.org/,Southern California plumbing and steamfitting apprenticeship serving the greater Los Angeles area.
61,Southwest Regional Council of Carpenters (SWRCC),Southwest Carpenters Training Fund,Union JATC,Carpentry,Construction,CA,Multiple,4,5200,640,50,90,42.00,UBC - SWRCC,18+|HS Diploma|Valid DL|Drug Test,https://wscarpenters.org/,Southern California carpentry apprenticeship with 150+ courses and 90% hands-on training.
62,NorCal Carpenters Training Committee (CTCNC),NorCal Carpenters Training Committee,Union JATC,Carpentry,Construction,CA,Multiple,4,5200,640,50,90,44.00,UBC - CTCNC,18+|HS Diploma|Valid DL|Drug Test,https://www.ctcnc.org/,Northern California carpentry apprenticeship with training centers throughout the region.
63,Career Connections Pre-Apprenticeship (Carpenters),Southwest Carpenters Training Fund,Pre-Apprenticeship,Carpentry,Construction,CA,Multiple,0,0,160,0,0,0,UBC,17+|Interest in Carpentry,https://wscareerconnections.org/,4-week pre-apprenticeship covering safety; math; framing; and concrete form building for aspiring union carpenters.
64,Ironworkers Local 433 Apprenticeship -- Structural,Ironworkers Local 433,Union JATC,Structural Ironwork,Construction,CA,Los Angeles,4,7000,700,50,90,42.00,Ironworkers Local 433,18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,https://ironworkers433.org/,Los Angeles structural ironworker apprenticeship with over 5000 members; covering LA and surrounding areas.
65,Ironworkers Local 416 Apprenticeship -- Reinforcing,Ironworkers Local 416,Union JATC,Reinforcing Ironwork,Construction,CA,Los Angeles,4,7000,700,50,90,40.00,Ironworkers Local 416,18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,https://www.ironworkers416.org/,Reinforcing ironworker apprenticeship covering Greater LA; Riverside; San Bernardino; Orange; and Ventura counties.
66,Ironworkers Local 63 Apprenticeship,Ironworkers Local 63,Union JATC,Structural Ironwork,Construction,CA,San Francisco,4,7000,700,50,90,46.00,Ironworkers Local 63,18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,,Northern California structural ironworker apprenticeship serving the San Francisco Bay Area.
67,IUOE Local 3 Heavy Equipment Operator Apprenticeship,IUOE Local 3,Union JATC,Heavy Equipment Operator,Construction,CA,Rancho Murieta,3,6000,600,60,90,45.00,IUOE Local 3,18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,https://www.oe3.org/,Largest construction trades local in the US with 1500-acre training center for heavy equipment; crane; and CDL training.
68,IUOE Local 12 Heavy Equipment Operator Apprenticeship,IUOE Local 12,Union JATC,Heavy Equipment Operator,Construction,CA,Los Angeles,3,6000,600,60,90,42.00,IUOE Local 12,18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,https://www.oett.net/how-to-apply,Southern California operating engineers apprenticeship with over 18000 members; training in heavy equipment and crane operation.
69,IUOE Local 501 Stationary Engineer Apprenticeship,IUOE Local 501,Union JATC,Stationary Engineer,Construction,CA,Los Angeles,4,6000,576,60,90,40.00,IUOE Local 501,18+|HS Diploma|Valid DL|Drug Test,https://local501.org/,DAS-certified stationary and facilities engineer apprenticeship accredited with LA Trade Technical College.
70,ABC Southern California Electrical Apprenticeship,ABC Southern California,Non-Union ABC,Electrical,Construction,CA,Multiple,4,8000,576,45,85,44.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abcsocal.org/non-union-apprenticeships/,DOL-registered electrical apprenticeship with health; dental; and vision benefits at no cost to apprentice.
71,ABC Southern California Plumbing Apprenticeship,ABC Southern California,Non-Union ABC,Plumbing,Construction,CA,Multiple,4,8000,576,45,85,44.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abcsocal.org/non-union-apprenticeships/,Non-union registered plumbing apprenticeship with merit-based advancement and employer-provided benefits.
72,ABC Southern California Sheet Metal Apprenticeship,ABC Southern California,Non-Union ABC,Sheet Metal,Construction,CA,Multiple,4,6400,576,45,85,42.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abcsocal.org/non-union-apprenticeships/,Sheet metal apprenticeship covering HVAC ductwork fabrication and architectural sheet metal with NCCER certification.
73,BC3 Pre-Apprenticeship (Building California Construction Careers),State Building & Construction Trades Council of CA,Pre-Apprenticeship,Multiple Trades,Construction,CA,Sacramento,1,0,160,0,0,0,N/A,17+|Interest in Construction Trades,https://apprenticeship.cabuildingtrades.org/pre-apprenticeship/,Statewide pre-apprenticeship directory connecting candidates to MC3 programs and building trades apprenticeships.
74,Helmets to Hardhats California (Veterans),NorCal Carpenters / Helmets to Hardhats,Pre-Apprenticeship,Multiple Trades,Construction,CA,Multiple,0,0,120,0,0,0,N/A,Veteran or Active Duty|DD-214,https://www.ctcnc.org/helmets-to-hardhats.html,Free veteran-focused pre-apprenticeship providing direct pathway to registered building trades apprenticeship programs.
75,LA/OC Building Trades MC3 Pre-Apprenticeship,LA/OC Building Trades Council,Pre-Apprenticeship,Multiple Trades,Construction,CA,Los Angeles,1,0,120,0,0,0,N/A,18+|Interest in Construction Trades,https://laocbuildingtrades.org/start-a-trades-career/,120-hour Multi-Craft Core Curriculum pre-apprenticeship with hands-on training and OSHA 10 certification.
76,Tri-County Apprenticeship Preparation Program,Tri-County Apprenticeship Preparation,Pre-Apprenticeship,Multiple Trades,Construction,CA,Multiple,1,0,350,0,0,0,N/A,18+|Interest in Construction Trades,https://www.apprenticeprep.org/,9-week intensive pre-apprenticeship program covering 350 hours; Monday through Friday; 8 hours per day.
77,SMART Sheet Metal Workers -- Southern California,SMART Union - Southern California,Union JATC,Sheet Metal,Construction,CA,Multiple,5,6400,800,40,85,48.00,SMART,18+|HS Diploma|Valid DL|Drug Test,,DAS-certified sheet metal apprenticeship with 5% pay raise every 6 months for passing grades and attendance.
78,Electrical Training Alliance -- National Program,IBEW & NECA National,Union JATC,Inside Wireman,Construction,TX,Multiple,5,8000,900,40,85,38.00,IBEW,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.electricaltrainingalliance.org/,National IBEW/NECA program with 300+ JATCs; tuition-free training funded by labor-management trust funds.
79,UA National Plumbing & Pipefitting Apprenticeship,United Association (UA),Union JATC,Plumbing & Pipefitting,Construction,NY,Multiple,5,9000,1080,40,90,48.00,UA,18+|HS Diploma|Valid DL|Drug Test,https://ua.org/apprenticeship/,National UA program with 300+ locals; covering plumbing; pipefitting; steamfitting; welding; and HVAC/R.
80,UBC National Carpentry Apprenticeship,United Brotherhood of Carpenters (UBC),Union JATC,Carpentry,Construction,IL,Multiple,4,6800,640,50,90,38.00,UBC,18+|HS Diploma|Valid DL|Drug Test,https://www.carpenters.org/,National carpentry program with 90% hands-on training and 150+ different specialty courses.
81,IEC National Electrical Apprenticeship,Independent Electrical Contractors (IEC),Non-Union IEC,Electrical,Construction,VA,Multiple,4,8000,680,45,85,36.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with IEC Contractor,https://ieci.org/apprenticeship/,Non-union 4-year electrical apprenticeship with evening classes one night per week; representing 63% of all electrical construction.
82,ABC National Electrical Apprenticeship,Associated Builders and Contractors,Non-Union ABC,Electrical,Construction,TX,Multiple,4,8000,576,45,85,36.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://www.abc.org/Workforce/Craft-Training-Apprenticeship,Non-union merit shop electrical apprenticeship with NCCER certifications through 69 nationwide chapters.
83,ABC National Plumbing Apprenticeship,Associated Builders and Contractors,Non-Union ABC,Plumbing,Construction,TX,Multiple,4,8000,576,45,85,35.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://www.abc.org/Workforce/Craft-Training-Apprenticeship,Non-union plumbing apprenticeship with DOL Certificate of Completion and NCCER certifications.
84,NEIEP Elevator Constructor Apprenticeship,IUEC & NEIEP,Union JATC,Elevator Constructor,Construction,NY,Multiple,4,8000,800,50,85,55.00,IUEC,18+|HS Diploma|Drug Test|EIAT Score 70+|Physical Fitness,https://www.neiep.org/,Extremely selective elevator constructor apprenticeship; one of the highest-paying trades with journeyman wages of $45-$60+/hour.
